,Electro Guru,My Maximus,Speedy Cashew,Tahitian Lily,Modest,Our Legacy,Master Shameem
10,"[datetime.datetime(2022, 11, 28, 16, 58, 34, 317257), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 34, 317257), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 34, 317257), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 34, 317257), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 34, 317257), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 34, 317257), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 16, 58, 34, 317257), 2.5, 3.45]"
11,"[datetime.datetime(2022, 11, 28, 16, 58, 35, 478042), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 35, 478042), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 35, 478042), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 35, 478042), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 35, 478042), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 35, 478042), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 16, 58, 35, 478042), 2.5, 3.45]"
12,"[datetime.datetime(2022, 11, 28, 16, 58, 36, 625872), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 36, 625872), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 36, 625872), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 36, 625872), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 36, 625872), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 36, 625872), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 16, 58, 36, 625872), 2.5, 3.45]"
13,"[datetime.datetime(2022, 11, 28, 16, 58, 37, 772383), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 37, 772383), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 37, 772383), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 37, 772383), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 37, 772383), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 37, 772383), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 16, 58, 37, 772383), 2.5, 3.45]"
14,"[datetime.datetime(2022, 11, 28, 16, 58, 38, 921338), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 38, 921338), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 38, 921338), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 38, 921338), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 38, 921338), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 38, 921338), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 16, 58, 38, 921338), 2.5, 3.45]"
15,"[datetime.datetime(2022, 11, 28, 16, 58, 40, 49968), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 40, 49968), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 40, 49968), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 40, 49968), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 40, 49968), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 40, 49968), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 16, 58, 40, 49968), 2.5, 3.45]"
16,"[datetime.datetime(2022, 11, 28, 16, 58, 41, 178711), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 41, 178711), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 41, 178711), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 41, 178711), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 41, 178711), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 41, 178711), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 16, 58, 41, 178711), 2.5, 3.45]"
17,"[datetime.datetime(2022, 11, 28, 16, 58, 42, 296693), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 42, 296693), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 42, 296693), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 42, 296693), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 42, 296693), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 42, 296693), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 16, 58, 42, 296693), 2.5, 3.45]"
18,"[datetime.datetime(2022, 11, 28, 16, 58, 43, 429874), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 43, 429874), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 43, 429874), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 43, 429874), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 43, 429874), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 43, 429874), 21.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 58, 43, 429874), 2.5, 3.45]"
19,"[datetime.datetime(2022, 11, 28, 16, 58, 44, 541268), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 44, 541268), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 44, 541268), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 44, 541268), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 44, 541268), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 44, 541268), 21.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 58, 44, 541268), 2.5, 3.45]"
