,Bettor My Dreamz Nz,The Last Drop,Brewery Lane,Ainsworth,Mission Glory,Belonero,Tradie,Make It Quick,Be On Guard,Dynamite Beach,The Party Boy
10-01-2023 20:44:05.090311,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:06.704803,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:08.332546,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:09.905134,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:11.579314,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:13.167191,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:14.765063,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:16.252647,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:17.825460,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:19.441527,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:21.102571,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:22.723157,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:24.536263,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:26.556286,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:28.472925,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:30.427639,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:32.145239,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:34.000258,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:35.723872,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:37.463569,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
