,Icy Hot,Austrian Beauty,Queen Missile,Rosie Love,Pollys Riff,Thai Warrior,Bob Albury,Meg Bee
08-01-2023 12:59:43.373743,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 12:59:44.442265,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 12:59:45.487946,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 12:59:46.563255,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 12:59:47.649910,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 12:59:48.759307,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 12:59:49.891251,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 12:59:50.976554,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 12:59:51.973926,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 12:59:52.991119,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 12:59:54.040427,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 12:59:55.154226,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 12:59:56.273422,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 12:59:57.405502,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 12:59:58.491532,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 12:59:59.487921,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
