,Sly Corner,Best To Hurry,Printmaker,Storm Harbour,Mandalay Blonde,Top Babe,In Great Nic,Sizzling Diamond,Romance Factor,Mishani Pharoah
05-01-2023 15:18:53.237242,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 70.0, 43.333333333333336)","(6.5, 9.0, 8.066666666666666)","(2.25, 2.76, 2.71)","(26.0, 50.0, 39.0)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 100.0, 85.0)","(31.0, 180.0, 108.0)"
05-01-2023 15:18:54.777065,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 70.0, 43.333333333333336)","(6.5, 9.0, 8.066666666666666)","(2.25, 2.76, 2.71)","(26.0, 50.0, 39.0)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 100.0, 85.0)","(31.0, 180.0, 108.0)"
05-01-2023 15:18:56.263698,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 70.0, 43.333333333333336)","(6.5, 9.0, 8.066666666666666)","(2.25, 2.76, 2.71)","(26.0, 50.0, 39.0)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 100.0, 85.0)","(31.0, 180.0, 108.0)"
05-01-2023 15:18:57.719285,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 70.0, 43.333333333333336)","(6.5, 9.0, 8.066666666666666)","(2.25, 2.76, 2.71)","(26.0, 50.0, 39.0)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 100.0, 85.0)","(31.0, 180.0, 108.0)"
05-01-2023 15:18:59.087284,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 70.0, 43.333333333333336)","(6.5, 9.0, 8.066666666666666)","(2.25, 2.76, 2.71)","(26.0, 50.0, 39.0)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 100.0, 85.0)","(31.0, 180.0, 108.0)"
05-01-2023 15:19:00.436325,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 70.0, 43.333333333333336)","(6.5, 9.0, 8.066666666666666)","(2.25, 2.76, 2.71)","(26.0, 50.0, 39.0)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 100.0, 85.0)","(31.0, 180.0, 108.0)"
05-01-2023 15:19:01.786322,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 70.0, 43.333333333333336)","(6.5, 9.0, 8.066666666666666)","(2.25, 2.76, 2.71)","(26.0, 50.0, 39.0)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 100.0, 85.0)","(31.0, 180.0, 108.0)"
05-01-2023 15:19:03.241646,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 70.0, 43.333333333333336)","(6.5, 9.0, 8.066666666666666)","(2.25, 2.76, 2.71)","(26.0, 50.0, 39.0)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 100.0, 85.0)","(31.0, 180.0, 108.0)"
05-01-2023 15:19:04.739961,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 65.0, 38.75)","(6.5, 8.8, 8.2)","(2.25, 2.76, 2.71)","(26.0, 48.0, 35.4)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 100.0, 73.33333333333333)","(31.0, 180.0, 108.0)"
05-01-2023 15:19:06.331750,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 65.0, 38.75)","(6.5, 8.8, 8.2)","(2.25, 2.76, 2.71)","(26.0, 48.0, 35.4)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 100.0, 73.33333333333333)","(31.0, 180.0, 108.0)"
05-01-2023 15:19:07.840392,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 65.0, 38.75)","(6.5, 8.8, 8.2)","(2.25, 2.76, 2.71)","(26.0, 48.0, 35.4)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 100.0, 73.33333333333333)","(31.0, 180.0, 108.0)"
05-01-2023 15:19:09.567774,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 65.0, 38.75)","(6.5, 8.8, 8.2)","(2.25, 2.76, 2.71)","(26.0, 48.0, 35.4)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 100.0, 73.33333333333333)","(31.0, 180.0, 108.0)"
05-01-2023 15:19:11.365936,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 65.0, 38.75)","(6.5, 8.8, 8.2)","(2.25, 2.76, 2.71)","(26.0, 48.0, 35.4)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 100.0, 73.33333333333333)","(31.0, 180.0, 108.0)"
05-01-2023 15:19:12.961974,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 65.0, 38.75)","(6.5, 8.8, 8.2)","(2.25, 2.76, 2.71)","(26.0, 48.0, 36.5)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 100.0, 73.33333333333333)","(31.0, 180.0, 108.0)"
05-01-2023 15:19:14.576611,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 65.0, 38.75)","(6.5, 8.8, 8.2)","(2.25, 2.76, 2.71)","(26.0, 46.0, 36.5)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 100.0, 73.33333333333333)","(31.0, 180.0, 108.0)"
05-01-2023 15:19:16.222286,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 65.0, 38.75)","(6.5, 8.8, 8.2)","(2.25, 2.76, 2.71)","(26.0, 46.0, 36.5)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 100.0, 73.33333333333333)","(31.0, 180.0, 108.0)"
05-01-2023 15:19:17.981248,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 65.0, 38.75)","(6.5, 8.8, 8.2)","(2.25, 2.76, 2.71)","(26.0, 46.0, 36.5)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 100.0, 73.33333333333333)","(31.0, 180.0, 108.0)"
05-01-2023 15:19:19.719038,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 65.0, 38.75)","(6.5, 8.8, 8.2)","(2.25, 2.76, 2.71)","(26.0, 46.0, 36.5)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 100.0, 73.33333333333333)","(31.0, 180.0, 108.0)"
05-01-2023 15:19:21.193380,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 65.0, 38.75)","(6.5, 8.8, 8.2)","(2.25, 2.76, 2.71)","(26.0, 46.0, 36.5)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 100.0, 73.33333333333333)","(31.0, 180.0, 108.0)"
05-01-2023 15:19:22.668543,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 65.0, 38.75)","(6.5, 8.8, 8.2)","(2.25, 2.76, 2.71)","(26.0, 46.0, 36.5)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 100.0, 73.33333333333333)","(31.0, 180.0, 108.0)"
05-01-2023 15:19:24.201004,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 65.0, 38.75)","(6.5, 8.8, 8.2)","(2.25, 2.76, 2.71)","(26.0, 46.0, 36.5)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 100.0, 73.33333333333333)","(31.0, 180.0, 108.0)"
05-01-2023 15:19:25.814945,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 65.0, 37.5)","(6.5, 8.8, 8.2)","(2.25, 2.76, 2.71)","(26.0, 46.0, 33.8)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 100.0, 68.75)","(31.0, 180.0, 108.0)"
05-01-2023 15:19:27.309648,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 60.0, 36.75)","(6.5, 8.8, 8.2)","(2.25, 2.76, 2.71)","(26.0, 44.0, 33.8)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 95.0, 68.75)","(31.0, 180.0, 108.0)"
05-01-2023 15:19:28.791053,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 60.0, 34.5)","(6.5, 8.8, 8.12)","(2.25, 2.76, 2.71)","(26.0, 44.0, 33.8)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 95.0, 68.75)","(31.0, 180.0, 108.0)"
05-01-2023 15:19:30.347761,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 60.0, 34.5)","(6.5, 8.6, 8.333333333333334)","(2.25, 2.76, 2.71)","(26.0, 44.0, 33.8)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 95.0, 68.75)","(31.0, 180.0, 108.0)"
