,Kaisons Curse,Boy From Hill,Coco Coaster,Phoebes Baby,Snake Fist,Bruces Angel
06-01-2023 11:03:37.376659,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:03:38.315308,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:03:39.281898,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:03:40.311416,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:03:41.304127,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:03:42.256284,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:03:43.104187,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:03:44.028207,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:03:45.027042,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:03:46.016680,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:03:47.022308,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:03:47.975379,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:03:48.947329,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:03:49.905921,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:03:50.897919,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:03:51.884765,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:03:52.733732,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:03:53.630283,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:03:54.581853,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:03:55.494387,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:03:56.400031,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:03:57.235177,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:03:58.136708,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:03:59.066707,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:04:00.008660,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:04:00.936942,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:04:01.858665,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:04:02.814450,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:04:03.710373,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:04:04.603009,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:04:05.485647,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.6999999999999997)","(7.0, 12.5, 8.833333333333334)"
06-01-2023 11:04:06.378843,"(3.0, 5.3, 3.5083333333333333)","(4.4, 6.8, 5.325)","(6.5, 11.5, 6.34375)","(9.0, 17.5, 10.25)","(2.9, 4.2, 3.715)","(7.0, 12.5, 8.833333333333334)"
