,Cruising Bellew,Hoppers Dream,Manoeuver Man,Calculating Dancer,Mamma Kass,Midnight Sport,Captain Thunderbolt Nz,Passionate Pursuit,Absolution,My Golden Eagle
12-01-2023 15:09:42.260599,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:09:43.795463,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:09:45.204618,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:09:46.572739,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:09:48.022771,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:09:49.461361,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:09:50.859537,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:09:52.288449,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:09:53.749361,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:09:55.212744,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:09:56.819129,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:09:58.228390,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:09:59.631009,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
