,Big Time Violet,Adobe Underworld,Allegro Love,Truth Hurts,Claws In Creed,Opawa Ziva
04-01-2023 09:18:08.772098,"(2.6, 4.0, 2.9857142857142858)","(5.5, 17.5, 15.962500000000002)","(8.5, 19.0, 15.399999999999999)","(17.0, 20.0, 18.142857142857142)","(4.4, 8.8, 7.920000000000001)","(3.0, 8.8, 7.533333333333333)"
04-01-2023 09:18:09.600185,"(2.6, 4.0, 2.9857142857142858)","(5.5, 17.5, 15.962500000000002)","(8.5, 19.0, 15.399999999999999)","(17.0, 20.0, 18.142857142857142)","(4.4, 8.8, 7.920000000000001)","(3.0, 8.8, 7.533333333333333)"
04-01-2023 09:18:10.442997,"(2.6, 4.0, 2.9857142857142858)","(5.5, 17.5, 15.962500000000002)","(8.5, 19.0, 15.399999999999999)","(17.0, 20.0, 18.142857142857142)","(4.4, 8.8, 7.920000000000001)","(3.0, 8.8, 7.533333333333333)"
04-01-2023 09:18:11.265498,"(2.6, 4.0, 2.9857142857142858)","(5.5, 17.5, 15.962500000000002)","(8.5, 19.0, 15.399999999999999)","(17.0, 20.0, 18.142857142857142)","(4.4, 7.2, 6.1230769230769235)","(3.0, 8.8, 7.533333333333333)"
04-01-2023 09:18:12.114534,"(2.6, 4.0, 2.9857142857142858)","(5.5, 17.5, 15.962500000000002)","(8.5, 19.0, 18.0)","(17.0, 20.0, 18.142857142857142)","(4.4, 7.2, 6.1230769230769235)","(3.0, 8.8, 7.533333333333333)"
04-01-2023 09:18:12.926512,"(2.6, 4.0, 2.9857142857142858)","(5.5, 17.5, 15.962500000000002)","(8.5, 19.0, 18.0)","(17.0, 20.0, 18.142857142857142)","(4.4, 7.2, 6.1230769230769235)","(3.0, 8.8, 7.533333333333333)"
04-01-2023 09:18:13.763999,"(2.6, 4.0, 2.9857142857142858)","(5.5, 17.5, 15.962500000000002)","(8.5, 19.0, 18.0)","(17.0, 20.0, 18.142857142857142)","(4.4, 7.2, 6.1230769230769235)","(3.0, 8.8, 7.533333333333333)"
04-01-2023 09:18:14.579612,"(2.6, 4.0, 2.9857142857142858)","(5.5, 17.5, 15.962500000000002)","(8.5, 19.0, 18.0)","(17.0, 20.0, 18.142857142857142)","(4.4, 7.2, 6.1230769230769235)","(3.0, 8.8, 7.533333333333333)"
04-01-2023 09:18:15.394677,"(2.6, 4.0, 2.9857142857142858)","(5.5, 17.5, 15.962500000000002)","(8.5, 19.0, 18.0)","(17.0, 20.0, 18.142857142857142)","(4.4, 7.2, 6.1230769230769235)","(3.0, 8.8, 7.533333333333333)"
04-01-2023 09:18:16.211064,"(2.6, 4.0, 2.9857142857142858)","(5.5, 17.5, 15.962500000000002)","(8.5, 19.0, 18.0)","(17.0, 20.0, 18.142857142857142)","(4.4, 7.2, 6.1230769230769235)","(3.0, 8.8, 7.533333333333333)"
04-01-2023 09:18:17.038843,"(2.6, 4.0, 2.9857142857142858)","(5.5, 17.5, 15.962500000000002)","(8.5, 19.0, 18.0)","(17.0, 20.0, 18.142857142857142)","(4.4, 7.2, 6.1230769230769235)","(3.0, 8.8, 7.533333333333333)"
04-01-2023 09:18:17.859233,"(2.6, 4.0, 2.9857142857142858)","(5.5, 17.5, 15.962500000000002)","(8.5, 19.0, 18.0)","(17.0, 20.0, 18.142857142857142)","(4.4, 7.2, 6.1230769230769235)","(3.0, 8.8, 7.533333333333333)"
04-01-2023 09:18:18.685207,"(2.6, 4.0, 2.9857142857142858)","(5.5, 17.5, 15.962500000000002)","(8.5, 19.0, 18.0)","(17.0, 20.0, 18.142857142857142)","(4.4, 7.2, 6.1230769230769235)","(3.0, 8.8, 7.533333333333333)"
04-01-2023 09:18:19.497299,"(2.6, 4.0, 2.9857142857142858)","(5.5, 17.5, 15.962500000000002)","(8.5, 19.0, 18.0)","(17.0, 20.0, 18.142857142857142)","(4.4, 7.2, 6.1230769230769235)","(3.0, 8.8, 7.533333333333333)"
04-01-2023 09:18:20.319688,"(2.6, 4.0, 2.9857142857142858)","(5.5, 17.5, 15.962500000000002)","(8.5, 19.0, 18.0)","(17.0, 20.0, 18.142857142857142)","(4.4, 7.2, 6.1230769230769235)","(3.0, 8.8, 7.533333333333333)"
04-01-2023 09:18:21.134021,"(2.6, 4.0, 2.9857142857142858)","(5.5, 17.5, 15.962500000000002)","(8.5, 19.0, 18.0)","(17.0, 20.0, 18.142857142857142)","(4.4, 7.2, 6.1230769230769235)","(3.0, 8.8, 7.533333333333333)"
04-01-2023 09:18:21.944883,"(2.6, 4.0, 2.9857142857142858)","(5.5, 17.5, 15.962500000000002)","(8.5, 19.0, 18.0)","(17.0, 20.0, 18.142857142857142)","(4.4, 7.0, 6.48)","(3.0, 8.8, 7.533333333333333)"
04-01-2023 09:18:22.766008,"(2.6, 4.0, 2.9857142857142858)","(5.5, 17.5, 15.962500000000002)","(8.5, 19.0, 18.0)","(17.0, 20.0, 18.142857142857142)","(4.4, 7.0, 6.48)","(3.0, 8.8, 7.533333333333333)"
04-01-2023 09:18:23.575808,"(2.6, 4.0, 2.9857142857142858)","(5.5, 17.5, 15.962500000000002)","(8.5, 19.0, 18.0)","(17.0, 20.0, 18.142857142857142)","(4.4, 7.0, 6.48)","(3.0, 8.8, 7.533333333333333)"
04-01-2023 09:18:24.394461,"(2.6, 4.0, 2.9857142857142858)","(5.5, 17.5, 15.962500000000002)","(8.5, 19.0, 18.0)","(17.0, 20.0, 18.142857142857142)","(4.4, 7.0, 6.48)","(3.0, 8.8, 7.533333333333333)"
04-01-2023 09:18:25.209023,"(2.6, 4.0, 2.9857142857142858)","(5.5, 17.5, 15.962500000000002)","(8.5, 19.0, 18.0)","(17.0, 20.0, 18.142857142857142)","(4.4, 7.0, 6.48)","(3.0, 8.8, 7.533333333333333)"
04-01-2023 09:18:26.033992,"(2.6, 4.0, 2.9857142857142858)","(5.5, 17.5, 15.962500000000002)","(8.5, 19.0, 18.0)","(17.0, 20.0, 18.142857142857142)","(4.4, 7.0, 6.48)","(3.0, 8.8, 7.533333333333333)"
