,Kaseys Money,Buster Up,She Wolf,Spring Luna,Kick Off,Sunset Charlie,Aces Up
10-01-2023 15:53:37.241505,"(2.1, 2.22, 2.115)","(3.4, 6.6, 3.8925)","(11.0, 23.0, 15.142857142857142)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 19.88888888888889)","(6.0, 11.0, 10.04)"
10-01-2023 15:53:38.533352,"(2.1, 2.22, 2.115)","(3.4, 6.6, 3.8925)","(11.0, 23.0, 15.142857142857142)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 19.88888888888889)","(6.0, 11.0, 10.04)"
10-01-2023 15:53:39.760075,"(2.1, 2.22, 2.115)","(3.4, 6.6, 3.8925)","(11.0, 23.0, 15.142857142857142)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 16.0)","(6.0, 11.0, 10.04)"
10-01-2023 15:53:40.869796,"(2.1, 2.22, 2.115)","(3.4, 6.6, 3.8925)","(11.0, 23.0, 13.909090909090908)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 16.0)","(6.0, 11.0, 10.04)"
10-01-2023 15:53:42.080013,"(2.1, 2.2, 2.1142857142857143)","(3.4, 6.6, 3.8925)","(11.0, 23.0, 13.909090909090908)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 16.0)","(6.0, 11.0, 10.4)"
10-01-2023 15:53:43.244818,"(2.1, 2.2, 2.1142857142857143)","(3.4, 6.6, 3.8925)","(11.0, 23.0, 13.909090909090908)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 16.0)","(6.0, 11.0, 10.4)"
10-01-2023 15:53:44.383134,"(2.1, 2.2, 2.1142857142857143)","(3.4, 6.6, 3.8925)","(11.0, 23.0, 13.909090909090908)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 16.0)","(6.0, 11.0, 9.0)"
10-01-2023 15:53:45.508024,"(2.1, 2.2, 2.1142857142857143)","(3.4, 6.6, 3.8925)","(11.0, 23.0, 13.909090909090908)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 16.0)","(6.0, 13.0, 9.0)"
10-01-2023 15:53:46.640884,"(2.1, 2.2, 2.1142857142857143)","(3.4, 6.6, 3.8925)","(11.0, 23.0, 13.909090909090908)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 16.0)","(6.0, 13.0, 8.285714285714286)"
10-01-2023 15:53:47.824147,"(2.1, 2.2, 2.1142857142857143)","(3.4, 6.6, 4.111904761904762)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 16.0)","(6.0, 13.0, 8.88888888888889)"
10-01-2023 15:53:48.941384,"(2.1, 2.2, 2.1142857142857143)","(3.4, 6.6, 4.111904761904762)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 16.0)","(6.0, 12.0, 8.88888888888889)"
10-01-2023 15:53:50.092364,"(2.1, 2.2, 2.1142857142857143)","(3.4, 6.6, 3.8925)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 16.0)","(6.0, 12.0, 8.88888888888889)"
10-01-2023 15:53:51.313005,"(2.1, 2.2, 2.1142857142857143)","(3.4, 6.6, 3.8925)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 16.0)","(6.0, 12.0, 8.88888888888889)"
10-01-2023 15:53:52.326774,"(2.1, 2.2, 2.1142857142857143)","(3.4, 6.6, 3.8925)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 16.0)","(6.0, 12.0, 8.88888888888889)"
10-01-2023 15:53:53.494200,"(2.1, 2.2, 2.1142857142857143)","(3.4, 6.6, 3.8925)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 16.0)","(6.0, 12.0, 8.88888888888889)"
10-01-2023 15:53:54.665885,"(2.1, 2.2, 2.1142857142857143)","(3.4, 6.6, 3.8925)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 16.0)","(6.0, 12.0, 8.88888888888889)"
10-01-2023 15:53:55.794944,"(2.1, 2.2, 2.1142857142857143)","(3.4, 6.6, 3.8925)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 16.0)","(6.0, 12.0, 8.88888888888889)"
10-01-2023 15:53:57.200350,"(2.1, 2.2, 2.1142857142857143)","(3.4, 6.6, 3.8925)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 16.0)","(6.0, 12.0, 10.0)"
10-01-2023 15:53:58.897991,"(2.1, 2.2, 2.1142857142857143)","(3.4, 6.6, 5.0528571428571425)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 16.0)","(6.0, 12.0, 10.0)"
10-01-2023 15:54:00.010746,"(2.1, 2.2, 2.1142857142857143)","(3.4, 6.6, 5.0528571428571425)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 16.0)","(6.0, 12.0, 10.0)"
10-01-2023 15:54:01.092462,"(2.1, 2.2, 2.1142857142857143)","(3.4, 6.6, 4.268181818181818)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 16.0)","(6.0, 12.0, 10.0)"
10-01-2023 15:54:02.303620,"(2.1, 2.2, 2.1142857142857143)","(3.4, 6.6, 3.8925)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 16.0)","(6.0, 12.0, 10.0)"
10-01-2023 15:54:03.479268,"(2.1, 2.2, 2.1142857142857143)","(3.4, 6.6, 3.8925)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 16.0)","(6.0, 12.0, 10.0)"
10-01-2023 15:54:04.551201,"(2.1, 2.18, 2.108888888888889)","(3.4, 6.6, 3.8925)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 16.0)","(6.0, 12.0, 10.0)"
10-01-2023 15:54:05.618670,"(2.1, 2.18, 2.108888888888889)","(3.4, 6.6, 3.8925)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 16.0)","(6.0, 12.0, 10.0)"
10-01-2023 15:54:06.852604,"(2.1, 2.18, 2.108888888888889)","(3.4, 6.6, 3.8925)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 16.0)","(6.0, 12.0, 9.75)"
10-01-2023 15:54:08.040825,"(2.1, 2.18, 2.108888888888889)","(3.4, 6.6, 3.8925)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 16.0)","(6.0, 12.0, 8.285714285714285)"
10-01-2023 15:54:09.208474,"(2.1, 2.18, 2.108888888888889)","(3.4, 6.6, 3.8925)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.3)","(11.0, 22.0, 16.0)","(6.0, 12.0, 9.636363636363637)"
10-01-2023 15:54:10.397330,"(2.1, 2.18, 2.108888888888889)","(3.4, 6.6, 3.8925)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 11.45)","(11.0, 22.0, 16.0)","(6.0, 12.0, 9.666666666666666)"
10-01-2023 15:54:12.224904,"(2.1, 2.18, 2.108888888888889)","(3.4, 6.6, 3.845)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 10.76153846153846)","(11.0, 22.0, 16.0)","(6.0, 12.0, 9.75)"
10-01-2023 15:54:13.617195,"(2.1, 2.18, 2.108888888888889)","(3.4, 6.6, 3.845)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 10.76153846153846)","(11.0, 22.0, 16.0)","(6.0, 12.0, 10.65)"
10-01-2023 15:54:14.765194,"(2.1, 2.18, 2.108888888888889)","(3.4, 6.6, 3.845)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 10.76153846153846)","(11.0, 22.0, 16.0)","(6.0, 12.0, 10.65)"
10-01-2023 15:54:15.932562,"(2.1, 2.18, 2.108888888888889)","(3.4, 6.6, 3.845)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 10.76153846153846)","(11.0, 22.0, 16.0)","(6.0, 12.0, 10.65)"
10-01-2023 15:54:17.165561,"(2.1, 2.18, 2.108888888888889)","(3.4, 6.6, 3.845)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 10.76153846153846)","(11.0, 22.0, 16.0)","(6.0, 12.0, 10.65)"
