,Coup De Spry,Good Luck Bob,Poet Warrior,Anditwasthebest,Banca Glee,Special Interest,Artful Pegasus,A Wee Nip,Fryer Hill,Threes A Crowd,Waning Weasel,Your Shuffle
11-01-2023 13:14:03.166926,"(26.0, 34.0, 31.647058823529413)","(4.4, 4.8, 4.779032258064516)","(41.0, 48.0, 46.75675675675676)","(101.0, 270.0, 247.5)","(8.5, 11.5, 10.865)","(51.0, 75.0, 68.4090909090909)","(5.5, 7.2, 7.173652694610778)","(10.0, 12.0, 11.904580152671755)","(12.0, 15.0, 14.716666666666667)","(3.0, 3.45, 3.4325316455696204)","(101.0, 380.0, 365.88235294117646)","(21.0, 26.0, 25.555555555555557)"
11-01-2023 13:14:04.677657,"(26.0, 34.0, 31.647058823529413)","(4.4, 4.8, 4.779032258064516)","(41.0, 48.0, 46.75675675675676)","(101.0, 270.0, 247.5)","(8.5, 11.0, 10.896739130434783)","(51.0, 70.0, 68.65384615384616)","(5.5, 7.2, 7.171052631578948)","(10.0, 12.0, 11.904580152671755)","(12.0, 15.0, 15.1)","(3.0, 3.45, 3.409090909090909)","(101.0, 380.0, 365.88235294117646)","(21.0, 26.0, 25.555555555555557)"
11-01-2023 13:14:06.222297,"(26.0, 32.0, 31.75)","(4.4, 4.8, 4.75)","(41.0, 48.0, 47.70967741935484)","(101.0, 270.0, 243.33333333333334)","(8.5, 11.0, 10.63888888888889)","(51.0, 70.0, 68.4090909090909)","(5.5, 7.2, 7.323529411764706)","(10.0, 12.0, 11.568965517241379)","(12.0, 15.5, 14.728571428571428)","(3.0, 3.45, 3.318461538461538)","(101.0, 380.0, 421.33333333333337)","(21.0, 26.0, 26.666666666666668)"
11-01-2023 13:14:07.775878,"(26.0, 32.0, 30.214285714285715)","(4.4, 4.9, 4.840298507462687)","(41.0, 50.0, 49.45454545454545)","(101.0, 270.0, 441.25)","(8.5, 11.0, 14.416666666666666)","(51.0, 70.0, 186.1904761904762)","(5.5, 7.8, 7.1)","(10.0, 12.0, 12.666666666666666)","(12.0, 17.5, 19.214285714285715)","(3.0, 3.45, 4.125)","(101.0, 440.0, 8761.625)","(21.0, 29.0, 27.1)"
11-01-2023 13:14:09.291687,"(26.0, 34.0, 29.5)","(4.4, 5.8, 4.605555555555555)","(41.0, 130.0, 57.33333333333333)","(101.0, 490.0, 441.25)","(8.5, 15.5, 9.48)","(51.0, 200.0, 97.75)","(5.5, 11.5, 6.458333333333333)","(10.0, 18.5, 11.014084507042254)","(12.0, 25.0, 18.23076923076923)","(3.0, 5.2, 4.151219512195122)","(101.0, 99999, 931.8181818181818)","(21.0, 40.0, 27.7)"
11-01-2023 13:14:10.776638,"(26.0, 34.0, 29.5)","(4.4, 5.8, 5.442857142857143)","(41.0, 100.0, 57.33333333333333)","(101.0, 490.0, 441.25)","(8.5, 9.8, 9.48)","(51.0, 100.0, 97.75)","(5.5, 11.5, 6.022222222222222)","(10.0, 11.5, 11.014084507042254)","(12.0, 25.0, 17.75)","(3.0, 5.2, 4.744897959183673)","(101.0, 970.0, 931.8181818181818)","(21.0, 30.0, 27.7)"
11-01-2023 13:14:12.219933,"(26.0, 34.0, 32.5)","(4.4, 5.8, 5.184615384615385)","(41.0, 100.0, 75.0)","(101.0, 490.0, 441.25)","(8.5, 9.8, 9.48)","(51.0, 100.0, 97.75)","(5.5, 6.2, 7.0)","(10.0, 11.5, 16.688524590163933)","(12.0, 23.0, 17.75)","(3.0, 4.8, 4.449999999999999)","(101.0, 970.0, 931.8181818181818)","(21.0, 30.0, 27.7)"
11-01-2023 13:14:13.634548,"(26.0, 34.0, 32.5)","(4.4, 5.8, 4.741176470588235)","(41.0, 100.0, 66.66666666666667)","(101.0, 490.0, 395.0)","(8.5, 9.8, 9.4)","(51.0, 100.0, 97.75)","(5.5, 7.2, 7.0)","(10.0, 18.5, 12.5)","(12.0, 23.0, 17.0)","(3.0, 4.6, 3.48)","(101.0, 970.0, 931.8181818181818)","(21.0, 30.0, 29.3)"
11-01-2023 13:14:15.083002,"(26.0, 36.0, 34.4)","(4.4, 5.8, 4.321739130434782)","(41.0, 100.0, 75.0)","(101.0, 490.0, 395.0)","(8.5, 9.8, 9.733333333333334)","(51.0, 100.0, 95.71428571428572)","(5.5, 10.0, 7.883333333333333)","(10.0, 15.0, 12.75)","(12.0, 23.0, 18.3125)","(3.1, 4.6, 4.226666666666667)","(101.0, 970.0, 931.8181818181818)","(21.0, 32.0, 29.75)"
11-01-2023 13:14:16.605838,"(26.0, 36.0, 34.4)","(4.4, 4.5, 4.120689655172414)","(41.0, 100.0, 75.0)","(101.0, 490.0, 395.0)","(8.5, 9.8, 9.733333333333334)","(51.0, 100.0, 95.71428571428572)","(5.5, 9.4, 8.0)","(10.0, 15.0, 12.75)","(12.0, 23.0, 16.181818181818183)","(3.1, 4.6, 2.935964912280702)","(101.0, 970.0, 931.8181818181818)","(21.0, 32.0, 29.75)"
