,Barcelona Boy,Comical Mick,Brians Buster,One More Time,Aerobic Bella,Yumar,Craigs Cruisin
07-12-2022 14:22:45.035173,"(1.65, 1.86, 1.843157894736842)","(4.2, 5.1, 4.982926829268292)","(19.0, 36.0, 32.78260869565217)","(21.0, 30.0, 30.8)","(10.0, 15.5, 15.1)","(5.5, 8.4, 7.48)","(101.0, 550.0, 488.3333333333333)"
07-12-2022 14:22:46.174350,"(1.65, 1.9, 1.843157894736842)","(4.2, 5.1, 4.982926829268292)","(19.0, 36.0, 32.78260869565217)","(21.0, 32.0, 30.666666666666664)","(10.0, 16.5, 14.954545454545455)","(5.5, 8.8, 7.733333333333333)","(101.0, 550.0, 513.0)"
07-12-2022 14:22:47.372984,"(1.65, 1.91, 1.8936363636363636)","(4.2, 4.9, 4.84375)","(19.0, 36.0, 32.78260869565217)","(21.0, 32.0, 30.666666666666664)","(10.0, 16.5, 14.954545454545455)","(5.5, 8.4, 7.14)","(101.0, 550.0, 476.0)"
07-12-2022 14:22:48.635152,"(1.65, 1.91, 1.903)","(4.2, 4.7, 4.651515151515151)","(19.0, 36.0, 32.78260869565217)","(21.0, 32.0, 30.0)","(10.0, 16.5, 14.954545454545455)","(5.5, 8.4, 7.68)","(101.0, 550.0, 812.0)"
07-12-2022 14:22:49.619997,"(1.65, 1.91, 1.8900000000000001)","(4.2, 4.7, 4.596774193548387)","(19.0, 36.0, 32.78260869565217)","(21.0, 32.0, 30.0)","(10.0, 16.5, 15.555555555555555)","(5.5, 8.4, 7.3500000000000005)","(101.0, 970.0, 840.0)"
07-12-2022 14:22:50.735902,"(1.65, 1.93, 1.92)","(4.2, 4.7, 4.466666666666667)","(19.0, 36.0, 32.78260869565217)","(21.0, 32.0, 29.75)","(10.0, 16.5, 15.555555555555555)","(5.5, 7.4, 7.345454545454546)","(101.0, 970.0, 840.0)"
07-12-2022 14:22:52.001175,"(1.65, 1.93, 1.92)","(4.2, 4.7, 4.466666666666667)","(19.0, 36.0, 32.78260869565217)","(21.0, 32.0, 29.0)","(10.0, 16.5, 15.555555555555555)","(5.5, 7.4, 7.32)","(101.0, 970.0, 573.3333333333334)"
07-12-2022 14:22:53.313655,"(1.65, 1.94, 1.9133333333333333)","(4.2, 4.7, 4.566666666666666)","(19.0, 36.0, 32.78260869565217)","(21.0, 32.0, 29.0)","(10.0, 16.5, 15.558823529411764)","(5.5, 7.4, 7.533333333333333)","(101.0, 650.0, 530.0)"
07-12-2022 14:22:54.850359,"(1.65, 1.94, 1.9264285714285714)","(4.2, 4.6, 4.583333333333333)","(19.0, 36.0, 32.78260869565217)","(21.0, 32.0, 29.93103448275862)","(10.0, 16.5, 14.976190476190476)","(5.5, 7.6, 7.177777777777778)","(101.0, 650.0, 590.0)"
07-12-2022 14:22:56.153751,"(1.65, 1.95, 1.9264285714285714)","(4.2, 4.6, 4.583333333333333)","(19.0, 36.0, 32.78260869565217)","(21.0, 32.0, 29.93103448275862)","(10.0, 16.5, 14.976190476190476)","(5.5, 7.2, 7.15)","(101.0, 650.0, 613.8461538461538)"
07-12-2022 14:22:57.422140,"(1.65, 1.95, 1.9425)","(4.2, 4.6, 4.522222222222222)","(19.0, 36.0, 32.78260869565217)","(21.0, 32.0, 29.692307692307693)","(10.0, 16.5, 14.976190476190476)","(5.5, 7.2, 7.3428571428571425)","(101.0, 650.0, 603.0)"
07-12-2022 14:22:58.809880,"(1.65, 1.95, 1.93)","(4.2, 4.6, 4.460606060606061)","(19.0, 36.0, 32.476190476190474)","(21.0, 32.0, 29.6)","(10.0, 16.5, 14.976190476190476)","(5.5, 7.8, 7.218181818181818)","(101.0, 650.0, 603.0)"
07-12-2022 14:23:00.138890,"(1.65, 1.95, 1.9472222222222222)","(4.2, 4.6, 4.460606060606061)","(19.0, 36.0, 32.476190476190474)","(21.0, 32.0, 29.6)","(10.0, 16.5, 14.976190476190476)","(5.5, 7.8, 7.218181818181818)","(101.0, 650.0, 556.0)"
07-12-2022 14:23:01.556084,"(1.65, 1.95, 1.9472222222222222)","(4.2, 4.6, 4.460606060606061)","(19.0, 36.0, 32.476190476190474)","(21.0, 32.0, 29.6)","(10.0, 16.5, 15.409090909090908)","(5.5, 7.8, 7.333333333333333)","(101.0, 650.0, 573.3333333333334)"
07-12-2022 14:23:02.978357,"(1.65, 1.95, 1.9383076923076923)","(4.2, 4.6, 4.464285714285714)","(17.0, 36.0, 32.63636363636363)","(19.0, 32.0, 29.857142857142858)","(9.0, 16.5, 15.634615384615385)","(5.5, 7.6, 7.375)","(101.0, 650.0, 584.2857142857142)"
07-12-2022 14:23:04.240170,"(1.65, 1.95, 1.9397959183673468)","(4.2, 4.6, 4.49)","(17.0, 36.0, 32.63636363636363)","(19.0, 32.0, 29.857142857142858)","(9.0, 16.5, 16.35)","(5.5, 7.6, 7.476470588235294)","(101.0, 650.0, 584.2857142857142)"
07-12-2022 14:23:05.597684,"(1.7, 1.95, 1.9325581395348836)","(4.2, 4.5, 4.442857142857143)","(19.0, 36.0, 32.63636363636363)","(21.0, 32.0, 29.857142857142858)","(10.0, 16.5, 16.35)","(5.5, 7.6, 7.458823529411765)","(101.0, 650.0, 420.0)"
07-12-2022 14:23:06.886890,"(1.7, 1.95, 1.9176923076923076)","(4.2, 4.5, 4.51063829787234)","(19.0, 36.0, 32.5)","(21.0, 32.0, 30.8)","(10.0, 16.5, 16.642857142857142)","(5.5, 7.6, 7.555555555555555)","(101.0, 650.0, 590.0)"
07-12-2022 14:23:08.093999,"(1.7, 1.9, 1.890281690140845)","(4.2, 4.6, 4.51063829787234)","(19.0, 36.0, 32.5)","(21.0, 32.0, 28.0)","(10.0, 17.5, 17.125)","(5.5, 7.6, 7.571428571428571)","(101.0, 650.0, 360.0)"
07-12-2022 14:23:09.262502,"(1.7, 1.89, 1.8772727272727272)","(4.2, 4.7, 4.531578947368421)","(19.0, 36.0, 32.81818181818182)","(21.0, 32.0, 28.0)","(10.0, 17.5, 17.227272727272727)","(5.5, 7.6, 7.58235294117647)","(101.0, 540.0, 420.0)"
07-12-2022 14:23:10.425431,"(1.7, 1.89, 1.875925925925926)","(4.2, 4.7, 4.561224489795919)","(19.0, 36.0, 32.95652173913044)","(21.0, 32.0, 30.4)","(10.0, 17.5, 17.153846153846153)","(5.5, 7.6, 7.580645161290322)","(101.0, 540.0, 420.0)"
07-12-2022 14:23:11.776934,"(1.7, 1.89, 1.8824)","(4.2, 4.7, 4.6066666666666665)","(19.0, 36.0, 30.814814814814817)","(21.0, 32.0, 30.714285714285715)","(10.0, 17.5, 17.295454545454547)","(5.5, 7.6, 7.727272727272727)","(101.0, 540.0, 360.0)"
07-12-2022 14:23:13.008935,"(1.7, 1.89, 1.8837777777777778)","(4.2, 4.7, 4.589473684210526)","(19.0, 36.0, 30.15)","(21.0, 32.0, 29.954545454545453)","(10.0, 17.5, 17.125)","(5.5, 7.8, 7.6)","(101.0, 540.0, 340.0)"
07-12-2022 14:23:14.150605,"(1.7, 1.89, 1.8837777777777778)","(4.2, 4.7, 4.589473684210526)","(19.0, 36.0, 31.333333333333332)","(21.0, 32.0, 29.5)","(10.0, 17.5, 17.285714285714285)","(5.5, 7.8, 7.711111111111111)","(101.0, 540.0, 315.0)"
07-12-2022 14:23:15.290711,"(1.7, 1.89, 1.8837777777777778)","(4.2, 4.7, 4.6066666666666665)","(19.0, 34.0, 31.333333333333332)","(21.0, 32.0, 29.5)","(10.0, 17.5, 17.285714285714285)","(5.5, 7.8, 7.822222222222222)","(101.0, 540.0, 365.0)"
07-12-2022 14:23:16.568800,"(1.7, 1.91, 1.892222222222222)","(4.2, 4.7, 4.607407407407408)","(19.0, 34.0, 30.666666666666668)","(21.0, 32.0, 29.857142857142858)","(10.0, 17.5, 17.342105263157894)","(5.5, 8.0, 7.788235294117647)","(101.0, 540.0, 321.25)"
07-12-2022 14:23:17.988470,"(1.7, 1.91, 1.892162162162162)","(4.2, 4.7, 4.602325581395349)","(19.0, 34.0, 30.666666666666668)","(21.0, 32.0, 29.785714285714285)","(10.0, 17.5, 17.342105263157894)","(5.5, 8.0, 7.766666666666667)","(101.0, 540.0, 221.8181818181818)"
07-12-2022 14:23:19.195530,"(1.7, 1.91, 1.892162162162162)","(4.2, 4.7, 4.602325581395349)","(18.0, 34.0, 30.666666666666668)","(21.0, 30.0, 29.75)","(10.0, 17.5, 17.342105263157894)","(5.5, 8.0, 7.72)","(101.0, 540.0, 322.3529411764706)"
07-12-2022 14:23:20.347082,"(1.7, 1.91, 1.8943478260869564)","(4.2, 4.7, 4.589473684210526)","(18.0, 34.0, 30.16216216216216)","(21.0, 30.0, 31.428571428571427)","(10.0, 17.5, 17.057692307692307)","(5.5, 8.0, 7.964705882352941)","(101.0, 540.0, 308.57142857142856)"
