,Itchy Nose,Call Me Jim,Rich Hips,Aston Rozee,Coconut Santiago,Brother Yap,Champ Duran
07-12-2022 13:20:45.619420,"(2.2, 4.3, 3.2733333333333334)","(11.0, 22.0, 16.5)","(21.0, 60.0, 26.666666666666668)","(4.4, 6.8, 5.55)","(6.0, 12.0, 7.714285714285714)","(3.6, 4.0, 3.7954545454545454)","(31.0, 190.0, 77.05882352941177)"
07-12-2022 13:20:46.587526,"(2.2, 4.3, 3.2733333333333334)","(11.0, 16.0, 11.625)","(21.0, 60.0, 26.666666666666668)","(4.4, 6.8, 5.55)","(6.0, 12.0, 7.714285714285714)","(3.6, 4.0, 3.7954545454545454)","(31.0, 190.0, 77.05882352941177)"
07-12-2022 13:20:47.529470,"(2.2, 4.3, 3.2733333333333334)","(11.0, 16.0, 11.625)","(21.0, 60.0, 26.666666666666668)","(4.4, 6.8, 5.55)","(6.0, 12.0, 7.714285714285714)","(3.6, 4.0, 3.7954545454545454)","(31.0, 190.0, 77.05882352941177)"
07-12-2022 13:20:48.537667,"(2.2, 4.3, 3.2733333333333334)","(11.0, 16.0, 13.083333333333334)","(21.0, 60.0, 26.666666666666668)","(4.4, 6.8, 6.383333333333333)","(6.0, 12.0, 9.272727272727273)","(3.6, 4.0, 3.7954545454545454)","(31.0, 190.0, 77.05882352941177)"
07-12-2022 13:20:49.549327,"(2.2, 4.3, 3.2733333333333334)","(11.0, 22.0, 20.77777777777778)","(21.0, 60.0, 26.666666666666668)","(4.4, 6.8, 6.2)","(6.0, 12.0, 9.76923076923077)","(3.6, 4.0, 3.7954545454545454)","(31.0, 190.0, 77.05882352941177)"
07-12-2022 13:20:50.530306,"(2.2, 4.3, 3.2733333333333334)","(11.0, 22.0, 20.77777777777778)","(21.0, 60.0, 26.666666666666668)","(4.4, 6.8, 6.2)","(6.0, 12.0, 9.76923076923077)","(3.6, 4.0, 3.7222222222222223)","(31.0, 190.0, 77.05882352941177)"
07-12-2022 13:20:51.520185,"(2.2, 4.3, 3.2733333333333334)","(11.0, 22.0, 20.77777777777778)","(21.0, 60.0, 26.666666666666668)","(4.4, 5.8, 4.4875)","(6.0, 12.0, 10.066666666666666)","(3.6, 4.0, 3.7222222222222223)","(31.0, 190.0, 77.05882352941177)"
07-12-2022 13:20:52.540670,"(2.2, 4.3, 3.2733333333333334)","(11.0, 22.0, 20.77777777777778)","(21.0, 60.0, 26.666666666666668)","(4.4, 5.8, 5.0)","(6.0, 12.0, 10.066666666666666)","(3.6, 4.0, 3.7222222222222223)","(31.0, 190.0, 77.05882352941177)"
07-12-2022 13:20:53.503921,"(2.2, 4.3, 3.2733333333333334)","(11.0, 22.0, 20.77777777777778)","(21.0, 60.0, 26.666666666666668)","(4.4, 5.7, 5.55)","(6.0, 12.0, 8.88888888888889)","(3.6, 4.0, 3.7222222222222223)","(31.0, 190.0, 77.05882352941177)"
07-12-2022 13:20:54.474581,"(2.2, 4.3, 3.2733333333333334)","(11.0, 22.0, 20.77777777777778)","(21.0, 60.0, 26.666666666666668)","(4.4, 6.8, 6.2)","(6.0, 12.0, 8.88888888888889)","(3.6, 4.0, 3.7222222222222223)","(31.0, 190.0, 77.05882352941177)"
