,Jumbo Ozaki,Miss Destruction,Eve And Jan,Fan Cool Unit,Alinta Fire,Smart Times,Who Roux Dude,Lees Bonus
15-12-2022 11:33:20.204288,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 44.642857142857146)","(41.0, 300.0, 130.28571428571428)","(41.0, 290.0, 112.11764705882354)","(4.0, 7.0, 4.62)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:21.317029,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 44.642857142857146)","(41.0, 300.0, 130.28571428571428)","(41.0, 290.0, 112.11764705882354)","(4.0, 7.0, 4.62)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:22.416546,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 44.642857142857146)","(41.0, 300.0, 130.28571428571428)","(41.0, 290.0, 112.11764705882354)","(4.0, 7.0, 4.62)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:23.524801,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 44.642857142857146)","(41.0, 300.0, 130.28571428571428)","(41.0, 290.0, 112.11764705882354)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:24.595908,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 44.642857142857146)","(41.0, 300.0, 130.28571428571428)","(41.0, 290.0, 112.11764705882354)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:25.712422,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 44.642857142857146)","(41.0, 300.0, 130.28571428571428)","(41.0, 290.0, 112.11764705882354)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:26.887576,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 44.642857142857146)","(41.0, 300.0, 130.28571428571428)","(41.0, 290.0, 112.11764705882354)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:28.046580,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 44.642857142857146)","(41.0, 300.0, 130.28571428571428)","(41.0, 290.0, 112.11764705882354)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:29.165138,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 44.642857142857146)","(41.0, 300.0, 130.28571428571428)","(41.0, 290.0, 112.11764705882354)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:30.298833,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 44.642857142857146)","(41.0, 300.0, 130.28571428571428)","(41.0, 290.0, 112.11764705882354)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:31.426513,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 44.642857142857146)","(41.0, 300.0, 130.28571428571428)","(41.0, 290.0, 112.11764705882354)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:32.534113,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 44.642857142857146)","(41.0, 300.0, 130.28571428571428)","(41.0, 290.0, 112.11764705882354)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:33.595626,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 44.642857142857146)","(41.0, 300.0, 130.28571428571428)","(41.0, 290.0, 112.11764705882354)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:34.667488,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 44.642857142857146)","(41.0, 300.0, 130.28571428571428)","(41.0, 290.0, 112.11764705882354)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:35.708066,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 44.642857142857146)","(41.0, 300.0, 130.28571428571428)","(41.0, 290.0, 112.11764705882354)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:36.826644,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 44.642857142857146)","(41.0, 300.0, 130.28571428571428)","(41.0, 290.0, 112.11764705882354)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:37.878117,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 44.642857142857146)","(41.0, 300.0, 130.28571428571428)","(41.0, 290.0, 112.11764705882354)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:38.991364,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 33.75)","(41.0, 300.0, 130.28571428571428)","(41.0, 290.0, 112.11764705882354)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:40.115103,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 33.75)","(41.0, 300.0, 130.28571428571428)","(41.0, 290.0, 112.11764705882354)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:41.167438,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 33.75)","(41.0, 300.0, 130.28571428571428)","(41.0, 290.0, 112.11764705882354)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:42.191998,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 33.75)","(41.0, 300.0, 130.28571428571428)","(41.0, 290.0, 112.11764705882354)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:43.202944,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 33.75)","(41.0, 300.0, 130.28571428571428)","(41.0, 290.0, 112.11764705882354)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:44.215517,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 33.75)","(41.0, 300.0, 130.28571428571428)","(41.0, 290.0, 112.11764705882354)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:45.248109,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 33.75)","(41.0, 300.0, 130.28571428571428)","(41.0, 290.0, 112.11764705882354)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
