,Farmor Hype,Pump My Tyre,Rosdue Kodiak,Ninja Redemption,On Any Day,Magique Noir,Champagne Ivy,Wild Apatite
09-01-2023 11:08:48.188953,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.7, 4.366666666666667)","(7.5, 20.0, 13.0)"
09-01-2023 11:08:49.316159,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.7, 4.233333333333333)","(7.5, 20.0, 13.0)"
09-01-2023 11:08:50.493075,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.0)"
09-01-2023 11:08:51.613769,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.0)"
09-01-2023 11:08:52.731091,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.0)"
09-01-2023 11:08:53.879195,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.0)"
09-01-2023 11:08:54.977167,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.0)"
09-01-2023 11:08:56.081354,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.0)"
09-01-2023 11:08:57.172450,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.0)"
09-01-2023 11:08:58.270293,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.0)"
09-01-2023 11:08:59.444415,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.0)"
09-01-2023 11:09:00.532911,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.0)"
09-01-2023 11:09:01.639706,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.0)"
09-01-2023 11:09:02.688136,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.0)"
09-01-2023 11:09:03.663289,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.0)"
