,Thornbird,Sunshine Banjo,Lady Swiss,Pound Down,Sweet Kris,Flight To Mars,Hes A Minstrel
09-01-2023 13:42:19.261869,"(10.0, 16.5, 14.666666666666666)","(2.9, 4.1, 3.7529411764705882)","(14.0, 29.0, 19.555555555555557)","(31.0, 130.0, 57.85714285714286)","(2.8, 4.0, 2.899310344827586)","(4.6, 7.8, 5.429411764705883)","(6.0, 19.5, 12.120000000000001)"
09-01-2023 13:42:20.594142,"(10.0, 17.5, 14.666666666666666)","(2.9, 4.1, 3.7529411764705882)","(14.0, 29.0, 19.555555555555557)","(31.0, 130.0, 57.85714285714286)","(2.8, 4.0, 2.899310344827586)","(4.6, 7.8, 5.429411764705883)","(6.0, 19.5, 12.120000000000001)"
09-01-2023 13:42:21.866382,"(10.0, 17.5, 14.666666666666666)","(2.9, 4.1, 3.7529411764705882)","(14.0, 29.0, 19.555555555555557)","(31.0, 130.0, 57.85714285714286)","(2.8, 4.0, 2.899310344827586)","(4.6, 7.8, 5.429411764705883)","(6.0, 19.5, 12.120000000000001)"
09-01-2023 13:42:23.125140,"(10.0, 17.0, 13.0)","(2.9, 4.1, 3.7529411764705882)","(14.0, 29.0, 19.555555555555557)","(31.0, 130.0, 57.85714285714286)","(2.8, 4.0, 2.899310344827586)","(4.6, 7.8, 5.429411764705883)","(6.0, 19.5, 12.120000000000001)"
09-01-2023 13:42:24.268373,"(10.0, 17.0, 13.0)","(2.9, 4.1, 3.7529411764705882)","(14.0, 29.0, 19.555555555555557)","(31.0, 130.0, 57.85714285714286)","(2.8, 4.0, 2.899310344827586)","(4.6, 7.8, 5.429411764705883)","(6.0, 19.5, 12.120000000000001)"
09-01-2023 13:42:25.457841,"(10.0, 17.0, 13.0)","(2.9, 4.1, 3.7529411764705882)","(14.0, 29.0, 19.555555555555557)","(31.0, 130.0, 57.85714285714286)","(2.8, 4.0, 2.928888888888889)","(4.6, 7.8, 5.429411764705883)","(6.0, 19.5, 12.120000000000001)"
09-01-2023 13:42:26.706834,"(10.0, 17.0, 13.0)","(2.9, 4.1, 3.7529411764705882)","(14.0, 29.0, 19.555555555555557)","(31.0, 130.0, 57.85714285714286)","(2.8, 4.1, 2.928888888888889)","(4.6, 7.8, 5.429411764705883)","(6.0, 19.5, 12.120000000000001)"
09-01-2023 13:42:27.882277,"(10.0, 17.0, 13.0)","(2.9, 4.1, 3.7529411764705882)","(14.0, 29.0, 19.555555555555557)","(31.0, 130.0, 57.85714285714286)","(2.8, 4.1, 2.928888888888889)","(4.6, 7.8, 5.429411764705883)","(6.0, 19.5, 12.120000000000001)"
09-01-2023 13:42:29.142704,"(10.0, 17.0, 13.0)","(2.9, 4.1, 3.7529411764705882)","(14.0, 29.0, 19.555555555555557)","(31.0, 130.0, 57.85714285714286)","(2.8, 4.1, 2.928888888888889)","(4.6, 7.8, 5.429411764705883)","(6.0, 19.5, 14.66)"
09-01-2023 13:42:30.448178,"(10.0, 17.0, 13.0)","(2.9, 4.1, 3.7529411764705882)","(14.0, 29.0, 19.555555555555557)","(31.0, 130.0, 57.85714285714286)","(2.8, 4.1, 2.928888888888889)","(4.6, 7.8, 5.429411764705883)","(6.0, 19.5, 14.66)"
09-01-2023 13:42:31.752122,"(10.0, 17.0, 13.0)","(2.9, 4.1, 3.7529411764705882)","(14.0, 29.0, 19.555555555555557)","(31.0, 130.0, 57.85714285714286)","(2.8, 4.1, 2.928888888888889)","(4.6, 7.8, 5.429411764705883)","(6.0, 19.5, 14.66)"
