,Conair,Jericho,Have A Heart,Teddy James,Queen Of Cakes,Miss Sassy,Cold Deck,Whiskey Business
0,"[datetime.datetime(2022, 11, 28, 20, 13, 34, 468493), 2.3, 2.52]","[datetime.datetime(2022, 11, 28, 20, 13, 34, 468493), 17.0, 40.0]","[datetime.datetime(2022, 11, 28, 20, 13, 34, 468493), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 13, 34, 468493), 2.4, 2.8]","[datetime.datetime(2022, 11, 28, 20, 13, 34, 468493), 11.0, 22.0]","[datetime.datetime(2022, 11, 28, 20, 13, 34, 468493), 31.0, 290.0]","[datetime.datetime(2022, 11, 28, 20, 13, 34, 468493), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 20, 13, 34, 468493), 7.5, 16.0]"
1,"[datetime.datetime(2022, 11, 28, 20, 13, 35, 642293), 2.3, 2.52]","[datetime.datetime(2022, 11, 28, 20, 13, 35, 642293), 17.0, 40.0]","[datetime.datetime(2022, 11, 28, 20, 13, 35, 642293), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 13, 35, 642293), 2.4, 2.8]","[datetime.datetime(2022, 11, 28, 20, 13, 35, 642293), 11.0, 22.0]","[datetime.datetime(2022, 11, 28, 20, 13, 35, 642293), 31.0, 290.0]","[datetime.datetime(2022, 11, 28, 20, 13, 35, 642293), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 20, 13, 35, 642293), 7.5, 15.5]"
2,"[datetime.datetime(2022, 11, 28, 20, 13, 36, 788209), 2.3, 2.48]","[datetime.datetime(2022, 11, 28, 20, 13, 36, 788209), 17.0, 40.0]","[datetime.datetime(2022, 11, 28, 20, 13, 36, 788209), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 13, 36, 788209), 2.4, 2.8]","[datetime.datetime(2022, 11, 28, 20, 13, 36, 788209), 11.0, 22.0]","[datetime.datetime(2022, 11, 28, 20, 13, 36, 788209), 31.0, 290.0]","[datetime.datetime(2022, 11, 28, 20, 13, 36, 788209), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 20, 13, 36, 788209), 7.5, 15.5]"
3,"[datetime.datetime(2022, 11, 28, 20, 13, 37, 957869), 2.3, 2.48]","[datetime.datetime(2022, 11, 28, 20, 13, 37, 957869), 17.0, 40.0]","[datetime.datetime(2022, 11, 28, 20, 13, 37, 957869), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 13, 37, 957869), 2.4, 2.8]","[datetime.datetime(2022, 11, 28, 20, 13, 37, 957869), 11.0, 22.0]","[datetime.datetime(2022, 11, 28, 20, 13, 37, 957869), 31.0, 290.0]","[datetime.datetime(2022, 11, 28, 20, 13, 37, 957869), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 20, 13, 37, 957869), 7.5, 15.5]"
4,"[datetime.datetime(2022, 11, 28, 20, 13, 39, 117506), 2.3, 2.48]","[datetime.datetime(2022, 11, 28, 20, 13, 39, 117506), 17.0, 40.0]","[datetime.datetime(2022, 11, 28, 20, 13, 39, 117506), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 13, 39, 117506), 2.4, 2.8]","[datetime.datetime(2022, 11, 28, 20, 13, 39, 117506), 11.0, 22.0]","[datetime.datetime(2022, 11, 28, 20, 13, 39, 117506), 31.0, 290.0]","[datetime.datetime(2022, 11, 28, 20, 13, 39, 117506), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 20, 13, 39, 117506), 7.5, 15.5]"
5,"[datetime.datetime(2022, 11, 28, 20, 13, 40, 256810), 2.3, 2.48]","[datetime.datetime(2022, 11, 28, 20, 13, 40, 256810), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 20, 13, 40, 256810), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 13, 40, 256810), 2.4, 2.8]","[datetime.datetime(2022, 11, 28, 20, 13, 40, 256810), 11.0, 22.0]","[datetime.datetime(2022, 11, 28, 20, 13, 40, 256810), 31.0, 290.0]","[datetime.datetime(2022, 11, 28, 20, 13, 40, 256810), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 20, 13, 40, 256810), 7.5, 15.5]"
6,"[datetime.datetime(2022, 11, 28, 20, 13, 41, 398676), 2.3, 2.48]","[datetime.datetime(2022, 11, 28, 20, 13, 41, 398676), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 20, 13, 41, 398676), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 13, 41, 398676), 2.4, 2.8]","[datetime.datetime(2022, 11, 28, 20, 13, 41, 398676), 11.0, 22.0]","[datetime.datetime(2022, 11, 28, 20, 13, 41, 398676), 31.0, 290.0]","[datetime.datetime(2022, 11, 28, 20, 13, 41, 398676), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 20, 13, 41, 398676), 7.5, 15.5]"
7,"[datetime.datetime(2022, 11, 28, 20, 13, 42, 530905), 2.3, 2.48]","[datetime.datetime(2022, 11, 28, 20, 13, 42, 530905), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 20, 13, 42, 530905), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 13, 42, 530905), 2.4, 2.8]","[datetime.datetime(2022, 11, 28, 20, 13, 42, 530905), 11.0, 22.0]","[datetime.datetime(2022, 11, 28, 20, 13, 42, 530905), 31.0, 290.0]","[datetime.datetime(2022, 11, 28, 20, 13, 42, 530905), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 20, 13, 42, 530905), 7.5, 15.5]"
8,"[datetime.datetime(2022, 11, 28, 20, 13, 43, 664558), 2.3, 2.48]","[datetime.datetime(2022, 11, 28, 20, 13, 43, 664558), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 20, 13, 43, 664558), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 13, 43, 664558), 2.4, 2.8]","[datetime.datetime(2022, 11, 28, 20, 13, 43, 664558), 11.0, 22.0]","[datetime.datetime(2022, 11, 28, 20, 13, 43, 664558), 31.0, 290.0]","[datetime.datetime(2022, 11, 28, 20, 13, 43, 664558), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 20, 13, 43, 664558), 7.5, 15.5]"
9,"[datetime.datetime(2022, 11, 28, 20, 13, 44, 790252), 2.3, 2.48]","[datetime.datetime(2022, 11, 28, 20, 13, 44, 790252), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 20, 13, 44, 790252), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 13, 44, 790252), 2.4, 2.8]","[datetime.datetime(2022, 11, 28, 20, 13, 44, 790252), 11.0, 22.0]","[datetime.datetime(2022, 11, 28, 20, 13, 44, 790252), 31.0, 290.0]","[datetime.datetime(2022, 11, 28, 20, 13, 44, 790252), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 20, 13, 44, 790252), 7.5, 15.5]"
10,"[datetime.datetime(2022, 11, 28, 20, 13, 45, 923020), 2.3, 2.48]","[datetime.datetime(2022, 11, 28, 20, 13, 45, 923020), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 20, 13, 45, 923020), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 13, 45, 923020), 2.4, 2.8]","[datetime.datetime(2022, 11, 28, 20, 13, 45, 923020), 11.0, 22.0]","[datetime.datetime(2022, 11, 28, 20, 13, 45, 923020), 31.0, 290.0]","[datetime.datetime(2022, 11, 28, 20, 13, 45, 923020), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 20, 13, 45, 923020), 7.5, 15.5]"
11,"[datetime.datetime(2022, 11, 28, 20, 13, 47, 61100), 2.3, 2.48]","[datetime.datetime(2022, 11, 28, 20, 13, 47, 61100), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 20, 13, 47, 61100), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 13, 47, 61100), 2.4, 2.8]","[datetime.datetime(2022, 11, 28, 20, 13, 47, 61100), 11.0, 22.0]","[datetime.datetime(2022, 11, 28, 20, 13, 47, 61100), 31.0, 290.0]","[datetime.datetime(2022, 11, 28, 20, 13, 47, 61100), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 20, 13, 47, 61100), 7.5, 15.5]"
12,"[datetime.datetime(2022, 11, 28, 20, 13, 48, 185724), 2.3, 2.48]","[datetime.datetime(2022, 11, 28, 20, 13, 48, 185724), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 20, 13, 48, 185724), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 13, 48, 185724), 2.4, 2.8]","[datetime.datetime(2022, 11, 28, 20, 13, 48, 185724), 11.0, 22.0]","[datetime.datetime(2022, 11, 28, 20, 13, 48, 185724), 31.0, 290.0]","[datetime.datetime(2022, 11, 28, 20, 13, 48, 185724), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 20, 13, 48, 185724), 7.5, 15.5]"
