,Stormy Paradise,Hyperdrive,Fast Liar,King Cujo,Little Capers,Lets Win Money,Kingsbrae Bear,Backcreek Bingo
05-01-2023 12:28:40.430601,"(3.3, 5.6, 3.362162162162162)","(3.4, 5.9, 3.6568181818181817)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 103.33333333333333)","(71.0, 140.0, 97.5)","(3.9, 7.8, 4.760526315789474)","(4.8, 10.5, 5.15625)"
05-01-2023 12:28:41.537549,"(3.3, 5.6, 3.362162162162162)","(3.4, 5.9, 3.6568181818181817)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 103.33333333333333)","(71.0, 140.0, 97.5)","(3.9, 7.8, 4.760526315789474)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:28:42.770114,"(3.3, 5.6, 3.362162162162162)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 103.33333333333333)","(71.0, 140.0, 97.5)","(3.9, 7.8, 4.760526315789474)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:28:43.926591,"(3.3, 5.6, 3.362162162162162)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 103.33333333333333)","(71.0, 140.0, 97.5)","(3.9, 7.8, 4.760526315789474)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:28:45.064219,"(3.3, 5.6, 3.362162162162162)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 103.33333333333333)","(71.0, 140.0, 97.5)","(3.9, 7.8, 4.760526315789474)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:28:46.090500,"(3.3, 5.6, 3.362162162162162)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 103.33333333333333)","(71.0, 140.0, 97.5)","(3.9, 7.8, 4.760526315789474)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:28:47.157765,"(3.3, 5.6, 3.362162162162162)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 103.33333333333333)","(71.0, 140.0, 97.5)","(3.9, 7.8, 4.760526315789474)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:28:48.188371,"(3.3, 5.6, 3.362162162162162)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 103.33333333333333)","(71.0, 140.0, 97.5)","(3.9, 7.8, 4.760526315789474)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:28:49.290293,"(3.3, 5.6, 3.362162162162162)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 103.33333333333333)","(71.0, 140.0, 97.5)","(3.9, 7.8, 4.760526315789474)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:28:50.381063,"(3.3, 5.6, 3.362162162162162)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 103.33333333333333)","(71.0, 140.0, 97.5)","(3.9, 7.8, 4.760526315789474)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:28:51.464426,"(3.3, 5.6, 3.362162162162162)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 103.33333333333333)","(71.0, 140.0, 97.5)","(3.9, 7.8, 4.760526315789474)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:28:52.488722,"(3.3, 5.6, 3.362162162162162)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 103.33333333333333)","(71.0, 140.0, 97.5)","(3.9, 7.8, 4.760526315789474)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:28:53.620677,"(3.3, 5.6, 3.362162162162162)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 103.33333333333333)","(71.0, 140.0, 97.5)","(3.9, 7.8, 4.760526315789474)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:28:54.745446,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 103.33333333333333)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.55531914893617)","(4.8, 10.5, 8.307692307692307)"
