,Homebush Tails,Wills Prodigy,Alpaca Lunch,Opawa Lilly,Homebush Tessa,Impressive Charm,Nick Baxter,Famous Grouse
10,"[datetime.datetime(2022, 11, 28, 11, 58, 36, 602322), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 11, 58, 36, 602322), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 58, 36, 602322), 4.8, 9.8]","[datetime.datetime(2022, 11, 28, 11, 58, 36, 602322), 21.0, 240.0]","[datetime.datetime(2022, 11, 28, 11, 58, 36, 602322), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 11, 58, 36, 602322), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 36, 602322), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 36, 602322), 1.6, 1.72]"
11,"[datetime.datetime(2022, 11, 28, 11, 58, 37, 734659), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 11, 58, 37, 734659), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 58, 37, 734659), 4.8, 9.8]","[datetime.datetime(2022, 11, 28, 11, 58, 37, 734659), 21.0, 240.0]","[datetime.datetime(2022, 11, 28, 11, 58, 37, 734659), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 11, 58, 37, 734659), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 37, 734659), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 37, 734659), 1.6, 1.72]"
12,"[datetime.datetime(2022, 11, 28, 11, 58, 38, 877464), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 11, 58, 38, 877464), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 58, 38, 877464), 4.8, 9.8]","[datetime.datetime(2022, 11, 28, 11, 58, 38, 877464), 21.0, 240.0]","[datetime.datetime(2022, 11, 28, 11, 58, 38, 877464), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 11, 58, 38, 877464), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 38, 877464), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 38, 877464), 1.6, 1.72]"
13,"[datetime.datetime(2022, 11, 28, 11, 58, 40, 7365), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 11, 58, 40, 7365), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 58, 40, 7365), 4.8, 9.8]","[datetime.datetime(2022, 11, 28, 11, 58, 40, 7365), 21.0, 240.0]","[datetime.datetime(2022, 11, 28, 11, 58, 40, 7365), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 11, 58, 40, 7365), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 40, 7365), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 40, 7365), 1.6, 1.72]"
14,"[datetime.datetime(2022, 11, 28, 11, 58, 41, 136380), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 11, 58, 41, 136380), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 58, 41, 136380), 4.8, 9.8]","[datetime.datetime(2022, 11, 28, 11, 58, 41, 136380), 21.0, 240.0]","[datetime.datetime(2022, 11, 28, 11, 58, 41, 136380), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 11, 58, 41, 136380), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 41, 136380), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 41, 136380), 1.6, 1.72]"
15,"[datetime.datetime(2022, 11, 28, 11, 58, 42, 272691), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 11, 58, 42, 272691), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 58, 42, 272691), 4.8, 9.8]","[datetime.datetime(2022, 11, 28, 11, 58, 42, 272691), 21.0, 240.0]","[datetime.datetime(2022, 11, 28, 11, 58, 42, 272691), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 11, 58, 42, 272691), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 42, 272691), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 42, 272691), 1.6, 1.72]"
16,"[datetime.datetime(2022, 11, 28, 11, 58, 43, 456453), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 11, 58, 43, 456453), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 58, 43, 456453), 4.8, 9.8]","[datetime.datetime(2022, 11, 28, 11, 58, 43, 456453), 21.0, 240.0]","[datetime.datetime(2022, 11, 28, 11, 58, 43, 456453), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 11, 58, 43, 456453), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 43, 456453), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 43, 456453), 1.6, 1.72]"
17,"[datetime.datetime(2022, 11, 28, 11, 58, 44, 589735), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 11, 58, 44, 589735), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 58, 44, 589735), 4.8, 9.8]","[datetime.datetime(2022, 11, 28, 11, 58, 44, 589735), 21.0, 240.0]","[datetime.datetime(2022, 11, 28, 11, 58, 44, 589735), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 11, 58, 44, 589735), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 44, 590737), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 44, 590737), 1.6, 1.72]"
18,"[datetime.datetime(2022, 11, 28, 11, 58, 45, 717071), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 11, 58, 45, 717071), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 58, 45, 717071), 4.8, 9.8]","[datetime.datetime(2022, 11, 28, 11, 58, 45, 717071), 21.0, 240.0]","[datetime.datetime(2022, 11, 28, 11, 58, 45, 717071), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 11, 58, 45, 717071), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 45, 717071), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 45, 717071), 1.6, 1.72]"
19,"[datetime.datetime(2022, 11, 28, 11, 58, 46, 869741), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 11, 58, 46, 869741), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 58, 46, 869741), 4.8, 9.8]","[datetime.datetime(2022, 11, 28, 11, 58, 46, 869741), 21.0, 240.0]","[datetime.datetime(2022, 11, 28, 11, 58, 46, 869741), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 11, 58, 46, 869741), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 46, 869741), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 46, 869741), 1.6, 1.72]"
