,Unusual Culture,Defining,Intisar,Field Of Praise,Colorado Cruz,Girl,Little Miss Kubi
11-01-2023 17:44:08.650626,"(7.5, 8.4, 8.341333333333333)","(3.9, 5.2, 5.153846153846154)","(8.0, 9.0, 8.97752808988764)","(7.0, 8.2, 8.083333333333332)","(5.5, 7.4, 7.2)","(7.5, 9.2, 8.90909090909091)","(4.2, 5.4, 5.385321100917432)"
11-01-2023 17:44:09.749096,"(7.5, 8.4, 8.341333333333333)","(3.9, 5.2, 5.114285714285714)","(8.0, 9.2, 9.09090909090909)","(7.0, 8.2, 8.083333333333332)","(5.5, 7.4, 7.2)","(7.5, 9.2, 8.90909090909091)","(4.2, 5.4, 5.392380952380953)"
11-01-2023 17:44:10.885632,"(7.5, 8.4, 8.341333333333333)","(3.9, 5.2, 5.114285714285714)","(8.0, 9.0, 8.965217391304348)","(7.0, 8.2, 8.083333333333332)","(5.5, 7.4, 7.2)","(7.5, 9.2, 8.90909090909091)","(4.2, 5.4, 5.392380952380953)"
11-01-2023 17:44:11.827732,"(7.5, 8.4, 8.341333333333333)","(3.9, 5.2, 5.114285714285714)","(8.0, 9.0, 8.965217391304348)","(7.0, 8.2, 8.083333333333332)","(5.5, 7.4, 7.2)","(7.5, 9.2, 8.90909090909091)","(4.2, 5.4, 5.392380952380953)"
11-01-2023 17:44:12.932169,"(7.5, 8.4, 8.341333333333333)","(3.9, 5.2, 5.114285714285714)","(8.0, 9.0, 8.965217391304348)","(7.0, 8.2, 8.083333333333332)","(5.5, 7.4, 7.2)","(7.5, 9.0, 8.805263157894737)","(4.2, 5.4, 5.392380952380953)"
11-01-2023 17:44:14.044369,"(7.5, 8.4, 8.341333333333333)","(3.9, 5.2, 5.114285714285714)","(8.0, 9.0, 8.965217391304348)","(7.0, 8.2, 8.1)","(5.5, 7.4, 7.2)","(7.5, 8.8, 8.731147540983606)","(4.2, 5.4, 5.392380952380953)"
11-01-2023 17:44:15.033492,"(7.5, 8.4, 8.341333333333333)","(3.9, 5.2, 5.114285714285714)","(8.0, 9.0, 8.965217391304348)","(7.0, 8.2, 8.1)","(5.5, 7.4, 7.2)","(7.5, 8.8, 8.731147540983606)","(4.2, 5.4, 5.392380952380953)"
11-01-2023 17:44:16.053644,"(7.5, 8.4, 8.341333333333333)","(3.9, 5.2, 5.114285714285714)","(8.0, 9.0, 8.965217391304348)","(7.0, 8.2, 8.1)","(5.5, 7.4, 7.2)","(7.5, 8.8, 8.731147540983606)","(4.2, 5.4, 5.392380952380953)"
11-01-2023 17:44:17.142917,"(7.5, 8.4, 8.341333333333333)","(3.9, 5.2, 5.114285714285714)","(8.0, 9.0, 8.965217391304348)","(7.0, 8.2, 8.1)","(5.5, 7.4, 7.2)","(7.5, 8.8, 8.731147540983606)","(4.2, 5.4, 5.392380952380953)"
11-01-2023 17:44:18.124255,"(7.5, 8.4, 8.341333333333333)","(3.9, 5.2, 5.114285714285714)","(8.0, 9.0, 8.965217391304348)","(7.0, 8.2, 8.1)","(5.5, 7.4, 7.2)","(7.5, 8.8, 8.731147540983606)","(4.2, 5.4, 5.392380952380953)"
