,Pat Me Down,Henning,Nasty Exaggerator,Oso Negro,Optimistic,Big Boss Man,Gs Storm,Caribe Nights,Miss Jennys Halo,Heathers Request
15-12-2022 12:32:16.083602,"(21.0, 75.0, 42.5)","(5.0, 9.2, 8.55)","(12.0, 14.5, 12.75)","(5.0, 6.0, 5.85)","(3.8, 5.1, 4.575)","(6.5, 9.4, 9.057142857142857)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 29.333333333333336)","(31.0, 390.0, 148.0)","(18.0, 140.0, 58.0)"
15-12-2022 12:32:17.859272,"(21.0, 65.0, 42.5)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.75)","(5.0, 6.0, 5.85)","(3.8, 5.1, 4.575)","(6.5, 9.4, 9.057142857142857)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 36.0)","(31.0, 390.0, 244.79999999999998)","(18.0, 140.0, 47.75)"
15-12-2022 12:32:19.444065,"(21.0, 65.0, 50.0)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.75)","(5.0, 6.0, 5.85)","(3.8, 5.1, 4.575)","(6.5, 9.4, 9.057142857142857)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 36.0)","(31.0, 390.0, 244.79999999999998)","(18.0, 140.0, 47.75)"
15-12-2022 12:32:20.933077,"(21.0, 65.0, 50.0)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.75)","(5.0, 6.0, 5.85)","(3.8, 5.1, 4.575)","(6.5, 9.4, 9.057142857142857)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 36.0)","(31.0, 390.0, 244.79999999999998)","(18.0, 140.0, 47.75)"
15-12-2022 12:32:22.487932,"(21.0, 65.0, 50.0)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.75)","(5.0, 6.0, 5.85)","(3.8, 5.1, 4.575)","(6.5, 9.4, 9.057142857142857)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 36.0)","(31.0, 390.0, 244.79999999999998)","(18.0, 140.0, 47.75)"
15-12-2022 12:32:24.002974,"(21.0, 65.0, 50.0)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.75)","(5.0, 6.0, 5.85)","(3.8, 5.1, 4.575)","(6.5, 9.4, 9.057142857142857)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 36.0)","(31.0, 390.0, 244.79999999999998)","(18.0, 140.0, 47.75)"
15-12-2022 12:32:25.501053,"(21.0, 65.0, 50.0)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.75)","(5.0, 6.0, 5.85)","(3.8, 5.1, 4.575)","(6.5, 9.4, 9.057142857142857)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 36.0)","(31.0, 390.0, 244.79999999999998)","(18.0, 140.0, 47.75)"
15-12-2022 12:32:27.038572,"(21.0, 65.0, 50.0)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.75)","(5.0, 6.0, 5.85)","(3.8, 5.1, 4.575)","(6.5, 9.4, 9.057142857142857)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 30.0)","(31.0, 390.0, 244.79999999999998)","(18.0, 140.0, 47.75)"
15-12-2022 12:32:28.686470,"(21.0, 65.0, 50.0)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.25)","(5.0, 6.0, 5.85)","(3.8, 5.1, 4.575)","(6.5, 9.4, 9.057142857142857)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 30.0)","(31.0, 390.0, 244.79999999999998)","(18.0, 140.0, 66.2)"
15-12-2022 12:32:30.144818,"(21.0, 65.0, 52.142857142857146)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.25)","(5.0, 6.0, 5.85)","(3.8, 5.1, 4.575)","(6.5, 9.4, 9.057142857142857)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 30.0)","(31.0, 390.0, 244.79999999999998)","(18.0, 140.0, 66.2)"
15-12-2022 12:32:31.652611,"(21.0, 65.0, 52.142857142857146)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.25)","(5.0, 6.0, 5.85)","(3.8, 5.1, 4.575)","(6.5, 9.4, 9.057142857142857)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 30.0)","(31.0, 390.0, 244.79999999999998)","(18.0, 140.0, 66.2)"
15-12-2022 12:32:33.113698,"(21.0, 65.0, 47.0)","(5.0, 9.0, 8.555555555555555)","(12.0, 14.5, 12.25)","(5.0, 6.0, 5.85)","(3.8, 5.1, 4.575)","(6.5, 9.4, 9.057142857142857)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 30.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 78.5)"
15-12-2022 12:32:34.506881,"(21.0, 65.0, 47.0)","(5.0, 9.0, 8.555555555555555)","(12.0, 14.5, 12.25)","(5.0, 6.0, 5.85)","(3.8, 5.1, 4.575)","(6.5, 9.4, 9.057142857142857)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 30.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 78.5)"
