,Chilly Bin,Limerance,Mt View Ivy,Clever Trevor,Mt View Ginger,Aston Delight,Balmoral,Audacious Flame
10,"[datetime.datetime(2022, 11, 28, 17, 1, 49, 790688), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 1, 49, 790688), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 1, 49, 790688), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 1, 49, 790688), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 1, 49, 790688), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 1, 49, 790688), 2.1, 3.7]","[datetime.datetime(2022, 11, 28, 17, 1, 49, 790688), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 1, 49, 790688), 10.0, 24.0]"
11,"[datetime.datetime(2022, 11, 28, 17, 1, 50, 943584), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 1, 50, 943584), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 1, 50, 943584), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 1, 50, 943584), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 1, 50, 943584), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 1, 50, 943584), 2.1, 3.7]","[datetime.datetime(2022, 11, 28, 17, 1, 50, 943584), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 1, 50, 943584), 10.0, 24.0]"
12,"[datetime.datetime(2022, 11, 28, 17, 1, 52, 89820), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 1, 52, 89820), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 1, 52, 89820), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 1, 52, 89820), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 1, 52, 89820), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 1, 52, 89820), 2.1, 3.7]","[datetime.datetime(2022, 11, 28, 17, 1, 52, 89820), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 1, 52, 89820), 10.0, 24.0]"
13,"[datetime.datetime(2022, 11, 28, 17, 1, 53, 238625), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 1, 53, 238625), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 1, 53, 238625), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 1, 53, 238625), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 1, 53, 238625), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 1, 53, 238625), 2.1, 3.7]","[datetime.datetime(2022, 11, 28, 17, 1, 53, 238625), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 1, 53, 238625), 10.0, 24.0]"
14,"[datetime.datetime(2022, 11, 28, 17, 1, 54, 398523), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 1, 54, 398523), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 1, 54, 398523), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 1, 54, 398523), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 1, 54, 398523), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 1, 54, 398523), 2.1, 3.7]","[datetime.datetime(2022, 11, 28, 17, 1, 54, 398523), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 1, 54, 398523), 10.0, 24.0]"
15,"[datetime.datetime(2022, 11, 28, 17, 1, 55, 540755), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 1, 55, 540755), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 1, 55, 540755), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 1, 55, 540755), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 1, 55, 540755), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 1, 55, 540755), 2.1, 3.7]","[datetime.datetime(2022, 11, 28, 17, 1, 55, 540755), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 1, 55, 540755), 10.0, 24.0]"
16,"[datetime.datetime(2022, 11, 28, 17, 1, 56, 683429), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 1, 56, 683429), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 1, 56, 683429), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 1, 56, 683429), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 1, 56, 683429), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 1, 56, 683429), 2.1, 3.7]","[datetime.datetime(2022, 11, 28, 17, 1, 56, 683429), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 1, 56, 683429), 10.0, 24.0]"
17,"[datetime.datetime(2022, 11, 28, 17, 1, 57, 833880), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 1, 57, 833880), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 1, 57, 833880), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 1, 57, 833880), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 1, 57, 833880), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 1, 57, 833880), 2.1, 3.7]","[datetime.datetime(2022, 11, 28, 17, 1, 57, 833880), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 1, 57, 833880), 10.0, 24.0]"
18,"[datetime.datetime(2022, 11, 28, 17, 1, 58, 972517), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 1, 58, 972517), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 1, 58, 972517), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 1, 58, 972517), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 1, 58, 972517), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 1, 58, 972517), 2.1, 3.7]","[datetime.datetime(2022, 11, 28, 17, 1, 58, 972517), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 1, 58, 972517), 10.0, 24.0]"
19,"[datetime.datetime(2022, 11, 28, 17, 2, 0, 203039), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 2, 0, 203039), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 2, 0, 203039), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 2, 0, 203039), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 2, 0, 203039), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 2, 0, 203039), 2.1, 3.55]","[datetime.datetime(2022, 11, 28, 17, 2, 0, 203039), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 2, 0, 203039), 10.0, 24.0]"
