,Applejack Fly,Whiskey Deluxe,Baronga Breeze,Miss Captivator,Miss Sassy,Rolling Start,Daniher Hayze
11-01-2023 16:18:15.904435,"(2.8, 4.6, 3.3899999999999997)","(3.4, 6.2, 3.561904761904762)","(7.0, 15.0, 11.705882352941178)","(31.0, 220.0, 105.39999999999999)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.5, 11.82)","(3.3, 6.4, 4.591935483870968)"
11-01-2023 16:18:17.071946,"(2.8, 4.6, 3.3899999999999997)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 11.705882352941178)","(31.0, 220.0, 105.39999999999999)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.5, 11.82)","(3.3, 6.4, 4.591935483870968)"
11-01-2023 16:18:18.277953,"(2.8, 4.6, 3.3899999999999997)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 11.705882352941178)","(31.0, 220.0, 105.39999999999999)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.5, 11.82)","(3.3, 6.4, 4.591935483870968)"
11-01-2023 16:18:19.312532,"(2.8, 4.6, 3.3899999999999997)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 11.705882352941178)","(31.0, 220.0, 105.39999999999999)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.5, 11.82)","(3.3, 6.4, 4.591935483870968)"
11-01-2023 16:18:20.425568,"(2.8, 4.6, 3.3899999999999997)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 11.705882352941178)","(31.0, 220.0, 105.39999999999999)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.5, 12.775)","(3.3, 6.4, 4.591935483870968)"
11-01-2023 16:18:21.598260,"(2.8, 4.6, 3.3899999999999997)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 11.705882352941178)","(31.0, 220.0, 105.39999999999999)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.5, 12.775)","(3.3, 6.4, 4.591935483870968)"
11-01-2023 16:18:22.762187,"(2.8, 4.6, 3.3899999999999997)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 11.705882352941178)","(31.0, 220.0, 97.85714285714286)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.5, 12.775)","(3.3, 6.4, 4.591935483870968)"
11-01-2023 16:18:23.832343,"(2.8, 4.6, 3.3899999999999997)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 11.705882352941178)","(31.0, 220.0, 97.85714285714286)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.5, 12.775)","(3.3, 6.4, 4.591935483870968)"
11-01-2023 16:18:24.800078,"(2.8, 4.6, 3.3899999999999997)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 11.705882352941178)","(31.0, 220.0, 97.85714285714286)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.5, 12.133333333333333)","(3.3, 6.4, 4.591935483870968)"
11-01-2023 16:18:25.914445,"(2.8, 4.6, 3.3899999999999997)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 11.705882352941178)","(31.0, 220.0, 97.85714285714286)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.5, 11.82)","(3.3, 6.4, 4.591935483870968)"
