,Windsors Star,Des Castle,Dont Get Caughtup,Im The Money Man,Tobi Wan Kenobi,Kaylees Spitfire,Ziggy Stardust,Denizetti,Grumpys Buddy,Little Roo Roo
15-12-2022 11:16:50.472434,"(16.0, 150.0, 126.91666666666666)","(12.0, 40.0, 26.5)","(41.0, 99999, 5014.0)","(1.8, 2.2, 2.1224615384615384)","(31.0, 380.0, 307.7)","(41.0, 99999, 7505.25)","(3.3, 5.2, 4.8)","(12.0, 28.0, 22.2)","(12.0, 20.0, 16.0)","(20.0, 180.0, 138.0)"
15-12-2022 11:16:51.710881,"(16.0, 150.0, 126.91666666666666)","(12.0, 40.0, 26.5)","(41.0, 99999, 5014.0)","(1.8, 2.2, 2.1409375)","(31.0, 380.0, 307.7)","(41.0, 99999, 7505.25)","(3.3, 5.2, 4.8)","(12.0, 28.0, 22.2)","(12.0, 20.0, 16.0)","(20.0, 180.0, 138.0)"
15-12-2022 11:16:52.973526,"(16.0, 150.0, 126.91666666666666)","(12.0, 40.0, 26.5)","(41.0, 99999, 5014.0)","(1.8, 2.2, 2.1409375)","(31.0, 380.0, 299.7)","(41.0, 99999, 7505.25)","(3.3, 5.2, 4.8)","(12.0, 28.0, 21.6)","(12.0, 20.0, 22.0)","(20.0, 180.0, 123.0)"
15-12-2022 11:16:54.309279,"(16.0, 150.0, 139.34615384615384)","(12.0, 36.0, 20.666666666666668)","(41.0, 99999, 5014.0)","(1.8, 2.2, 2.1409375)","(31.0, 370.0, 299.7)","(41.0, 99999, 7505.25)","(3.3, 5.2, 4.8)","(12.0, 27.0, 21.6)","(12.0, 26.0, 22.0)","(20.0, 160.0, 123.0)"
15-12-2022 11:16:55.600872,"(16.0, 150.0, 136.14999999999998)","(12.0, 36.0, 20.666666666666668)","(41.0, 99999, 5014.0)","(1.8, 2.2, 2.1409375)","(31.0, 370.0, 299.7)","(41.0, 99999, 7505.25)","(3.3, 5.2, 4.8)","(12.0, 27.0, 21.6)","(12.0, 26.0, 22.0)","(20.0, 160.0, 123.0)"
15-12-2022 11:16:56.818904,"(16.0, 150.0, 136.14999999999998)","(12.0, 36.0, 20.666666666666668)","(41.0, 99999, 5014.0)","(1.8, 2.2, 2.1409375)","(31.0, 370.0, 299.7)","(41.0, 99999, 7505.25)","(3.3, 5.2, 4.8)","(12.0, 27.0, 21.6)","(12.0, 26.0, 22.0)","(20.0, 160.0, 123.0)"
15-12-2022 11:16:57.989472,"(16.0, 150.0, 136.14999999999998)","(12.0, 36.0, 20.666666666666668)","(41.0, 99999, 5014.0)","(1.8, 2.2, 2.1409375)","(31.0, 370.0, 299.7)","(41.0, 99999, 7505.25)","(3.3, 5.2, 4.8)","(12.0, 27.0, 21.6)","(12.0, 26.0, 22.0)","(20.0, 160.0, 123.0)"
15-12-2022 11:16:59.208750,"(16.0, 150.0, 136.14999999999998)","(12.0, 36.0, 20.666666666666668)","(41.0, 99999, 5014.0)","(1.8, 2.2, 2.1409375)","(31.0, 370.0, 299.7)","(41.0, 99999, 7505.25)","(3.3, 5.2, 4.8)","(12.0, 27.0, 21.6)","(12.0, 26.0, 22.0)","(20.0, 160.0, 123.0)"
15-12-2022 11:17:00.441224,"(16.0, 150.0, 136.14999999999998)","(12.0, 36.0, 20.666666666666668)","(41.0, 99999, 5014.0)","(1.8, 2.2, 2.1409375)","(31.0, 370.0, 299.7)","(41.0, 99999, 7505.25)","(3.6, 5.2, 4.8)","(12.0, 27.0, 21.6)","(12.0, 26.0, 22.0)","(17.0, 160.0, 123.0)"
15-12-2022 11:17:01.669214,"(16.0, 150.0, 136.14999999999998)","(12.0, 36.0, 20.666666666666668)","(41.0, 99999, 5014.0)","(1.8, 2.2, 2.1409375)","(31.0, 370.0, 323.7)","(41.0, 99999, 7505.25)","(3.6, 5.2, 4.8)","(12.0, 27.0, 22.2)","(12.0, 26.0, 22.0)","(17.0, 160.0, 123.0)"
15-12-2022 11:17:02.989340,"(16.0, 150.0, 136.14999999999998)","(12.0, 38.0, 25.5)","(41.0, 99999, 5014.0)","(1.8, 2.2, 2.1416666666666666)","(31.0, 400.0, 209.5)","(41.0, 99999, 7505.25)","(3.6, 5.2, 4.8)","(12.0, 28.0, 22.2)","(12.0, 26.0, 22.0)","(17.0, 160.0, 123.0)"
15-12-2022 11:17:04.206846,"(16.0, 150.0, 136.14999999999998)","(12.0, 38.0, 25.5)","(41.0, 99999, 5014.0)","(1.8, 2.18, 2.1416666666666666)","(31.0, 400.0, 209.5)","(41.0, 99999, 7505.25)","(3.6, 5.2, 4.8)","(12.0, 28.0, 23.166666666666664)","(12.0, 26.0, 22.0)","(17.0, 160.0, 138.92857142857144)"
15-12-2022 11:17:05.438730,"(16.0, 150.0, 136.14999999999998)","(12.0, 38.0, 25.5)","(41.0, 99999, 5014.0)","(1.8, 2.18, 2.1416666666666666)","(31.0, 400.0, 209.5)","(41.0, 99999, 7505.25)","(3.6, 5.2, 4.8)","(12.0, 28.0, 23.166666666666664)","(12.0, 26.0, 22.0)","(17.0, 160.0, 138.92857142857144)"
15-12-2022 11:17:06.586986,"(16.0, 150.0, 136.14999999999998)","(12.0, 38.0, 25.5)","(41.0, 99999, 5014.0)","(1.8, 2.18, 2.1416666666666666)","(31.0, 400.0, 209.5)","(41.0, 99999, 7505.25)","(3.6, 5.2, 4.8)","(12.0, 28.0, 23.166666666666664)","(12.0, 26.0, 22.0)","(17.0, 160.0, 138.92857142857144)"
15-12-2022 11:17:07.735068,"(16.0, 150.0, 136.14999999999998)","(12.0, 38.0, 25.5)","(41.0, 99999, 5014.0)","(1.8, 2.18, 2.1416666666666666)","(31.0, 400.0, 209.5)","(41.0, 99999, 7505.25)","(3.6, 5.2, 4.8)","(12.0, 28.0, 23.166666666666664)","(12.0, 26.0, 22.0)","(17.0, 160.0, 138.92857142857144)"
15-12-2022 11:17:08.933173,"(16.0, 150.0, 136.14999999999998)","(12.0, 38.0, 25.5)","(41.0, 99999, 5014.0)","(1.8, 2.18, 2.1416666666666666)","(31.0, 400.0, 209.5)","(41.0, 99999, 7505.25)","(3.6, 5.2, 4.8)","(12.0, 28.0, 23.166666666666664)","(12.0, 26.0, 22.0)","(17.0, 160.0, 138.92857142857144)"
15-12-2022 11:17:10.075569,"(16.0, 150.0, 136.14999999999998)","(12.0, 38.0, 25.5)","(41.0, 99999, 5014.0)","(1.8, 2.18, 2.1416666666666666)","(31.0, 400.0, 209.5)","(41.0, 99999, 7505.25)","(3.6, 5.2, 4.8)","(12.0, 28.0, 23.166666666666664)","(12.0, 26.0, 22.0)","(17.0, 160.0, 138.92857142857144)"
