,Midnight Queen,Balboa Shannon,Diesel Don,Lady Pebbles,Sahara Jewel,Its Inevitable Nz,Dothedealdylan,Mac Stubborn,Miss Maravu,Uptotrix
15-12-2022 13:41:32.424983,"(26.0, 55.0, 40.75)","(8.5, 8.6, 8.492307692307692)","(3.5, 4.2, 4.0285714285714285)","(13.0, 18.0, 16.142857142857142)","(21.0, 70.0, 41.57142857142857)","(13.0, 99999, 99990)","(19.0, 120.0, 72.0)","(8.5, 12.0, 10.6)","(5.5, 8.0, 7.654545454545454)","(3.6, 4.1, 3.8899999999999997)"
15-12-2022 13:41:33.855694,"(31.0, 60.0, 40.0)","(8.0, 9.2, 8.727777777777778)","(3.5, 4.1, 3.9636363636363634)","(13.0, 18.0, 16.142857142857142)","(26.0, 75.0, 41.57142857142857)","(13.0, 99999, 99990)","(20.0, 100.0, 54.2)","(8.0, 11.0, 10.6)","(6.0, 8.0, 7.654545454545454)","(3.5, 4.1, 3.8428571428571425)"
15-12-2022 13:41:35.192332,"(31.0, 60.0, 45.6)","(8.0, 9.2, 8.908571428571427)","(3.5, 4.1, 3.9499999999999997)","(13.0, 18.0, 16.142857142857142)","(26.0, 75.0, 41.57142857142857)","(13.0, 99999, 99990)","(20.0, 95.0, 32.8)","(8.0, 11.0, 10.6)","(6.0, 8.0, 7.627027027027027)","(3.5, 4.0, 3.8428571428571425)"
15-12-2022 13:41:36.515234,"(31.0, 60.0, 45.6)","(8.0, 9.6, 9.418181818181818)","(3.5, 4.1, 3.9499999999999997)","(13.0, 18.0, 16.142857142857142)","(26.0, 75.0, 41.57142857142857)","(13.0, 99999, 99990)","(20.0, 80.0, 60.90909090909091)","(8.0, 11.0, 10.6)","(6.0, 8.0, 7.627027027027027)","(3.5, 4.0, 3.9175)"
15-12-2022 13:41:37.761757,"(31.0, 60.0, 50.57142857142857)","(8.0, 9.6, 9.418181818181818)","(3.5, 4.1, 3.9636363636363634)","(13.0, 18.0, 16.133333333333333)","(26.0, 75.0, 45.75)","(13.0, 99999, 99990)","(20.0, 65.0, 43.5)","(8.0, 11.0, 9.666666666666666)","(6.0, 8.0, 7.627027027027027)","(3.5, 4.0, 3.93)"
15-12-2022 13:41:39.061290,"(31.0, 60.0, 53.400000000000006)","(8.0, 9.2, 9.0)","(3.5, 4.0, 3.892857142857143)","(13.0, 18.0, 16.133333333333333)","(26.0, 75.0, 45.75)","(13.0, 99999, 99990)","(20.0, 65.0, 45.5)","(8.0, 11.0, 9.799999999999999)","(6.0, 8.0, 7.627027027027027)","(3.5, 3.95, 3.932857142857143)"
15-12-2022 13:41:40.408671,"(31.0, 60.0, 49.2)","(8.0, 9.2, 9.057142857142857)","(3.5, 4.0, 3.892857142857143)","(13.0, 18.0, 16.444444444444443)","(26.0, 75.0, 68.5)","(13.0, 99999, 99990)","(21.0, 65.0, 30.4)","(8.0, 11.0, 9.799999999999999)","(6.0, 8.0, 7.627027027027027)","(3.5, 3.95, 3.923529411764706)"
15-12-2022 13:41:41.728416,"(31.0, 60.0, 49.2)","(8.0, 9.2, 9.057142857142857)","(3.5, 4.0, 3.9166666666666665)","(13.0, 18.0, 16.526315789473685)","(26.0, 75.0, 60.375)","(13.0, 99999, 99990)","(21.0, 70.0, 37.25)","(8.0, 11.0, 10.033333333333333)","(6.0, 8.0, 7.616666666666666)","(3.5, 3.95, 3.870833333333333)"
15-12-2022 13:41:42.998074,"(31.0, 60.0, 53.25)","(8.0, 9.2, 9.057142857142857)","(3.5, 4.0, 3.918181818181818)","(13.0, 18.0, 16.727272727272727)","(26.0, 75.0, 68.5)","(13.0, 99999, 99990)","(18.0, 65.0, 33.285714285714285)","(8.0, 10.5, 9.75)","(6.0, 8.0, 7.619999999999999)","(3.5, 3.9, 3.8727272727272726)"
15-12-2022 13:41:44.257317,"(31.0, 60.0, 56.4)","(8.0, 9.2, 9.057142857142857)","(3.5, 4.0, 3.918181818181818)","(13.0, 18.0, 16.727272727272727)","(26.0, 75.0, 68.5)","(13.0, 99999, 99990)","(18.0, 65.0, 33.285714285714285)","(8.0, 10.5, 10.083333333333334)","(6.0, 8.0, 7.81)","(3.5, 3.9, 3.8625)"
15-12-2022 13:41:45.492662,"(31.0, 60.0, 58.650000000000006)","(8.0, 9.2, 9.033333333333333)","(3.5, 4.0, 3.9590909090909094)","(13.0, 18.0, 16.782608695652172)","(26.0, 75.0, 60.375)","(13.0, 99999, 99990)","(18.0, 65.0, 34.142857142857146)","(8.0, 10.5, 9.8125)","(6.0, 8.0, 7.674285714285714)","(3.5, 3.9, 3.8625)"
15-12-2022 13:41:46.720542,"(31.0, 60.0, 58.650000000000006)","(8.0, 9.2, 9.057142857142857)","(3.5, 4.1, 4.0935483870967735)","(13.0, 18.0, 16.727272727272727)","(26.0, 75.0, 68.5)","(13.0, 99999, 99990)","(19.0, 65.0, 32.42857142857143)","(8.0, 10.5, 9.857142857142858)","(6.0, 8.0, 7.674285714285714)","(3.5, 3.9, 3.8625)"
15-12-2022 13:41:47.923358,"(31.0, 60.0, 52.0)","(8.0, 9.2, 9.057142857142857)","(3.5, 4.1, 4.0935483870967735)","(13.0, 18.0, 16.727272727272727)","(26.0, 75.0, 68.5)","(13.0, 99999, 99990)","(19.0, 65.0, 32.42857142857143)","(8.0, 10.5, 10.292307692307693)","(6.0, 8.0, 7.654545454545454)","(3.5, 3.9, 3.8333333333333335)"
