,Dixie Kade,Invictus Stella,Castle Sween,Clan Mcmillan,Celtic Bouy,Urana Vieri,Mt View Dodger
07-01-2023 10:26:51.940717,"(3.7, 5.4, 3.7142857142857144)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:26:53.201199,"(3.7, 5.3, 3.7142857142857144)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:26:54.423518,"(3.7, 5.3, 3.7142857142857144)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:26:55.891960,"(3.7, 5.3, 3.7142857142857144)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:26:57.331858,"(3.7, 5.3, 3.7142857142857144)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:26:58.580038,"(3.7, 5.3, 3.7142857142857144)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:26:59.825088,"(3.7, 5.3, 3.7142857142857144)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:01.150464,"(3.7, 5.3, 3.7142857142857144)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:02.349748,"(3.7, 5.3, 3.7142857142857144)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:03.435139,"(3.7, 5.3, 3.7142857142857144)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
