,Go Albino,Hes Iconic,Chi Lin,Im No Princess,Uncle Albert
11-01-2023 11:55:19.928274,"(1.3, 1.38, 1.3795644283121595)","(14.0, 34.0, 31.25)","(7.5, 17.0, 15.666666666666666)","(5.0, 13.0, 11.25)","(10.0, 23.0, 21.70909090909091)"
11-01-2023 11:55:20.736641,"(1.3, 1.38, 1.3795644283121595)","(14.0, 34.0, 31.25)","(7.5, 17.0, 15.666666666666666)","(5.0, 13.0, 11.25)","(10.0, 23.0, 21.488888888888887)"
11-01-2023 11:55:21.546821,"(1.3, 1.38, 1.3795644283121595)","(14.0, 34.0, 31.25)","(7.5, 17.0, 15.666666666666666)","(5.0, 13.0, 11.25)","(10.0, 23.0, 21.488888888888887)"
11-01-2023 11:55:22.411025,"(1.3, 1.38, 1.3795644283121595)","(14.0, 34.0, 31.25)","(7.5, 17.0, 15.666666666666666)","(5.0, 13.0, 11.25)","(10.0, 23.0, 21.488888888888887)"
11-01-2023 11:55:23.237930,"(1.3, 1.38, 1.3795644283121595)","(14.0, 34.0, 31.25)","(7.5, 17.0, 15.666666666666666)","(5.0, 13.0, 11.25)","(10.0, 23.0, 21.488888888888887)"
11-01-2023 11:55:24.056602,"(1.3, 1.38, 1.3795644283121595)","(14.0, 34.0, 31.25)","(7.5, 17.0, 15.666666666666666)","(5.0, 13.0, 11.25)","(10.0, 23.0, 21.488888888888887)"
11-01-2023 11:55:24.854997,"(1.3, 1.38, 1.3795644283121595)","(14.0, 34.0, 31.25)","(7.5, 17.0, 15.666666666666666)","(5.0, 13.0, 11.25)","(10.0, 23.0, 21.488888888888887)"
11-01-2023 11:55:25.699916,"(1.3, 1.38, 1.3795644283121595)","(14.0, 34.0, 31.25)","(7.5, 17.0, 15.666666666666666)","(5.0, 13.0, 11.25)","(10.0, 23.0, 21.488888888888887)"
11-01-2023 11:55:26.552175,"(1.3, 1.38, 1.3795644283121595)","(14.0, 34.0, 31.25)","(7.5, 17.0, 15.666666666666666)","(5.0, 13.0, 11.25)","(10.0, 23.0, 21.488888888888887)"
11-01-2023 11:55:27.352083,"(1.3, 1.38, 1.3795644283121595)","(14.0, 34.0, 31.25)","(7.5, 17.0, 15.666666666666666)","(5.0, 13.0, 11.25)","(10.0, 23.0, 21.488888888888887)"
11-01-2023 11:55:28.152790,"(1.3, 1.38, 1.3795644283121595)","(14.0, 34.0, 31.25)","(7.5, 17.0, 15.666666666666666)","(5.0, 13.0, 11.25)","(10.0, 23.0, 21.488888888888887)"
11-01-2023 11:55:28.987962,"(1.3, 1.38, 1.3795644283121595)","(14.0, 34.0, 31.25)","(7.5, 17.0, 15.666666666666666)","(5.0, 13.0, 11.25)","(10.0, 23.0, 21.488888888888887)"
11-01-2023 11:55:29.893053,"(1.3, 1.38, 1.3795644283121595)","(14.0, 34.0, 31.25)","(7.5, 17.0, 15.666666666666666)","(5.0, 13.0, 11.25)","(10.0, 23.0, 21.488888888888887)"
11-01-2023 11:55:30.793158,"(1.3, 1.38, 1.3795644283121595)","(14.0, 34.0, 31.25)","(7.5, 17.0, 15.666666666666666)","(5.0, 13.0, 11.25)","(10.0, 23.0, 21.488888888888887)"
11-01-2023 11:55:31.672289,"(1.3, 1.38, 1.3795644283121595)","(14.0, 34.0, 31.25)","(7.5, 17.0, 15.666666666666666)","(5.0, 13.0, 11.25)","(10.0, 23.0, 21.488888888888887)"
11-01-2023 11:55:32.513772,"(1.3, 1.38, 1.3795644283121595)","(14.0, 34.0, 31.25)","(7.5, 17.0, 15.666666666666666)","(5.0, 13.0, 11.25)","(10.0, 23.0, 21.488888888888887)"
