,Daves Deal,Romeo,Know Ratio,Homebush Cricket,Tatis,Six Pack Nugget,Homebush Lennon,Rowdys Monster
12-01-2023 17:14:09.082796,"(2.9, 3.85, 3.7311111111111113)","(4.8, 8.2, 4.911111111111111)","(13.0, 27.0, 24.583333333333332)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.399999999999999)","(13.0, 29.0, 18.0)","(21.0, 180.0, 99.75)","(3.9, 7.6, 6.699999999999999)"
12-01-2023 17:14:10.220129,"(2.9, 3.85, 3.7311111111111113)","(4.8, 8.2, 5.654545454545454)","(13.0, 27.0, 24.583333333333332)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.399999999999999)","(13.0, 29.0, 18.0)","(21.0, 180.0, 99.75)","(3.9, 7.6, 6.699999999999999)"
12-01-2023 17:14:11.334245,"(2.9, 3.85, 3.7311111111111113)","(4.8, 8.2, 5.654545454545454)","(13.0, 27.0, 24.583333333333332)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.399999999999999)","(13.0, 29.0, 18.0)","(21.0, 180.0, 99.75)","(3.9, 7.6, 6.699999999999999)"
12-01-2023 17:14:12.405934,"(2.9, 3.85, 3.7311111111111113)","(4.8, 8.2, 5.654545454545454)","(13.0, 27.0, 24.583333333333332)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.399999999999999)","(13.0, 29.0, 18.0)","(21.0, 180.0, 99.75)","(3.9, 7.6, 6.6875)"
12-01-2023 17:14:13.434181,"(2.9, 3.85, 3.7311111111111113)","(4.8, 8.2, 6.6)","(13.0, 27.0, 24.583333333333332)","(9.0, 17.5, 15.64)","(5.0, 17.5, 14.7)","(13.0, 29.0, 18.0)","(21.0, 180.0, 99.75)","(3.9, 7.6, 7.064285714285715)"
12-01-2023 17:14:14.453601,"(2.9, 3.85, 3.7311111111111113)","(4.8, 8.2, 6.6)","(13.0, 27.0, 24.583333333333332)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.25)","(13.0, 29.0, 18.0)","(21.0, 180.0, 99.75)","(3.9, 7.6, 6.725)"
12-01-2023 17:14:15.532828,"(2.9, 3.85, 3.7311111111111113)","(4.8, 8.2, 5.727272727272727)","(13.0, 27.0, 24.583333333333332)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.25)","(13.0, 29.0, 18.0)","(21.0, 180.0, 99.75)","(3.9, 7.6, 6.725)"
12-01-2023 17:14:16.632430,"(2.9, 3.85, 3.7311111111111113)","(4.8, 8.2, 5.727272727272727)","(13.0, 27.0, 24.583333333333332)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.25)","(13.0, 29.0, 25.333333333333332)","(21.0, 180.0, 99.75)","(3.9, 7.6, 6.725)"
12-01-2023 17:14:17.699248,"(2.9, 3.85, 3.7311111111111113)","(4.8, 8.2, 5.727272727272727)","(13.0, 27.0, 19.75)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.25)","(13.0, 29.0, 25.7)","(21.0, 180.0, 99.75)","(3.9, 7.6, 6.725)"
12-01-2023 17:14:18.799340,"(2.9, 3.85, 3.7311111111111113)","(4.8, 8.2, 5.727272727272727)","(13.0, 27.0, 22.166666666666664)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.25)","(13.0, 29.0, 18.333333333333332)","(21.0, 180.0, 99.75)","(3.9, 7.6, 6.725)"
