,Emperorofthedark,Odie,Savage Nation,Rescue Five,Awesome Miner,Artie My Boy
08-12-2022 12:31:13.231504,"(6.5, 7.6, 7.4363636363636365)","(3.3, 4.0, 3.868181818181818)","(9.0, 11.0, 10.652173913043478)","(7.0, 9.2, 9.0)","(2.45, 2.68, 2.666666666666667)","(17.0, 30.0, 28.2)"
08-12-2022 12:31:14.140120,"(6.5, 7.6, 7.4363636363636365)","(3.3, 4.0, 3.863953488372093)","(9.0, 11.0, 10.652173913043478)","(7.0, 9.2, 9.0)","(2.45, 2.68, 2.6700000000000004)","(17.0, 30.0, 28.2)"
08-12-2022 12:31:15.096606,"(6.5, 7.6, 7.5)","(3.3, 4.0, 3.863953488372093)","(9.0, 11.0, 10.833333333333334)","(7.0, 9.2, 9.0)","(2.45, 2.68, 2.667692307692308)","(17.0, 30.0, 28.2)"
08-12-2022 12:31:16.003866,"(6.5, 7.6, 7.5)","(3.3, 4.0, 3.8916666666666666)","(9.0, 11.0, 10.7)","(7.0, 9.2, 9.0)","(2.45, 2.68, 2.6700000000000004)","(17.0, 30.0, 29.1)"
08-12-2022 12:31:16.861353,"(6.5, 7.6, 7.5)","(3.3, 4.0, 3.8916666666666666)","(9.0, 11.0, 10.7)","(7.0, 9.2, 9.0)","(2.45, 2.68, 2.6700000000000004)","(17.0, 30.0, 29.1)"
08-12-2022 12:31:17.754470,"(6.5, 7.6, 7.5)","(3.3, 4.0, 3.8916666666666666)","(9.0, 11.0, 10.7)","(7.0, 9.2, 9.0)","(2.45, 2.68, 2.6700000000000004)","(17.0, 30.0, 29.1)"
08-12-2022 12:31:18.653078,"(6.5, 7.6, 7.514285714285714)","(3.3, 4.0, 3.8916666666666666)","(9.0, 11.0, 10.7)","(7.0, 9.2, 9.0)","(2.45, 2.68, 2.672727272727273)","(17.0, 30.0, 29.1)"
08-12-2022 12:31:19.521327,"(6.5, 7.6, 7.568421052631579)","(3.3, 4.0, 3.8916666666666666)","(9.0, 11.0, 10.7)","(7.0, 9.2, 9.0)","(2.45, 2.68, 2.672727272727273)","(17.0, 30.0, 28.875)"
08-12-2022 12:31:20.441865,"(6.5, 7.6, 7.56)","(3.3, 3.95, 3.876666666666667)","(9.0, 11.0, 10.4)","(7.0, 9.2, 9.0)","(2.45, 2.68, 2.672727272727273)","(17.0, 30.0, 28.875)"
08-12-2022 12:31:21.304933,"(6.5, 7.6, 7.56)","(3.3, 3.95, 3.926760563380282)","(9.0, 11.0, 10.742857142857144)","(7.0, 9.2, 9.0)","(2.45, 2.68, 2.672727272727273)","(17.0, 30.0, 29.0)"
08-12-2022 12:31:22.195355,"(6.5, 7.6, 7.56)","(3.3, 3.95, 3.926760563380282)","(9.0, 11.0, 10.742857142857144)","(7.0, 9.2, 9.0)","(2.45, 2.68, 2.672727272727273)","(17.0, 30.0, 29.0)"
08-12-2022 12:31:23.102066,"(6.5, 7.6, 7.576)","(3.3, 3.95, 3.9041176470588237)","(9.0, 11.0, 10.7)","(7.0, 9.2, 9.089655172413792)","(2.45, 2.68, 2.677241379310345)","(17.0, 30.0, 29.0)"
08-12-2022 12:31:23.932537,"(6.5, 7.6, 7.576)","(3.3, 3.95, 3.9041176470588237)","(9.0, 11.0, 10.7)","(7.0, 9.2, 9.089655172413792)","(2.45, 2.68, 2.677241379310345)","(17.0, 30.0, 29.0)"
08-12-2022 12:31:24.770645,"(6.5, 7.6, 7.576)","(3.3, 3.95, 3.9041176470588237)","(9.0, 11.0, 10.7)","(7.0, 9.2, 9.089655172413792)","(2.45, 2.68, 2.677241379310345)","(17.0, 30.0, 29.0)"
