,Our Georgie,Jayville Bolt,Akina Aria,Akina Adonis,On The Cusp,Spolly John,Skys Delight,Rio Blazer
09-01-2023 14:12:48.615669,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 12.488888888888889)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 20.8)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 9.6, 9.223529411764705)"
09-01-2023 14:12:49.752676,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 12.488888888888889)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 20.8)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 9.6, 9.223529411764705)"
09-01-2023 14:12:50.900689,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 20.8)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 9.6, 9.223529411764705)"
09-01-2023 14:12:52.091396,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 20.8)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 9.6, 9.223529411764705)"
09-01-2023 14:12:53.408076,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 20.8)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 9.6, 10.01764705882353)"
09-01-2023 14:12:54.535848,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 20.8)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 10.01764705882353)"
09-01-2023 14:12:55.668078,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 20.8)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 10.01764705882353)"
09-01-2023 14:12:56.853561,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 20.8)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 10.01764705882353)"
09-01-2023 14:12:58.035556,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 16.9)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 10.01764705882353)"
09-01-2023 14:12:59.157108,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 20.8)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 10.01764705882353)"
09-01-2023 14:13:00.168497,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 25.0, 20.2)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 10.01764705882353)"
09-01-2023 14:13:01.217669,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 16.545454545454547)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 10.01764705882353)"
09-01-2023 14:13:02.301390,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 16.545454545454547)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 10.01764705882353)"
09-01-2023 14:13:03.479234,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 19.5)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 10.01764705882353)"
09-01-2023 14:13:04.667923,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 46.0, 31.0)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 19.5)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 10.01764705882353)"
09-01-2023 14:13:05.879605,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 46.0, 31.0)","(26.0, 75.0, 37.90909090909091)","(12.0, 27.0, 23.5)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 10.01764705882353)"
09-01-2023 14:13:07.138460,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 46.0, 31.0)","(26.0, 75.0, 37.90909090909091)","(12.0, 27.0, 23.5)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 10.01764705882353)"
09-01-2023 14:13:08.374989,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 46.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 27.0, 23.5)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 10.01764705882353)"
09-01-2023 14:13:09.554717,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 27.0, 23.5)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 10.01764705882353)"
09-01-2023 14:13:10.755766,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 27.0, 23.5)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 10.01764705882353)"
09-01-2023 14:13:11.980363,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 27.0, 23.5)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 10.01764705882353)"
09-01-2023 14:13:13.214732,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 27.0, 23.5)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 9.790909090909091)"
09-01-2023 14:13:14.493999,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 27.0, 23.5)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 9.266666666666666)"
09-01-2023 14:13:15.728499,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 27.0, 23.5)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 9.266666666666666)"
09-01-2023 14:13:16.978091,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 27.0, 23.5)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 9.266666666666666)"
09-01-2023 14:13:18.257269,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 27.0, 23.5)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 9.266666666666666)"
09-01-2023 14:13:19.480700,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 27.0, 23.5)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 9.266666666666666)"
09-01-2023 14:13:20.696492,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 27.0, 23.5)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 9.930769230769231)"
09-01-2023 14:13:21.911223,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 27.0, 23.5)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 9.930769230769231)"
09-01-2023 14:13:23.155919,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 27.0, 23.5)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 9.930769230769231)"
09-01-2023 14:13:24.385510,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 27.0, 23.5)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 9.930769230769231)"
09-01-2023 14:13:25.589847,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 27.0, 23.5)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 9.930769230769231)"
09-01-2023 14:13:26.839396,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 27.0, 23.5)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 9.930769230769231)"
09-01-2023 14:13:28.031872,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 27.0, 18.25)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3400000000000003)","(5.0, 10.5, 9.930769230769231)"
09-01-2023 14:13:29.191110,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 27.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3310344827586205)","(5.0, 10.5, 9.930769230769231)"
