,Prince Of Belair,Hooked On Xena,Yosemite Sam,Rowdy Roddy,Night Shift,Bimini Twist,Spring Lilli,Bailey
07-01-2023 19:56:48.372213,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 134.1818181818182)","(4.4, 8.4, 5.925)"
07-01-2023 19:56:49.669355,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 134.1818181818182)","(4.4, 8.4, 5.925)"
07-01-2023 19:56:50.993370,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 134.1818181818182)","(4.4, 8.4, 5.925)"
07-01-2023 19:56:52.244241,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 134.1818181818182)","(4.4, 8.4, 5.925)"
07-01-2023 19:56:53.343987,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 134.1818181818182)","(4.4, 8.4, 6.074999999999999)"
07-01-2023 19:56:54.530739,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 134.1818181818182)","(4.4, 9.0, 6.074999999999999)"
07-01-2023 19:56:55.808504,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 134.1818181818182)","(4.4, 9.0, 7.963636363636364)"
07-01-2023 19:56:57.070716,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 134.1818181818182)","(4.4, 9.0, 7.963636363636364)"
07-01-2023 19:56:58.320007,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 134.1818181818182)","(4.4, 9.0, 7.963636363636364)"
07-01-2023 19:56:59.680536,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 134.1818181818182)","(4.4, 9.0, 7.963636363636364)"
07-01-2023 19:57:01.074192,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 134.1818181818182)","(4.4, 9.0, 7.963636363636364)"
