,Quatum,Super Fast,Favs Flyer,Winds Of War,Dynamic Artist,Victory For Us,Whits End,Line Of Kings,Sirianni,Nanna Knuckey,Explosive Girl,Right Bower,Tiny Tiara
07-01-2023 16:41:49.402159,"(2.6, 3.4, 3.1252631578947367)","(3.6, 5.5, 5.168421052631579)","(61.0, 130.0, 89.0)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 9.8, 9.3)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 11.5)","(41.0, 160.0, 122.0)","(51.0, 190.0, 138.0)","(21.0, 42.0, 30.1)","(31.0, 130.0, 115.0)"
07-01-2023 16:41:50.914893,"(2.6, 3.35, 3.2377777777777776)","(3.6, 5.5, 5.168421052631579)","(61.0, 130.0, 89.0)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 9.8, 9.3)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 11.5)","(41.0, 160.0, 122.0)","(51.0, 190.0, 138.0)","(21.0, 42.0, 30.1)","(31.0, 130.0, 115.0)"
07-01-2023 16:41:52.495326,"(2.6, 3.3, 3.2377777777777776)","(3.6, 5.5, 5.168421052631579)","(61.0, 130.0, 89.0)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 9.8, 9.3)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 11.5)","(41.0, 160.0, 122.0)","(51.0, 190.0, 138.0)","(21.0, 42.0, 30.1)","(31.0, 130.0, 115.0)"
07-01-2023 16:41:54.032256,"(2.6, 3.3, 3.2377777777777776)","(3.6, 5.5, 5.168421052631579)","(61.0, 130.0, 89.0)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 9.8, 9.3)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 11.5)","(41.0, 160.0, 122.0)","(51.0, 190.0, 138.0)","(21.0, 42.0, 30.1)","(31.0, 130.0, 115.0)"
07-01-2023 16:41:55.606326,"(2.6, 3.3, 3.2377777777777776)","(3.6, 5.5, 5.168421052631579)","(61.0, 130.0, 89.0)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 9.8, 9.3)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 11.5)","(41.0, 160.0, 122.0)","(51.0, 190.0, 138.0)","(21.0, 42.0, 30.1)","(31.0, 130.0, 115.0)"
07-01-2023 16:41:57.265376,"(2.6, 3.3, 3.2377777777777776)","(3.6, 5.5, 5.168421052631579)","(61.0, 130.0, 89.0)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 9.8, 9.3)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 11.5)","(41.0, 160.0, 122.0)","(51.0, 190.0, 138.0)","(21.0, 42.0, 30.1)","(31.0, 130.0, 115.0)"
07-01-2023 16:41:58.838898,"(2.6, 3.3, 3.2377777777777776)","(3.6, 5.5, 5.168421052631579)","(61.0, 130.0, 89.0)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 9.8, 9.3)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 11.5)","(41.0, 160.0, 122.0)","(51.0, 190.0, 138.0)","(21.0, 42.0, 30.1)","(31.0, 130.0, 115.0)"
07-01-2023 16:42:00.426802,"(2.6, 3.3, 3.2377777777777776)","(3.6, 5.5, 5.168421052631579)","(61.0, 130.0, 89.0)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 9.8, 9.3)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 11.5)","(41.0, 160.0, 122.0)","(51.0, 190.0, 138.0)","(21.0, 42.0, 30.1)","(31.0, 130.0, 115.0)"
07-01-2023 16:42:01.850591,"(2.6, 3.3, 3.2377777777777776)","(3.6, 5.5, 5.168421052631579)","(61.0, 130.0, 89.0)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 9.8, 9.3)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 11.5)","(41.0, 160.0, 122.0)","(51.0, 190.0, 138.0)","(21.0, 42.0, 30.1)","(31.0, 130.0, 115.0)"
07-01-2023 16:42:03.285982,"(2.6, 3.3, 3.2377777777777776)","(3.6, 5.5, 5.168421052631579)","(61.0, 130.0, 89.0)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 9.8, 9.2)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 122.0)","(51.0, 190.0, 106.66666666666666)","(21.0, 42.0, 34.06666666666666)","(31.0, 130.0, 115.0)"
