,Ill Be Gone,Rudibatootie,Drake Passage,Regal Duke,Tactfull,Fournaise,Belluna,Jahbath,White Heath,Parisian Veil,Socialite Miss,Bostock Raider
07-01-2023 15:27:03.080578,"(31.0, 90.0, 77.5)","(26.0, 42.0, 41.6)","(7.0, 8.8, 8.188235294117646)","(12.0, 17.5, 17.1)","(2.6, 2.9, 2.893333333333333)","(31.0, 55.0, 51.15)","(6.5, 8.0, 8.04)","(15.0, 25.0, 24.142857142857142)","(61.0, 180.0, 146.66666666666669)","(14.0, 22.0, 20.444444444444443)","(8.5, 12.0, 11.365384615384615)","(9.0, 11.5, 10.642857142857142)"
07-01-2023 15:27:04.846703,"(31.0, 90.0, 77.5)","(26.0, 42.0, 41.6)","(7.0, 8.8, 8.184615384615384)","(12.0, 17.5, 17.1)","(2.6, 2.9, 2.8906666666666667)","(31.0, 55.0, 51.15)","(6.5, 8.2, 8.04)","(15.0, 25.0, 24.142857142857142)","(61.0, 180.0, 146.66666666666669)","(14.0, 22.0, 20.444444444444443)","(8.5, 12.0, 11.727272727272727)","(9.0, 11.5, 10.642857142857142)"
07-01-2023 15:27:06.601458,"(31.0, 90.0, 77.5)","(26.0, 42.0, 41.6)","(7.0, 8.6, 8.456)","(12.0, 17.5, 17.03846153846154)","(2.6, 2.9, 2.8246153846153845)","(31.0, 55.0, 52.411764705882355)","(6.5, 8.2, 8.2)","(15.0, 25.0, 24.142857142857142)","(61.0, 180.0, 126.66666666666667)","(14.0, 22.0, 20.285714285714285)","(8.5, 12.0, 11.258064516129032)","(9.0, 11.5, 10.642857142857142)"
07-01-2023 15:27:08.273396,"(31.0, 90.0, 77.5)","(26.0, 42.0, 41.6)","(7.0, 8.6, 8.456)","(12.0, 17.5, 17.03846153846154)","(2.6, 2.88, 2.8179310344827586)","(31.0, 55.0, 52.411764705882355)","(6.5, 8.8, 8.1)","(15.0, 25.0, 24.142857142857142)","(61.0, 180.0, 142.0)","(14.0, 21.0, 20.285714285714285)","(8.5, 12.0, 11.148148148148149)","(9.0, 11.5, 10.642857142857142)"
07-01-2023 15:27:09.975941,"(31.0, 90.0, 77.5)","(26.0, 42.0, 41.6)","(7.0, 8.6, 8.456)","(12.0, 17.5, 17.03846153846154)","(2.6, 2.88, 2.7952941176470585)","(31.0, 55.0, 52.411764705882355)","(6.5, 8.4, 8.1)","(16.0, 25.0, 24.11111111111111)","(61.0, 170.0, 142.0)","(14.0, 21.0, 19.8125)","(8.5, 12.0, 11.148148148148149)","(9.0, 11.5, 10.642857142857142)"
07-01-2023 15:27:11.632049,"(31.0, 90.0, 69.16666666666667)","(26.0, 42.0, 41.6)","(7.0, 8.6, 8.456)","(12.0, 17.5, 17.03846153846154)","(2.6, 2.88, 2.7952941176470585)","(31.0, 55.0, 52.411764705882355)","(6.5, 8.4, 8.1)","(16.0, 25.0, 24.466666666666665)","(61.0, 170.0, 117.5)","(14.0, 20.0, 19.8125)","(8.5, 12.0, 11.148148148148149)","(9.0, 11.5, 10.642857142857142)"
07-01-2023 15:27:13.506312,"(31.0, 90.0, 83.33333333333333)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.428571428571429)","(12.0, 17.5, 17.03846153846154)","(2.6, 2.88, 2.8567567567567567)","(31.0, 55.0, 52.411764705882355)","(6.5, 8.4, 8.1)","(16.0, 25.0, 24.466666666666665)","(61.0, 170.0, 128.0)","(14.0, 20.0, 19.8125)","(8.5, 12.0, 11.333333333333334)","(9.0, 11.5, 10.642857142857142)"
07-01-2023 15:27:15.049703,"(31.0, 120.0, 83.33333333333333)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.428571428571429)","(12.0, 17.5, 17.03846153846154)","(2.6, 2.86, 2.8529411764705883)","(31.0, 55.0, 52.411764705882355)","(6.5, 8.4, 8.2)","(16.0, 25.0, 24.466666666666665)","(61.0, 170.0, 117.5)","(14.0, 20.0, 19.8125)","(8.5, 12.0, 11.333333333333334)","(9.0, 11.5, 10.642857142857142)"
07-01-2023 15:27:16.640473,"(31.0, 120.0, 83.33333333333333)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.428571428571429)","(12.0, 17.5, 17.03846153846154)","(2.6, 2.86, 2.8529411764705883)","(31.0, 55.0, 52.411764705882355)","(6.5, 8.4, 8.329411764705883)","(16.0, 25.0, 24.466666666666665)","(61.0, 170.0, 114.0)","(14.0, 20.0, 19.8125)","(8.5, 12.0, 11.333333333333334)","(9.0, 11.5, 10.642857142857142)"
07-01-2023 15:27:18.323339,"(31.0, 120.0, 106.25)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.428571428571429)","(12.0, 17.5, 17.03846153846154)","(2.6, 2.86, 2.855135135135135)","(31.0, 55.0, 52.411764705882355)","(6.5, 8.4, 8.352)","(16.0, 25.0, 24.692307692307693)","(61.0, 170.0, 120.0)","(14.0, 20.0, 19.605263157894736)","(8.5, 12.0, 11.333333333333334)","(9.0, 11.5, 10.642857142857142)"
