,Golden Scotch,Kanji Uganda,Lacey Star,Aston Michigan,Just Enough,Jellybean Jam
11-01-2023 17:43:37.498108,"(21.0, 75.0, 36.6)","(3.2, 5.6, 5.0)","(1.8, 1.96, 1.8933333333333333)","(4.0, 5.7, 5.300000000000001)","(31.0, 130.0, 53.2)","(11.0, 21.0, 17.5)"
11-01-2023 17:43:38.483449,"(21.0, 75.0, 36.6)","(3.2, 5.6, 5.314285714285714)","(1.8, 1.96, 1.8933333333333333)","(4.0, 5.7, 5.300000000000001)","(31.0, 130.0, 53.2)","(11.0, 21.0, 17.5)"
11-01-2023 17:43:39.494521,"(21.0, 75.0, 36.6)","(3.2, 5.6, 5.0)","(1.8, 1.96, 1.8933333333333333)","(4.0, 5.7, 5.300000000000001)","(31.0, 130.0, 53.2)","(11.0, 21.0, 17.5)"
11-01-2023 17:43:40.339300,"(21.0, 75.0, 36.6)","(3.2, 5.9, 4.94)","(1.8, 1.96, 1.8933333333333333)","(4.0, 5.7, 5.300000000000001)","(31.0, 130.0, 53.2)","(11.0, 21.0, 17.5)"
11-01-2023 17:43:41.246347,"(21.0, 75.0, 36.6)","(3.2, 5.8, 4.92)","(1.8, 1.96, 1.8933333333333333)","(4.0, 5.7, 5.300000000000001)","(31.0, 130.0, 53.2)","(11.0, 21.0, 17.5)"
11-01-2023 17:43:42.250165,"(21.0, 75.0, 36.6)","(3.2, 5.8, 5.25)","(1.8, 1.96, 1.8933333333333333)","(4.0, 5.7, 5.300000000000001)","(31.0, 130.0, 53.2)","(11.0, 21.0, 17.5)"
11-01-2023 17:43:43.266020,"(21.0, 75.0, 36.6)","(3.2, 5.6, 5.0)","(1.8, 1.92, 1.8800000000000001)","(4.0, 5.7, 5.300000000000001)","(31.0, 130.0, 53.2)","(11.0, 21.0, 17.5)"
11-01-2023 17:43:44.133141,"(21.0, 75.0, 36.6)","(3.2, 5.6, 5.3428571428571425)","(1.8, 1.92, 1.896)","(4.0, 5.7, 5.033333333333333)","(31.0, 130.0, 53.2)","(11.0, 21.0, 18.9)"
11-01-2023 17:43:45.041196,"(21.0, 75.0, 36.6)","(3.2, 5.6, 5.3428571428571425)","(1.8, 1.96, 1.9457142857142857)","(4.0, 5.5, 4.985714285714286)","(31.0, 130.0, 53.2)","(11.0, 21.0, 18.9)"
11-01-2023 17:43:45.982027,"(21.0, 75.0, 36.6)","(3.2, 5.6, 5.066666666666666)","(1.8, 1.96, 1.9457142857142857)","(4.0, 5.5, 4.985714285714286)","(31.0, 130.0, 53.2)","(11.0, 21.0, 18.9)"
11-01-2023 17:43:46.874449,"(21.0, 75.0, 36.6)","(3.2, 5.6, 5.371428571428571)","(1.8, 1.96, 1.915)","(4.0, 5.5, 4.985714285714286)","(31.0, 130.0, 53.2)","(11.0, 21.0, 18.9)"
11-01-2023 17:43:47.732174,"(21.0, 75.0, 36.6)","(3.2, 5.6, 5.133333333333334)","(1.8, 1.96, 1.9527272727272726)","(4.0, 5.5, 4.985714285714286)","(31.0, 110.0, 43.5)","(11.0, 21.0, 18.9)"
11-01-2023 17:43:48.606847,"(21.0, 75.0, 36.6)","(3.2, 5.6, 5.3999999999999995)","(1.8, 1.96, 1.9366666666666665)","(4.0, 5.5, 4.985714285714286)","(31.0, 110.0, 42.44444444444444)","(11.0, 21.0, 18.9)"
