,Goldstar Austin,Goofy Adobe,Grande Vue Ace,Calculated Risk,Opawa Barrel,Replica Rebel,Goldstar Tanner,Got Faith
16-12-2022 10:23:21.659885,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:22.675934,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:23.711630,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:24.744795,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:25.731160,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:26.737157,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:27.789258,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:28.796131,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:29.780093,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:30.786549,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:31.788026,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:32.770744,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:33.778008,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:34.829947,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:35.851791,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:36.877403,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:37.896718,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:38.912676,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:39.881258,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:40.837005,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:41.813384,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:42.792215,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:43.801953,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:44.809165,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:45.851533,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:46.876472,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:47.880901,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:48.922698,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:49.971764,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:50.997696,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:52.012591,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:52.993849,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:53.970290,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:54.934021,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:55.890560,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:56.866387,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:57.838484,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
