,Semiyon,Dusty Country,Burnt Me,Rifle Man,Mean Sam,Slay Queen,Zambora Chief,Hit List
11-01-2023 21:41:07.345347,"(7.5, 13.5, 12.836842105263159)","(5.5, 11.5, 5.954545454545455)","(2.15, 3.45, 2.19)","(8.5, 17.0, 11.133333333333333)","(31.0, 120.0, 54.285714285714285)","(4.0, 7.8, 5.699999999999999)","(21.0, 85.0, 55.22727272727273)","(11.0, 24.0, 19.68)"
11-01-2023 21:41:08.497281,"(7.5, 13.5, 12.836842105263159)","(5.5, 11.5, 5.954545454545455)","(2.15, 3.45, 2.19)","(8.5, 17.0, 11.133333333333333)","(31.0, 120.0, 54.285714285714285)","(4.0, 7.8, 5.699999999999999)","(21.0, 85.0, 55.22727272727273)","(11.0, 24.0, 19.68)"
11-01-2023 21:41:09.654717,"(7.5, 13.5, 12.836842105263159)","(5.5, 11.5, 5.954545454545455)","(2.15, 3.45, 2.19)","(8.5, 17.0, 11.133333333333333)","(31.0, 120.0, 54.285714285714285)","(4.0, 7.8, 5.699999999999999)","(21.0, 85.0, 55.22727272727273)","(11.0, 24.0, 19.68)"
11-01-2023 21:41:10.673571,"(7.5, 13.5, 12.836842105263159)","(5.5, 11.5, 5.954545454545455)","(2.15, 3.45, 2.19)","(8.5, 17.0, 11.133333333333333)","(31.0, 120.0, 54.285714285714285)","(4.0, 7.8, 5.699999999999999)","(21.0, 85.0, 55.22727272727273)","(11.0, 24.0, 19.68)"
11-01-2023 21:41:11.769584,"(7.5, 13.5, 12.836842105263159)","(5.5, 11.5, 5.954545454545455)","(2.15, 3.45, 2.19)","(8.5, 17.0, 11.133333333333333)","(31.0, 120.0, 54.285714285714285)","(4.0, 7.8, 5.699999999999999)","(21.0, 85.0, 55.22727272727273)","(11.0, 24.0, 19.68)"
11-01-2023 21:41:12.824638,"(7.5, 13.5, 12.836842105263159)","(5.5, 11.5, 5.954545454545455)","(2.15, 3.45, 2.19)","(8.5, 17.0, 11.133333333333333)","(31.0, 120.0, 54.285714285714285)","(4.0, 7.8, 5.699999999999999)","(21.0, 85.0, 55.22727272727273)","(11.0, 24.0, 19.68)"
11-01-2023 21:41:14.005114,"(7.5, 13.5, 12.836842105263159)","(5.5, 11.5, 5.954545454545455)","(2.15, 3.45, 2.19)","(8.5, 17.0, 11.133333333333333)","(31.0, 120.0, 54.285714285714285)","(4.0, 7.8, 5.699999999999999)","(21.0, 85.0, 55.22727272727273)","(11.0, 24.0, 19.68)"
11-01-2023 21:41:15.147519,"(7.5, 13.5, 12.836842105263159)","(5.5, 11.5, 5.954545454545455)","(2.15, 3.45, 2.19)","(8.5, 17.0, 11.133333333333333)","(31.0, 120.0, 54.285714285714285)","(4.0, 7.8, 5.699999999999999)","(21.0, 85.0, 55.22727272727273)","(11.0, 24.0, 19.68)"
11-01-2023 21:41:16.296551,"(7.5, 13.5, 12.836842105263159)","(5.5, 11.5, 5.954545454545455)","(2.15, 3.45, 2.19)","(8.5, 17.0, 11.133333333333333)","(31.0, 120.0, 54.285714285714285)","(4.0, 7.8, 5.699999999999999)","(21.0, 85.0, 55.22727272727273)","(11.0, 24.0, 19.68)"
11-01-2023 21:41:17.436912,"(7.5, 13.5, 12.836842105263159)","(5.5, 11.5, 5.954545454545455)","(2.15, 3.45, 2.19)","(8.5, 17.0, 11.133333333333333)","(31.0, 120.0, 54.285714285714285)","(4.0, 7.8, 5.699999999999999)","(21.0, 85.0, 55.22727272727273)","(11.0, 24.0, 19.68)"
