,Dont Change,Rich Glow,Favashem,Fields Of France,Padstow Polly,Recurrence,Desert Fun,Fortunate Gal,Soos Lavan,Vienna Vixen
06-01-2023 12:17:38.306031,"(3.0, 3.4, 3.35)","(2.3, 2.54, 2.528235294117647)","(61.0, 130.0, 110.0)","(21.0, 30.0, 29.2)","(91.0, 440.0, 330.0)","(41.0, 190.0, 155.0)","(14.0, 21.0, 19.6)","(41.0, 130.0, 91.0)","(9.0, 21.0, 18.6)","(5.0, 8.0, 7.584615384615385)"
06-01-2023 12:17:39.558454,"(3.0, 3.4, 3.35)","(2.3, 2.54, 2.528235294117647)","(61.0, 130.0, 110.0)","(21.0, 30.0, 31.333333333333332)","(91.0, 440.0, 330.0)","(41.0, 190.0, 123.33333333333334)","(14.0, 21.0, 19.6)","(41.0, 130.0, 102.14285714285714)","(9.0, 20.0, 18.6)","(5.0, 8.0, 7.584615384615385)"
06-01-2023 12:17:41.221479,"(3.0, 3.4, 3.35)","(2.3, 2.54, 2.528235294117647)","(61.0, 130.0, 110.0)","(21.0, 34.0, 31.333333333333332)","(91.0, 440.0, 330.0)","(41.0, 190.0, 123.33333333333334)","(14.0, 21.0, 19.6)","(41.0, 120.0, 92.5)","(9.0, 20.0, 18.6)","(5.0, 8.0, 7.584615384615385)"
06-01-2023 12:17:42.737048,"(3.0, 3.4, 3.35)","(2.3, 2.54, 2.528235294117647)","(61.0, 130.0, 110.0)","(21.0, 34.0, 31.333333333333332)","(91.0, 440.0, 330.0)","(41.0, 190.0, 123.33333333333334)","(14.0, 21.0, 19.6)","(41.0, 120.0, 110.9090909090909)","(9.0, 20.0, 18.6)","(5.0, 8.0, 7.584615384615385)"
06-01-2023 12:17:44.225828,"(3.0, 3.4, 3.35)","(2.3, 2.54, 2.528235294117647)","(61.0, 130.0, 110.0)","(21.0, 34.0, 31.333333333333332)","(91.0, 440.0, 330.0)","(41.0, 190.0, 123.33333333333334)","(14.0, 21.0, 19.6)","(41.0, 120.0, 110.9090909090909)","(9.0, 20.0, 18.6)","(5.0, 8.0, 7.584615384615385)"
06-01-2023 12:17:46.004881,"(3.0, 3.4, 3.35)","(2.3, 2.54, 2.528235294117647)","(61.0, 130.0, 110.0)","(21.0, 34.0, 31.333333333333332)","(91.0, 440.0, 394.0)","(41.0, 190.0, 123.33333333333334)","(14.0, 21.0, 19.6)","(41.0, 120.0, 102.72727272727272)","(9.0, 20.0, 19.142857142857142)","(5.0, 8.0, 7.584615384615385)"
06-01-2023 12:17:47.634842,"(3.0, 3.4, 3.35)","(2.3, 2.54, 2.528235294117647)","(61.0, 130.0, 135.45454545454547)","(21.0, 34.0, 31.333333333333332)","(91.0, 440.0, 394.0)","(41.0, 190.0, 123.33333333333334)","(14.0, 21.0, 19.6)","(41.0, 110.0, 102.72727272727272)","(9.0, 20.0, 19.142857142857142)","(5.0, 8.0, 7.584615384615385)"
06-01-2023 12:17:49.321795,"(3.0, 3.4, 3.35)","(2.3, 2.54, 2.528235294117647)","(61.0, 140.0, 135.45454545454547)","(21.0, 34.0, 31.333333333333332)","(91.0, 440.0, 394.0)","(41.0, 190.0, 123.33333333333334)","(14.0, 21.0, 19.6)","(41.0, 110.0, 102.72727272727272)","(9.0, 20.0, 19.142857142857142)","(5.0, 8.0, 7.584615384615385)"
06-01-2023 12:17:50.843843,"(3.0, 3.4, 3.35)","(2.3, 2.54, 2.528235294117647)","(61.0, 140.0, 135.45454545454547)","(21.0, 34.0, 31.333333333333332)","(91.0, 440.0, 394.0)","(41.0, 190.0, 123.33333333333334)","(14.0, 21.0, 19.6)","(41.0, 110.0, 102.72727272727272)","(9.0, 20.0, 19.142857142857142)","(5.0, 8.0, 7.584615384615385)"
06-01-2023 12:17:52.414380,"(3.0, 3.4, 3.35)","(2.3, 2.54, 2.528235294117647)","(61.0, 140.0, 135.45454545454547)","(21.0, 34.0, 30.8)","(91.0, 440.0, 394.0)","(41.0, 190.0, 123.33333333333334)","(14.0, 21.0, 19.6)","(41.0, 110.0, 102.72727272727272)","(9.0, 20.0, 18.75)","(5.0, 8.0, 7.584615384615385)"
