,Splash Some Cash,Run For Glory,Heir Of Tavistock,Tubby Two Tracks,Grinzinger Allee,Midnight Brawler,Metro Legend,Annika,Obi,Star Espresso,Enbarr,Fox Dor
07-01-2023 15:54:55.857767,"(16.0, 24.0, 22.5)","(16.0, 23.0, 20.6)","(7.5, 9.2, 9.127272727272727)","(11.0, 15.5, 14.978260869565217)","(31.0, 60.0, 49.333333333333336)","(51.0, 70.0, 61.42857142857143)","(2.9, 3.9, 3.8562499999999997)","(7.5, 11.5, 10.1875)","(7.5, 9.4, 9.365217391304348)","(7.0, 9.2, 9.028571428571428)","(91.0, 180.0, 140.0)","(10.0, 14.5, 12.192307692307692)"
07-01-2023 15:54:57.343722,"(16.0, 24.0, 22.5)","(16.0, 23.0, 20.6)","(7.5, 9.2, 9.127272727272727)","(11.0, 15.5, 14.978260869565217)","(31.0, 60.0, 49.333333333333336)","(51.0, 70.0, 61.42857142857143)","(2.9, 3.9, 3.8562499999999997)","(7.5, 11.5, 10.1875)","(7.5, 9.4, 9.365217391304348)","(7.0, 9.2, 9.028571428571428)","(91.0, 180.0, 140.0)","(10.0, 14.5, 12.192307692307692)"
07-01-2023 15:54:58.822693,"(16.0, 24.0, 22.5)","(16.0, 23.0, 20.6)","(7.5, 9.2, 9.127272727272727)","(11.0, 15.5, 14.978260869565217)","(31.0, 60.0, 49.333333333333336)","(51.0, 70.0, 61.42857142857143)","(2.9, 3.9, 3.8562499999999997)","(7.5, 11.5, 10.1875)","(7.5, 9.4, 9.365217391304348)","(7.0, 9.2, 9.028571428571428)","(91.0, 180.0, 140.0)","(10.0, 14.5, 12.192307692307692)"
07-01-2023 15:55:00.317497,"(16.0, 24.0, 22.5)","(16.0, 23.0, 20.6)","(7.5, 9.2, 9.127272727272727)","(11.0, 15.5, 14.978260869565217)","(31.0, 60.0, 49.333333333333336)","(51.0, 70.0, 61.42857142857143)","(2.9, 3.9, 3.8562499999999997)","(7.5, 11.5, 10.1875)","(7.5, 9.4, 9.365217391304348)","(7.0, 9.2, 9.028571428571428)","(91.0, 180.0, 140.0)","(10.0, 14.5, 12.192307692307692)"
07-01-2023 15:55:01.730698,"(16.0, 24.0, 22.5)","(16.0, 23.0, 20.6)","(7.5, 9.2, 9.127272727272727)","(11.0, 15.5, 14.978260869565217)","(31.0, 60.0, 49.333333333333336)","(51.0, 70.0, 61.42857142857143)","(2.9, 3.9, 3.8562499999999997)","(7.5, 11.5, 10.1875)","(7.5, 9.4, 9.365217391304348)","(7.0, 9.2, 9.028571428571428)","(91.0, 180.0, 140.0)","(10.0, 14.5, 12.192307692307692)"
07-01-2023 15:55:03.108202,"(16.0, 24.0, 22.5)","(16.0, 23.0, 20.6)","(7.5, 9.2, 9.127272727272727)","(11.0, 15.5, 14.978260869565217)","(31.0, 60.0, 49.333333333333336)","(51.0, 70.0, 61.42857142857143)","(2.9, 3.9, 3.8562499999999997)","(7.5, 11.5, 10.1875)","(7.5, 9.4, 9.365217391304348)","(7.0, 9.2, 9.028571428571428)","(91.0, 180.0, 140.0)","(10.0, 14.5, 12.192307692307692)"
07-01-2023 15:55:04.689881,"(16.0, 24.0, 22.5)","(16.0, 24.0, 21.0)","(7.5, 9.2, 9.127272727272727)","(11.0, 15.5, 14.978260869565217)","(31.0, 60.0, 49.333333333333336)","(51.0, 70.0, 61.42857142857143)","(2.9, 3.9, 3.8562499999999997)","(7.5, 11.5, 10.1875)","(7.5, 9.4, 9.365217391304348)","(7.0, 9.2, 9.028571428571428)","(91.0, 180.0, 140.0)","(10.0, 14.5, 12.192307692307692)"
07-01-2023 15:55:06.081188,"(16.0, 24.0, 22.5)","(16.0, 24.0, 21.0)","(7.5, 9.2, 9.127272727272727)","(11.0, 15.5, 14.978260869565217)","(31.0, 60.0, 49.333333333333336)","(51.0, 70.0, 61.42857142857143)","(2.9, 3.9, 3.8562499999999997)","(7.5, 11.5, 10.1875)","(7.5, 9.4, 9.365217391304348)","(7.0, 9.2, 9.028571428571428)","(91.0, 180.0, 140.0)","(10.0, 14.5, 12.192307692307692)"
07-01-2023 15:55:07.494714,"(16.0, 24.0, 22.5)","(16.0, 24.0, 21.0)","(7.5, 9.2, 9.127272727272727)","(11.0, 15.5, 14.978260869565217)","(31.0, 60.0, 49.333333333333336)","(51.0, 70.0, 61.42857142857143)","(2.9, 3.9, 3.8562499999999997)","(7.5, 11.5, 10.1875)","(7.5, 9.4, 9.365217391304348)","(7.0, 9.2, 9.028571428571428)","(91.0, 180.0, 140.0)","(10.0, 14.5, 12.192307692307692)"
07-01-2023 15:55:08.922395,"(16.0, 24.0, 22.5)","(16.0, 24.0, 21.0)","(7.5, 9.2, 9.127272727272727)","(11.0, 15.5, 14.978260869565217)","(31.0, 60.0, 49.333333333333336)","(51.0, 70.0, 61.42857142857143)","(2.9, 3.9, 3.8562499999999997)","(7.5, 11.5, 10.1875)","(7.5, 9.4, 9.365217391304348)","(7.0, 9.2, 9.028571428571428)","(91.0, 180.0, 140.0)","(10.0, 14.5, 12.192307692307692)"
