,Semeco,Dyerville,Cable Dancer,Alchian,Hostile Takeover,Orrong Road,Sheeza Tilly
16-12-2022 15:01:18.795704,"(3.0, 3.4, 3.3615384615384616)","(3.6, 4.3, 4.235294117647059)","(7.5, 13.5, 12.8)","(8.0, 10.0, 9.628571428571428)","(13.0, 23.0, 20.0)","(4.8, 5.8, 5.622222222222222)","(13.0, 17.0, 16.047619047619047)"
16-12-2022 15:01:19.942531,"(3.0, 3.4, 3.3615384615384616)","(3.6, 4.3, 4.235294117647059)","(7.5, 13.5, 12.8)","(8.0, 10.0, 9.628571428571428)","(13.0, 23.0, 20.0)","(4.8, 5.8, 5.622222222222222)","(13.0, 17.0, 16.047619047619047)"
16-12-2022 15:01:20.983060,"(3.0, 3.4, 3.3615384615384616)","(3.6, 4.3, 4.235294117647059)","(7.5, 13.5, 12.8)","(8.0, 10.0, 9.628571428571428)","(13.0, 23.0, 20.0)","(4.8, 5.8, 5.622222222222222)","(13.0, 17.0, 16.047619047619047)"
16-12-2022 15:01:22.071318,"(3.0, 3.4, 3.3615384615384616)","(3.6, 4.3, 4.235294117647059)","(7.5, 13.5, 12.8)","(8.0, 10.0, 9.628571428571428)","(13.0, 23.0, 20.0)","(4.8, 5.8, 5.622222222222222)","(13.0, 17.0, 16.047619047619047)"
16-12-2022 15:01:23.098119,"(3.0, 3.4, 3.3615384615384616)","(3.6, 4.3, 4.235294117647059)","(7.5, 13.5, 12.8)","(8.0, 10.0, 9.74)","(13.0, 23.0, 20.0)","(4.8, 5.8, 5.622222222222222)","(13.0, 17.0, 16.047619047619047)"
16-12-2022 15:01:24.151205,"(3.0, 3.4, 3.3615384615384616)","(3.6, 4.3, 4.235294117647059)","(7.5, 13.5, 12.8)","(8.0, 10.0, 9.74)","(13.0, 23.0, 20.0)","(4.8, 5.8, 5.622222222222222)","(13.0, 17.0, 16.047619047619047)"
16-12-2022 15:01:25.226220,"(3.0, 3.4, 3.3666666666666667)","(3.6, 4.3, 4.235294117647059)","(7.5, 13.0, 12.8)","(8.0, 10.0, 9.74)","(13.0, 23.0, 19.625)","(4.8, 5.8, 5.622222222222222)","(13.0, 17.0, 16.047619047619047)"
16-12-2022 15:01:26.340019,"(3.0, 3.4, 3.3666666666666667)","(3.6, 4.3, 4.235294117647059)","(7.5, 13.0, 12.8)","(8.0, 10.0, 9.74)","(13.0, 23.0, 19.625)","(4.8, 5.8, 5.622222222222222)","(13.0, 17.0, 16.047619047619047)"
16-12-2022 15:01:27.479297,"(3.0, 3.4, 3.368)","(3.6, 4.3, 4.235294117647059)","(7.5, 13.0, 12.8)","(8.0, 10.0, 9.74)","(13.0, 23.0, 19.625)","(4.8, 5.8, 5.622222222222222)","(13.0, 17.0, 16.047619047619047)"
16-12-2022 15:01:28.636287,"(3.0, 3.4, 3.368)","(3.6, 4.3, 4.235294117647059)","(7.5, 13.0, 12.8)","(8.0, 10.0, 9.74)","(13.0, 23.0, 19.625)","(4.8, 5.8, 5.622222222222222)","(13.0, 17.0, 16.047619047619047)"
16-12-2022 15:01:29.702093,"(3.0, 3.4, 3.368)","(3.6, 4.3, 4.235294117647059)","(7.5, 13.0, 12.8)","(8.0, 10.0, 9.74)","(13.0, 23.0, 19.625)","(4.8, 5.8, 5.622222222222222)","(13.0, 17.0, 16.047619047619047)"
16-12-2022 15:01:30.757347,"(3.0, 3.4, 3.380952380952381)","(3.6, 4.3, 4.2405405405405405)","(7.5, 13.0, 12.8)","(8.0, 10.0, 9.628571428571428)","(13.0, 23.0, 19.625)","(4.8, 5.8, 5.643478260869565)","(13.0, 17.0, 16.047619047619047)"
