,Thats Not My Gait,Fling It Rainbow,Tripod Nz,Dels Destiny Nz,Megeve,Homonym Nz,Peakz Luck Nz,Whatwillbeewillbee Nz,Little Yankee
07-12-2022 20:22:38.819294,"(2.4, 3.5, 2.8280000000000003)","(16.0, 28.0, 24.5)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 16.666666666666668)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 30.555555555555557)"
07-12-2022 20:22:40.245305,"(2.4, 3.5, 2.8280000000000003)","(16.0, 28.0, 24.5)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 16.666666666666668)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 30.555555555555557)"
07-12-2022 20:22:41.705798,"(2.4, 3.5, 2.8280000000000003)","(16.0, 28.0, 24.5)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 16.666666666666668)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 30.555555555555557)"
07-12-2022 20:22:43.160815,"(2.4, 3.5, 2.8280000000000003)","(16.0, 28.0, 24.5)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 16.666666666666668)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 30.555555555555557)"
07-12-2022 20:22:44.610420,"(2.4, 3.5, 2.8280000000000003)","(16.0, 28.0, 24.5)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 16.666666666666668)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 30.555555555555557)"
07-12-2022 20:22:45.988839,"(2.4, 3.5, 2.8280000000000003)","(16.0, 28.0, 24.5)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 16.666666666666668)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 30.555555555555557)"
07-12-2022 20:22:47.460537,"(2.4, 3.5, 2.94)","(16.0, 28.0, 24.5)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 16.666666666666668)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 30.555555555555557)"
07-12-2022 20:22:48.807710,"(2.4, 3.7, 3.006666666666667)","(16.0, 28.0, 24.5)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 16.666666666666668)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 30.555555555555557)"
07-12-2022 20:22:50.258342,"(2.4, 3.65, 2.99)","(16.0, 28.0, 24.5)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 16.666666666666668)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 30.555555555555557)"
07-12-2022 20:22:51.721492,"(2.4, 3.65, 2.99)","(16.0, 28.0, 24.5)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 16.666666666666668)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 30.555555555555557)"
