,Golden Hands,Black Baccara,Tuesdays Gone,Nomad Road,Striking Stare,Deadly Choice,Scandalise,Atomic Len
11-01-2023 21:23:44.367385,"(4.0, 8.0, 5.0)","(41.0, 350.0, 230.0)","(10.0, 21.0, 15.75)","(8.5, 19.5, 12.233333333333333)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5361111111111112)"
11-01-2023 21:23:45.673920,"(4.0, 8.0, 5.0)","(41.0, 350.0, 230.0)","(10.0, 21.0, 15.75)","(8.5, 19.5, 12.233333333333333)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5361111111111112)"
11-01-2023 21:23:46.859396,"(4.0, 8.0, 5.0)","(41.0, 350.0, 230.0)","(10.0, 21.0, 15.75)","(8.5, 19.5, 12.233333333333333)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5361111111111112)"
11-01-2023 21:23:48.067228,"(4.0, 8.0, 5.0)","(41.0, 340.0, 239.33333333333334)","(10.0, 21.0, 15.75)","(8.5, 19.5, 12.233333333333333)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5361111111111112)"
11-01-2023 21:23:49.497630,"(4.0, 8.0, 5.0)","(41.0, 340.0, 239.33333333333334)","(10.0, 21.0, 15.75)","(8.5, 19.5, 12.233333333333333)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5361111111111112)"
11-01-2023 21:23:51.021303,"(4.0, 8.0, 5.0)","(41.0, 340.0, 239.33333333333334)","(10.0, 21.0, 15.75)","(8.5, 19.5, 12.233333333333333)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5432000000000001)"
11-01-2023 21:23:52.459848,"(4.0, 8.0, 5.0)","(41.0, 340.0, 239.33333333333334)","(10.0, 21.0, 15.75)","(8.5, 19.5, 12.233333333333333)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5432000000000001)"
11-01-2023 21:23:54.007251,"(4.0, 8.0, 5.0)","(41.0, 340.0, 239.33333333333334)","(10.0, 21.0, 15.75)","(8.5, 19.5, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5432000000000001)"
11-01-2023 21:23:55.410541,"(4.0, 8.0, 5.0)","(41.0, 340.0, 239.33333333333334)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5432000000000001)"
11-01-2023 21:23:56.823168,"(4.0, 8.0, 5.0)","(41.0, 340.0, 239.33333333333334)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5432000000000001)"
11-01-2023 21:23:58.142784,"(4.0, 8.0, 5.0)","(41.0, 340.0, 239.33333333333334)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5432000000000001)"
11-01-2023 21:23:59.460908,"(4.0, 8.0, 5.0)","(41.0, 340.0, 239.33333333333334)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5432000000000001)"
11-01-2023 21:24:00.872540,"(4.0, 8.0, 5.0)","(41.0, 340.0, 239.33333333333334)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5683333333333334)"
11-01-2023 21:24:02.288899,"(4.0, 8.0, 5.0)","(41.0, 340.0, 180.11764705882354)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5683333333333334)"
11-01-2023 21:24:03.725809,"(4.0, 8.0, 5.0)","(41.0, 350.0, 184.8235294117647)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5683333333333334)"
11-01-2023 21:24:05.128349,"(4.0, 8.0, 5.0)","(41.0, 350.0, 184.8235294117647)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5441666666666667)"
11-01-2023 21:24:06.464680,"(4.0, 8.0, 5.0)","(41.0, 350.0, 184.8235294117647)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5441666666666667)"
11-01-2023 21:24:07.840338,"(4.0, 8.0, 5.0)","(41.0, 350.0, 184.8235294117647)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5441666666666667)"
11-01-2023 21:24:09.161590,"(4.0, 8.0, 5.0)","(41.0, 350.0, 184.8235294117647)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5361111111111112)"
11-01-2023 21:24:10.464447,"(4.0, 8.0, 5.0)","(41.0, 350.0, 184.8235294117647)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5361111111111112)"
11-01-2023 21:24:11.781849,"(4.0, 8.0, 5.0)","(41.0, 350.0, 184.8235294117647)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5361111111111112)"
11-01-2023 21:24:13.094459,"(4.0, 8.0, 5.0)","(41.0, 350.0, 184.8235294117647)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5361111111111112)"
11-01-2023 21:24:14.371989,"(4.0, 8.0, 5.0)","(41.0, 350.0, 184.8235294117647)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5361111111111112)"
11-01-2023 21:24:15.731550,"(4.0, 8.0, 5.0)","(41.0, 350.0, 184.8235294117647)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5361111111111112)"
11-01-2023 21:24:17.083326,"(4.0, 8.0, 5.0)","(41.0, 350.0, 184.8235294117647)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5361111111111112)"
11-01-2023 21:24:18.438528,"(4.0, 8.0, 5.0)","(41.0, 350.0, 184.8235294117647)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5361111111111112)"
11-01-2023 21:24:19.761730,"(4.0, 8.0, 5.0)","(41.0, 350.0, 184.8235294117647)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5361111111111112)"
11-01-2023 21:24:21.041477,"(4.0, 8.0, 5.0)","(41.0, 350.0, 184.8235294117647)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5361111111111112)"
11-01-2023 21:24:22.510727,"(4.0, 8.0, 5.0)","(41.0, 350.0, 184.8235294117647)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5361111111111112)"
11-01-2023 21:24:23.974657,"(4.0, 8.0, 5.0)","(41.0, 350.0, 184.8235294117647)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5361111111111112)"
11-01-2023 21:24:25.275456,"(4.0, 8.0, 5.0)","(41.0, 350.0, 184.8235294117647)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5361111111111112)"
11-01-2023 21:24:26.529550,"(4.0, 8.0, 5.0)","(41.0, 350.0, 184.8235294117647)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5361111111111112)"
11-01-2023 21:24:27.798327,"(4.0, 8.0, 5.0)","(41.0, 350.0, 184.8235294117647)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5361111111111112)"
11-01-2023 21:24:29.104984,"(4.0, 8.0, 5.0)","(41.0, 350.0, 184.8235294117647)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5361111111111112)"
11-01-2023 21:24:30.423663,"(4.0, 8.0, 5.0)","(41.0, 350.0, 184.8235294117647)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5361111111111112)"
11-01-2023 21:24:31.734243,"(4.0, 8.0, 5.0)","(41.0, 350.0, 184.8235294117647)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5361111111111112)"
11-01-2023 21:24:33.028270,"(4.0, 8.0, 5.0)","(41.0, 350.0, 184.8235294117647)","(10.0, 21.0, 15.75)","(8.5, 19.0, 12.066666666666666)","(17.0, 50.0, 36.2)","(14.0, 36.0, 16.0)","(61.0, 520.0, 442.5)","(1.5, 2.1, 1.5361111111111112)"
