,Giant Payday,Cleopatras Strike,Bigfoot City,Zumurudee,Bobs All In,Cashanova,My Boy Lollipop,Vintage Kitten,River Rose,Macedonian Ruler,Were Just Sayin
10-01-2023 08:50:30.428592,"(13.0, 17.0, 16.272727272727273)","(2.45, 3.1, 3.04)","(3.3, 4.5, 4.44)","(18.0, 34.0, 29.888888888888886)","(9.0, 11.5, 10.32)","(7.5, 9.0, 8.822222222222223)","(51.0, 220.0, 146.39999999999998)","(31.0, 220.0, 156.66666666666669)","(10.0, 20.0, 15.625)","(14.0, 60.0, 54.5625)","(26.0, 220.0, 164.57142857142858)"
10-01-2023 08:50:31.606497,"(13.0, 17.0, 16.272727272727273)","(2.45, 3.1, 3.04)","(3.3, 4.5, 4.44)","(18.0, 34.0, 29.888888888888886)","(9.0, 12.0, 10.32)","(7.5, 9.0, 8.733333333333333)","(51.0, 220.0, 146.39999999999998)","(31.0, 220.0, 156.66666666666669)","(10.0, 20.0, 16.5)","(14.0, 60.0, 54.5625)","(26.0, 220.0, 164.57142857142858)"
10-01-2023 08:50:32.841957,"(13.0, 17.0, 16.272727272727273)","(2.45, 3.1, 3.04)","(3.3, 4.5, 4.44)","(18.0, 34.0, 30.0)","(9.0, 12.0, 10.6)","(7.5, 9.0, 8.822222222222223)","(51.0, 220.0, 157.33333333333331)","(31.0, 220.0, 156.66666666666669)","(10.0, 20.0, 17.34)","(14.0, 60.0, 50.550000000000004)","(26.0, 220.0, 170.5)"
10-01-2023 08:50:34.068978,"(13.0, 17.0, 15.857142857142858)","(2.45, 3.1, 3.02)","(3.3, 4.5, 4.457142857142857)","(18.0, 34.0, 29.666666666666664)","(9.0, 12.0, 11.125)","(7.5, 9.0, 8.899999999999999)","(51.0, 220.0, 157.33333333333331)","(31.0, 220.0, 156.66666666666669)","(10.0, 20.0, 17.9)","(14.0, 55.0, 49.5625)","(26.0, 220.0, 184.1818181818182)"
10-01-2023 08:50:35.290294,"(13.0, 16.5, 15.9)","(2.45, 3.1, 3.02)","(3.3, 4.5, 4.457142857142857)","(18.0, 34.0, 30.2)","(9.0, 12.0, 11.125)","(7.5, 9.2, 8.48)","(51.0, 220.0, 157.33333333333331)","(31.0, 220.0, 156.66666666666669)","(10.0, 20.0, 17.520833333333336)","(14.0, 55.0, 47.27272727272727)","(26.0, 220.0, 164.0)"
10-01-2023 08:50:36.494266,"(13.0, 16.5, 15.642857142857142)","(2.45, 3.1, 3.02)","(3.3, 4.5, 4.457142857142857)","(18.0, 34.0, 30.2)","(9.0, 12.0, 11.125)","(7.5, 9.2, 8.222222222222221)","(51.0, 220.0, 157.33333333333331)","(31.0, 220.0, 156.66666666666669)","(10.0, 20.0, 17.520833333333336)","(14.0, 55.0, 44.5)","(26.0, 220.0, 164.28571428571428)"
10-01-2023 08:50:37.684018,"(13.0, 16.5, 15.642857142857142)","(2.45, 3.15, 2.9523529411764704)","(3.3, 4.5, 4.457142857142857)","(18.0, 34.0, 26.6)","(9.0, 12.0, 11.125)","(7.5, 9.0, 8.4)","(51.0, 220.0, 157.33333333333331)","(31.0, 220.0, 165.71428571428572)","(10.0, 20.0, 17.925925925925924)","(14.0, 55.0, 38.400000000000006)","(26.0, 220.0, 164.0)"
10-01-2023 08:50:38.921065,"(13.0, 16.5, 15.642857142857142)","(2.45, 3.1, 2.96)","(3.3, 4.5, 4.457142857142857)","(18.0, 34.0, 30.0)","(9.0, 12.0, 11.125)","(7.5, 9.0, 8.4)","(51.0, 220.0, 157.33333333333331)","(31.0, 220.0, 165.71428571428572)","(10.0, 20.0, 17.32142857142857)","(14.0, 55.0, 143.77777777777777)","(26.0, 220.0, 142.0)"
10-01-2023 08:50:40.145797,"(13.0, 16.5, 15.642857142857142)","(2.45, 3.05, 2.946111111111111)","(3.3, 4.5, 4.44)","(18.0, 34.0, 30.0)","(9.0, 12.0, 10.95)","(7.5, 9.0, 8.74)","(51.0, 220.0, 157.33333333333331)","(31.0, 220.0, 177.77777777777777)","(10.0, 20.0, 17.5)","(14.0, 160.0, 143.72222222222223)","(26.0, 220.0, 142.0)"
10-01-2023 08:50:41.338943,"(13.0, 30.0, 28.071428571428573)","(2.45, 3.05, 2.946111111111111)","(3.3, 4.5, 4.44)","(18.0, 34.0, 30.0)","(9.0, 12.0, 10.95)","(7.5, 8.8, 8.74)","(51.0, 220.0, 157.33333333333331)","(31.0, 220.0, 166.28571428571428)","(10.0, 20.0, 17.5)","(14.0, 160.0, 123.5)","(26.0, 220.0, 164.57142857142858)"
