,Kooringa Magic,Bonbon Fire,Magic Charm,Blazing Bonus,Jimary Decoder,Miss Dudette,Spritely Olive,Chantelle Smells
15-12-2022 11:54:34.783646,"(3.1, 5.6, 4.510526315789473)","(2.9, 4.7, 4.586666666666667)","(19.0, 70.0, 55.14705882352941)","(26.0, 100.0, 63.5)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.290625)","(41.0, 290.0, 167.0)","(31.0, 220.0, 128.0)"
15-12-2022 11:54:36.032359,"(3.1, 5.6, 4.510526315789473)","(2.9, 4.7, 4.586666666666667)","(19.0, 70.0, 55.14705882352941)","(26.0, 100.0, 63.5)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.290625)","(41.0, 290.0, 167.0)","(31.0, 220.0, 128.0)"
15-12-2022 11:54:37.264831,"(3.1, 5.6, 4.510526315789473)","(2.9, 4.7, 4.586666666666667)","(19.0, 70.0, 55.14705882352941)","(26.0, 100.0, 63.5)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.290625)","(41.0, 290.0, 167.0)","(31.0, 220.0, 128.0)"
15-12-2022 11:54:38.485139,"(3.1, 5.6, 4.510526315789473)","(2.9, 4.7, 4.586666666666667)","(19.0, 70.0, 55.14705882352941)","(26.0, 100.0, 63.5)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.290625)","(41.0, 290.0, 167.0)","(31.0, 220.0, 128.0)"
15-12-2022 11:54:39.688129,"(3.1, 5.6, 4.510526315789473)","(2.9, 4.7, 4.586666666666667)","(19.0, 70.0, 55.14705882352941)","(26.0, 100.0, 63.5)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.290625)","(41.0, 290.0, 167.0)","(31.0, 220.0, 128.0)"
15-12-2022 11:54:40.870237,"(3.1, 5.6, 4.510526315789473)","(2.9, 4.7, 4.586666666666667)","(19.0, 70.0, 55.14705882352941)","(26.0, 100.0, 63.5)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.290625)","(41.0, 290.0, 167.0)","(31.0, 220.0, 128.0)"
15-12-2022 11:54:41.992009,"(3.1, 5.6, 4.510526315789473)","(2.9, 4.7, 4.586666666666667)","(19.0, 70.0, 55.14705882352941)","(26.0, 100.0, 63.5)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.290625)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:54:43.054536,"(3.1, 5.6, 4.510526315789473)","(2.9, 4.3, 4.213333333333333)","(19.0, 70.0, 52.43478260869565)","(26.0, 100.0, 65.64705882352942)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.290625)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:54:44.099678,"(3.1, 5.6, 4.510526315789473)","(2.9, 4.3, 4.213333333333333)","(19.0, 70.0, 52.43478260869565)","(26.0, 100.0, 65.64705882352942)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.290625)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:54:45.139678,"(3.1, 5.6, 4.510526315789473)","(2.9, 4.3, 4.213333333333333)","(19.0, 70.0, 52.43478260869565)","(26.0, 100.0, 65.64705882352942)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.290625)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:54:46.263908,"(3.1, 5.6, 4.510526315789473)","(2.9, 4.3, 4.137499999999999)","(19.0, 70.0, 52.43478260869565)","(26.0, 100.0, 65.64705882352942)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.290625)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:54:47.284207,"(3.1, 5.6, 4.510526315789473)","(2.9, 4.3, 4.137499999999999)","(19.0, 70.0, 52.43478260869565)","(26.0, 100.0, 65.64705882352942)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.290625)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:54:48.298073,"(3.1, 5.6, 4.510526315789473)","(2.9, 4.3, 4.137499999999999)","(19.0, 70.0, 52.43478260869565)","(26.0, 100.0, 65.64705882352942)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.290625)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:54:49.388838,"(3.1, 5.6, 4.510526315789473)","(2.9, 4.3, 4.137499999999999)","(19.0, 70.0, 52.43478260869565)","(26.0, 100.0, 65.64705882352942)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.290625)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:54:50.501096,"(3.1, 5.6, 4.510526315789473)","(2.9, 4.3, 4.137499999999999)","(19.0, 70.0, 52.43478260869565)","(26.0, 100.0, 65.64705882352942)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.290625)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:54:51.641925,"(3.1, 5.6, 4.510526315789473)","(2.9, 4.3, 4.137499999999999)","(19.0, 70.0, 52.43478260869565)","(26.0, 100.0, 65.64705882352942)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.290625)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:54:52.698382,"(3.1, 5.6, 4.510526315789473)","(2.9, 4.3, 4.137499999999999)","(19.0, 70.0, 52.43478260869565)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.290625)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:54:53.788265,"(3.1, 5.6, 4.510526315789473)","(2.9, 4.3, 4.137499999999999)","(19.0, 70.0, 52.43478260869565)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.290625)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:54:54.860754,"(3.1, 5.6, 4.510526315789473)","(2.9, 4.3, 4.137499999999999)","(19.0, 70.0, 52.43478260869565)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.290625)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
