,Western Belle,Texas Red Nz,Red Fourteen,Cut N Run Nz,Moresco,Speed Of Sound,Sailor Girl,My Ultimate Billy Nz,Gracie Taltoa,Weona Branach
06-01-2023 16:01:54.456345,"(5.0, 7.0, 6.41)","(4.6, 99999, 99990)","(3.7, 5.7, 5.35)","(31.0, 99999, 99990)","(101.0, 100.0, 96.07142857142857)","(21.0, 22.0, 19.857142857142858)","(9.0, 10.5, 9.857142857142858)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 12.5, 11.450000000000001)"
06-01-2023 16:01:56.130936,"(5.0, 6.8, 6.242857142857143)","(4.6, 99999, 99990)","(3.7, 5.5, 5.45)","(31.0, 99999, 99990)","(101.0, 110.0, 96.07142857142857)","(21.0, 22.0, 19.857142857142858)","(9.0, 10.5, 9.857142857142858)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 13.5, 13.266666666666666)"
06-01-2023 16:01:57.725481,"(5.0, 7.0, 6.242857142857143)","(4.6, 99999, 99990)","(3.7, 5.6, 5.271428571428571)","(31.0, 99999, 99990)","(101.0, 110.0, 96.07142857142857)","(21.0, 22.0, 19.666666666666668)","(9.0, 10.5, 9.345454545454546)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 13.5, 12.4)"
06-01-2023 16:01:59.558568,"(5.0, 6.8, 6.3)","(4.6, 99999, 99990)","(3.7, 5.5, 5.325)","(31.0, 99999, 99990)","(101.0, 110.0, 96.07142857142857)","(21.0, 21.0, 19.8)","(9.0, 10.0, 9.52)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 14.0, 11.8)"
06-01-2023 16:02:01.095159,"(5.0, 6.8, 6.3)","(4.6, 99999, 99990)","(3.7, 5.7, 5.296153846153846)","(31.0, 99999, 99990)","(101.0, 110.0, 96.07142857142857)","(21.0, 21.0, 19.75)","(9.0, 10.0, 9.52)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 13.0, 12.863636363636363)"
06-01-2023 16:02:02.658511,"(5.0, 6.8, 6.41)","(4.6, 99999, 99990)","(3.7, 5.7, 5.296153846153846)","(31.0, 99999, 99990)","(101.0, 110.0, 96.07142857142857)","(21.0, 21.0, 19.142857142857142)","(9.0, 10.0, 9.52)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 13.5, 11.75)"
06-01-2023 16:02:04.124469,"(5.0, 6.8, 6.3125)","(4.6, 99999, 99990)","(3.7, 5.7, 5.296153846153846)","(31.0, 99999, 99990)","(101.0, 110.0, 96.07142857142857)","(21.0, 20.0, 20.6)","(9.0, 10.0, 9.727272727272727)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 13.5, 11.852941176470589)"
06-01-2023 16:02:05.661378,"(5.0, 6.8, 6.5)","(4.6, 99999, 99990)","(3.7, 5.7, 5.296153846153846)","(31.0, 99999, 99990)","(101.0, 110.0, 96.07142857142857)","(21.0, 22.0, 19.8125)","(9.0, 10.0, 9.727272727272727)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 13.5, 13.272727272727273)"
06-01-2023 16:02:07.120808,"(5.0, 6.8, 6.6909090909090905)","(4.6, 99999, 99990)","(3.7, 5.7, 5.296153846153846)","(31.0, 99999, 99990)","(101.0, 110.0, 96.07142857142857)","(21.0, 22.0, 20.25)","(9.0, 10.0, 9.727272727272727)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 14.0, 12.552631578947368)"
06-01-2023 16:02:08.555704,"(5.0, 7.0, 6.482758620689656)","(4.6, 99999, 99990)","(3.7, 5.5, 5.35)","(31.0, 99999, 99990)","(101.0, 110.0, 96.07142857142857)","(21.0, 22.0, 20.25)","(9.0, 10.0, 9.727272727272727)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 13.5, 12.894736842105264)"
06-01-2023 16:02:09.953305,"(5.0, 7.0, 6.482758620689656)","(4.6, 99999, 99990)","(3.7, 5.7, 5.295238095238095)","(31.0, 99999, 99990)","(101.0, 110.0, 96.07142857142857)","(21.0, 22.0, 19.75)","(9.0, 10.0, 9.727272727272727)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 14.0, 12.210526315789474)"
