,Urana Blazer,Cudal Coyote,Mumble Bug,Ballina,All Stoked Up,Skylas Elite,Blue Mojito,Fabulous Carter
04-01-2023 15:02:04.310177,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:05.429853,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:06.506226,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:07.638718,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:08.811085,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 191.53846153846155)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:09.973566,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 191.53846153846155)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:11.122682,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 191.53846153846155)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:12.284723,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 191.53846153846155)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:13.430547,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 191.53846153846155)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:14.560688,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 191.53846153846155)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:15.621557,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 191.53846153846155)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:16.620859,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 191.53846153846155)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:17.614561,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 191.53846153846155)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
