,This Skilled Cat,Buzz N Joe,Temoin Chaud,Onthetake,Nics Hero,Dunvegan,Gwennybegg,Invertational,Arachidi
05-01-2023 15:38:05.497896,"(8.0, 16.5, 13.166666666666666)","(4.6, 6.4, 6.266666666666667)","(14.0, 32.0, 25.5)","(41.0, 130.0, 103.33333333333333)","(14.0, 26.0, 23.4)","(15.0, 24.0, 18.857142857142858)","(61.0, 310.0, 261.42857142857144)","(2.15, 2.36, 2.329212121212121)","(4.4, 5.9, 5.716666666666667)"
05-01-2023 15:38:06.709937,"(8.0, 16.5, 13.166666666666666)","(4.6, 6.4, 6.266666666666667)","(14.0, 30.0, 25.5)","(41.0, 130.0, 103.33333333333333)","(14.0, 26.0, 23.4)","(15.0, 24.0, 18.857142857142858)","(61.0, 310.0, 261.42857142857144)","(2.15, 2.36, 2.329212121212121)","(4.4, 5.9, 5.716666666666667)"
05-01-2023 15:38:07.958933,"(8.0, 16.5, 13.166666666666666)","(4.6, 6.4, 6.266666666666667)","(14.0, 30.0, 25.5)","(41.0, 130.0, 103.33333333333333)","(14.0, 26.0, 23.4)","(15.0, 24.0, 18.857142857142858)","(61.0, 310.0, 261.42857142857144)","(2.15, 2.36, 2.329212121212121)","(4.4, 5.9, 5.716666666666667)"
05-01-2023 15:38:09.213777,"(8.0, 16.5, 13.166666666666666)","(4.6, 6.4, 6.266666666666667)","(14.0, 30.0, 25.5)","(41.0, 130.0, 103.33333333333333)","(14.0, 26.0, 23.4)","(15.0, 24.0, 18.857142857142858)","(61.0, 310.0, 261.42857142857144)","(2.15, 2.36, 2.329212121212121)","(4.4, 5.9, 5.716666666666667)"
05-01-2023 15:38:10.452711,"(8.0, 16.5, 13.166666666666666)","(4.6, 6.4, 6.266666666666667)","(14.0, 30.0, 25.5)","(41.0, 130.0, 103.33333333333333)","(14.0, 26.0, 23.4)","(15.0, 24.0, 18.857142857142858)","(61.0, 310.0, 261.42857142857144)","(2.15, 2.36, 2.329212121212121)","(4.4, 5.9, 5.716666666666667)"
05-01-2023 15:38:11.671688,"(8.0, 16.5, 13.166666666666666)","(4.6, 6.4, 6.266666666666667)","(14.0, 30.0, 25.5)","(41.0, 130.0, 103.33333333333333)","(14.0, 26.0, 23.4)","(15.0, 24.0, 18.857142857142858)","(61.0, 310.0, 261.42857142857144)","(2.15, 2.36, 2.329212121212121)","(4.4, 5.9, 5.716666666666667)"
05-01-2023 15:38:12.906912,"(8.0, 16.5, 13.166666666666666)","(4.6, 6.4, 6.266666666666667)","(14.0, 30.0, 25.5)","(41.0, 130.0, 103.33333333333333)","(14.0, 26.0, 23.4)","(15.0, 24.0, 18.857142857142858)","(61.0, 310.0, 261.42857142857144)","(2.15, 2.36, 2.329212121212121)","(4.4, 5.9, 5.716666666666667)"
05-01-2023 15:38:14.105064,"(8.0, 16.5, 13.166666666666666)","(4.6, 6.4, 6.266666666666667)","(14.0, 30.0, 25.5)","(41.0, 130.0, 103.33333333333333)","(14.0, 26.0, 23.4)","(15.0, 24.0, 18.857142857142858)","(61.0, 310.0, 261.42857142857144)","(2.15, 2.36, 2.329212121212121)","(4.4, 5.9, 5.716666666666667)"
05-01-2023 15:38:15.289105,"(8.0, 16.5, 13.166666666666666)","(4.6, 6.4, 6.266666666666667)","(14.0, 30.0, 25.5)","(41.0, 130.0, 103.33333333333333)","(14.0, 26.0, 23.4)","(15.0, 24.0, 18.857142857142858)","(61.0, 310.0, 261.42857142857144)","(2.15, 2.36, 2.329212121212121)","(4.4, 5.9, 5.716666666666667)"
05-01-2023 15:38:16.472223,"(8.0, 16.5, 13.166666666666666)","(4.6, 6.4, 6.266666666666667)","(14.0, 30.0, 25.5)","(41.0, 130.0, 103.33333333333333)","(14.0, 26.0, 23.4)","(15.0, 24.0, 18.857142857142858)","(61.0, 310.0, 261.42857142857144)","(2.15, 2.36, 2.329212121212121)","(4.4, 5.9, 5.716666666666667)"
