,Another Chino,Cartanera,Dustys Got Talent,Kerman Rock,Blue Card,Shes Our Witness,Allegiance,Truevinsky,Comealilbitcloser,Idle Star,Masaru,Belafonte Boy,Paigeys Turn
07-12-2022 18:25:52.433898,"(7.0, 8.4, 8.0)","(2.25, 2.62, 2.5926436781609197)","(21.0, 48.0, 44.5)","(26.0, 34.0, 30.5)","(21.0, 28.0, 24.5)","(11.0, 16.5, 16.0)","(19.0, 48.0, 38.0)","(17.0, 26.0, 24.571428571428573)","(5.5, 8.0, 7.9)","(26.0, 50.0, 44.666666666666664)","(21.0, 48.0, 32.666666666666664)","(81.0, 110.0, 83.33333333333333)","(14.0, 21.0, 20.0)"
07-12-2022 18:25:54.412671,"(7.0, 8.2, 8.107692307692307)","(2.25, 2.6, 2.5910112359550563)","(21.0, 48.0, 44.5)","(26.0, 34.0, 30.5)","(21.0, 27.0, 23.333333333333332)","(11.0, 16.5, 16.0)","(19.0, 48.0, 38.0)","(17.0, 26.0, 24.571428571428573)","(5.5, 8.0, 7.987878787878788)","(26.0, 50.0, 44.666666666666664)","(21.0, 46.0, 30.25)","(81.0, 110.0, 83.33333333333333)","(14.0, 21.0, 20.0)"
07-12-2022 18:25:56.218789,"(7.0, 8.2, 8.107692307692307)","(2.25, 2.6, 2.5910112359550563)","(21.0, 48.0, 44.5)","(26.0, 34.0, 30.5)","(21.0, 26.0, 23.333333333333332)","(11.0, 16.5, 16.0)","(19.0, 48.0, 38.0)","(17.0, 26.0, 24.571428571428573)","(5.5, 8.0, 7.987878787878788)","(26.0, 50.0, 44.666666666666664)","(21.0, 46.0, 32.666666666666664)","(81.0, 110.0, 82.5)","(14.0, 21.0, 20.0)"
07-12-2022 18:25:58.220024,"(7.0, 8.2, 7.966666666666666)","(2.25, 2.6, 2.5910112359550563)","(21.0, 48.0, 44.5)","(26.0, 34.0, 30.5)","(21.0, 26.0, 23.333333333333332)","(11.0, 16.5, 16.0)","(19.0, 48.0, 38.0)","(17.0, 26.0, 24.571428571428573)","(5.5, 8.0, 7.987878787878788)","(26.0, 50.0, 44.666666666666664)","(21.0, 48.0, 32.666666666666664)","(81.0, 120.0, 82.5)","(14.0, 21.0, 20.0)"
07-12-2022 18:26:00.166677,"(6.5, 8.2, 7.7116279069767435)","(2.3, 2.6, 2.586526315789474)","(21.0, 48.0, 44.5)","(26.0, 34.0, 30.5)","(21.0, 26.0, 23.333333333333332)","(11.0, 16.5, 16.0)","(19.0, 48.0, 38.0)","(18.0, 26.0, 24.571428571428573)","(5.5, 8.0, 7.989189189189189)","(26.0, 50.0, 44.666666666666664)","(21.0, 48.0, 30.25)","(81.0, 120.0, 82.5)","(14.0, 21.0, 20.0)"
07-12-2022 18:26:02.090231,"(6.5, 8.2, 7.846153846153846)","(2.3, 2.6, 2.586526315789474)","(21.0, 48.0, 44.5)","(26.0, 34.0, 30.5)","(21.0, 26.0, 23.333333333333332)","(11.0, 16.5, 16.0)","(19.0, 48.0, 38.0)","(18.0, 26.0, 24.571428571428573)","(5.5, 8.0, 7.989189189189189)","(26.0, 50.0, 44.666666666666664)","(21.0, 46.0, 32.666666666666664)","(81.0, 120.0, 82.5)","(14.0, 21.0, 20.0)"
07-12-2022 18:26:04.132970,"(6.5, 8.0, 8.311111111111112)","(2.3, 2.6, 2.586526315789474)","(21.0, 48.0, 44.5)","(26.0, 34.0, 30.5)","(21.0, 26.0, 23.333333333333332)","(11.0, 16.5, 16.0)","(19.0, 48.0, 38.0)","(18.0, 26.0, 24.571428571428573)","(5.5, 8.0, 7.988888888888889)","(26.0, 50.0, 46.0)","(21.0, 48.0, 38.8)","(81.0, 120.0, 95.0)","(14.0, 21.0, 20.0)"
07-12-2022 18:26:06.066636,"(6.5, 8.4, 8.364705882352942)","(2.3, 2.6, 2.586526315789474)","(21.0, 48.0, 42.0)","(26.0, 34.0, 30.5)","(21.0, 26.0, 23.333333333333332)","(11.0, 16.5, 15.833333333333334)","(19.0, 48.0, 38.0)","(18.0, 26.0, 25.57894736842105)","(5.5, 8.0, 7.988888888888889)","(26.0, 50.0, 48.90909090909091)","(21.0, 48.0, 38.125)","(81.0, 120.0, 95.0)","(14.0, 21.0, 19.25)"
07-12-2022 18:26:07.995212,"(6.5, 8.4, 8.364705882352942)","(2.3, 2.6, 2.586526315789474)","(21.0, 48.0, 42.0)","(26.0, 34.0, 30.5)","(21.0, 26.0, 23.333333333333332)","(11.0, 16.5, 15.833333333333334)","(19.0, 48.0, 38.0)","(18.0, 26.0, 25.6)","(5.5, 8.0, 7.988888888888889)","(26.0, 50.0, 48.90909090909091)","(21.0, 46.0, 41.42857142857143)","(81.0, 120.0, 95.0)","(14.0, 20.0, 19.25)"
07-12-2022 18:26:09.871580,"(6.5, 8.4, 8.364705882352942)","(2.3, 2.6, 2.5858333333333334)","(21.0, 48.0, 42.0)","(26.0, 34.0, 30.5)","(21.0, 26.0, 23.333333333333332)","(11.0, 16.5, 15.833333333333334)","(19.0, 48.0, 38.0)","(18.0, 26.0, 25.6)","(5.5, 8.0, 7.988888888888889)","(26.0, 50.0, 48.90909090909091)","(21.0, 48.0, 41.42857142857143)","(81.0, 120.0, 95.0)","(14.0, 20.0, 19.25)"
