,Pollinate,Rubys Gem,Velocity Viola,Way Too Much,Downstairs Dave,Scott Ryder
07-12-2022 20:09:44.547725,"(2.5, 3.7, 3.3133333333333335)","(4.0, 6.2, 5.766666666666667)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:09:45.519520,"(2.5, 3.6, 3.2666666666666666)","(4.0, 6.4, 5.833333333333334)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:09:46.576328,"(2.5, 3.6, 3.2666666666666666)","(4.0, 6.4, 5.833333333333334)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:09:47.693165,"(2.5, 3.6, 3.2666666666666666)","(4.0, 6.4, 5.833333333333334)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:09:48.615281,"(2.5, 3.7, 3.3333333333333335)","(4.0, 6.4, 5.833333333333334)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:09:49.591658,"(2.5, 3.7, 3.3333333333333335)","(4.0, 6.4, 5.833333333333334)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:09:50.638475,"(2.5, 3.7, 3.3333333333333335)","(4.0, 6.4, 5.833333333333334)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:09:51.613983,"(2.5, 3.7, 3.3333333333333335)","(4.0, 6.4, 5.833333333333334)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:09:52.552577,"(2.5, 3.7, 3.3333333333333335)","(4.0, 6.4, 5.833333333333334)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:09:53.601945,"(2.5, 3.7, 3.3133333333333335)","(4.0, 6.4, 5.833333333333334)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:09:54.655429,"(2.5, 3.7, 3.3133333333333335)","(4.0, 6.4, 5.833333333333334)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:09:55.660999,"(2.5, 3.7, 3.3133333333333335)","(4.0, 6.4, 5.929411764705883)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:09:56.544263,"(2.5, 3.7, 3.3133333333333335)","(4.0, 6.4, 5.4714285714285715)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:09:57.518721,"(2.5, 3.7, 3.3133333333333335)","(4.0, 6.4, 5.4714285714285715)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:09:58.566208,"(2.5, 3.7, 3.3133333333333335)","(4.0, 6.4, 5.4714285714285715)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:09:59.584369,"(2.5, 3.7, 3.3133333333333335)","(4.0, 6.4, 5.4714285714285715)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:00.574572,"(2.5, 3.7, 3.3133333333333335)","(4.0, 6.4, 5.4714285714285715)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:01.486844,"(2.5, 3.7, 3.5945454545454547)","(4.0, 6.4, 5.4714285714285715)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 48.0, 36.84615384615385)"
