,Whiskey Diva,Nalani Bale,Mirabella Bale,Jacket Potato,Whitley Bale,Wobbly Boots,Spaghetti Legs,Xoie Bale
12-01-2023 18:03:09.147521,"(7.0, 13.0, 11.67142857142857)","(81.0, 480.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 11.5, 10.075)","(10.0, 27.0, 24.375)","(31.0, 140.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:10.561271,"(7.0, 13.0, 11.67142857142857)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 11.5, 10.075)","(10.0, 27.0, 24.375)","(31.0, 200.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:11.762792,"(7.0, 13.0, 11.67142857142857)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 11.5, 10.075)","(10.0, 27.0, 24.375)","(31.0, 200.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:13.022548,"(7.0, 13.0, 11.67142857142857)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.5, 10.45)","(10.0, 27.0, 24.375)","(31.0, 200.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:14.326555,"(7.0, 13.0, 11.67142857142857)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.0, 10.45)","(10.0, 27.0, 24.375)","(31.0, 200.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:15.546609,"(7.0, 13.0, 11.67142857142857)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.0, 10.45)","(10.0, 27.0, 24.375)","(31.0, 200.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:16.729374,"(7.0, 13.0, 11.67142857142857)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.0, 10.45)","(10.0, 27.0, 24.375)","(31.0, 200.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:18.027646,"(7.0, 13.0, 11.67142857142857)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.0, 10.45)","(10.0, 27.0, 24.375)","(31.0, 200.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:19.364093,"(7.0, 13.0, 11.67142857142857)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.0, 10.45)","(10.0, 27.0, 24.375)","(31.0, 200.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:20.659977,"(7.0, 13.0, 11.67142857142857)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.0, 10.45)","(10.0, 27.0, 24.375)","(31.0, 200.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:21.892175,"(7.0, 13.0, 11.67142857142857)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.0, 10.45)","(10.0, 27.0, 24.375)","(31.0, 200.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:23.100297,"(7.0, 13.0, 11.67142857142857)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.0, 10.45)","(10.0, 27.0, 24.375)","(31.0, 200.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:24.378806,"(7.0, 13.0, 11.67142857142857)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.0, 10.45)","(10.0, 27.0, 24.375)","(31.0, 200.0, 93.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:25.666082,"(7.0, 13.0, 11.67142857142857)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.0, 10.45)","(10.0, 27.0, 24.375)","(31.0, 210.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:27.020722,"(7.0, 13.0, 12.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.0, 10.45)","(10.0, 27.0, 24.375)","(31.0, 200.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:28.236246,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.0, 10.45)","(10.0, 27.0, 24.375)","(31.0, 200.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:29.466853,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.0, 10.45)","(10.0, 27.0, 24.375)","(31.0, 200.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:30.597105,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.0, 10.45)","(10.0, 27.0, 24.375)","(31.0, 200.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:31.826222,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.0, 10.45)","(10.0, 27.0, 24.375)","(31.0, 200.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:33.155819,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.0, 10.45)","(10.0, 27.0, 24.375)","(31.0, 200.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
