,To Infinitynbeyond,The Movement,Sals Last Blast,Caymangone,Melati Boy,Ease Up Moby,Iam The Joker,Remember Bubbles,Curveball,Mythos
15-12-2022 11:18:44.403714,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 19.65714285714286)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:18:45.693019,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 19.65714285714286)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:18:47.117731,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 21.46666666666667)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:18:48.512806,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 21.46666666666667)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:18:49.860176,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 21.46666666666667)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:18:51.080256,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 21.46666666666667)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:18:52.329257,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 21.46666666666667)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:18:53.643071,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 21.46666666666667)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:18:54.999969,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 21.46666666666667)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:18:56.438169,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 21.46666666666667)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:18:57.651068,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 21.46666666666667)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:18:58.844582,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 21.46666666666667)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
