,Always Broke,Go Katie Go,Lone Dancer,Sids Mate,Shouting Gunn,Trinity Ann
06-01-2023 14:39:45.743599,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.4476470588235293)","(71.0, 580.0, 325.0)"
06-01-2023 14:39:46.788216,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.4476470588235293)","(71.0, 580.0, 325.0)"
06-01-2023 14:39:47.734425,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.4476470588235293)","(71.0, 580.0, 325.0)"
06-01-2023 14:39:48.635781,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.4476470588235293)","(71.0, 580.0, 325.0)"
06-01-2023 14:39:49.620779,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.4476470588235293)","(71.0, 580.0, 325.0)"
06-01-2023 14:39:50.605588,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.4476470588235293)","(71.0, 580.0, 325.0)"
06-01-2023 14:39:51.608795,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.4476470588235293)","(71.0, 580.0, 325.0)"
06-01-2023 14:39:52.534915,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.4476470588235293)","(71.0, 580.0, 325.0)"
06-01-2023 14:39:53.436249,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.4476470588235293)","(71.0, 580.0, 325.0)"
06-01-2023 14:39:54.484730,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.4476470588235293)","(71.0, 580.0, 325.0)"
06-01-2023 14:39:55.521715,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.4476470588235293)","(71.0, 580.0, 325.0)"
06-01-2023 14:39:56.505724,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.4476470588235293)","(71.0, 580.0, 325.0)"
06-01-2023 14:39:57.460859,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.4476470588235293)","(71.0, 580.0, 325.0)"
06-01-2023 14:39:58.326631,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.4476470588235293)","(71.0, 580.0, 325.0)"
06-01-2023 14:39:59.202465,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 31.07142857142857)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.4476470588235293)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:00.187976,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 31.07142857142857)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.4476470588235293)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:01.157128,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 31.07142857142857)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.4476470588235293)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:02.125496,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.36363636363636)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.4476470588235293)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:03.122527,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.36363636363636)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.4476470588235293)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:04.038198,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 40.90909090909091)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.4476470588235293)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:05.011082,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 40.90909090909091)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.448421052631579)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:05.923029,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 40.90909090909091)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.448421052631579)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:06.848512,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 40.90909090909091)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3731034482758622)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:07.791978,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 40.90909090909091)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3731034482758622)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:08.707121,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 40.90909090909091)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3883333333333334)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:09.643513,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 40.90909090909091)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3883333333333334)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:10.577039,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 40.90909090909091)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3883333333333334)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:11.433962,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 40.90909090909091)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3883333333333334)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:12.379821,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 40.90909090909091)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3883333333333334)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:13.417928,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 40.90909090909091)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3883333333333334)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:14.416524,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 40.90909090909091)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3883333333333334)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:15.476177,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 40.90909090909091)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3883333333333334)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:16.466673,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 40.90909090909091)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3883333333333334)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:17.449994,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 30.357142857142858)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3883333333333334)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:18.292322,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 30.357142857142858)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3883333333333334)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:19.327869,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 30.357142857142858)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3883333333333334)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:20.346575,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 30.357142857142858)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3883333333333334)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:21.244126,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 30.357142857142858)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3883333333333334)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:22.166483,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 30.357142857142858)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3883333333333334)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:23.046191,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 30.357142857142858)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3883333333333334)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:23.931799,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 30.357142857142858)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3883333333333334)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:24.847711,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 30.357142857142858)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3883333333333334)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:25.758236,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 30.357142857142858)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.367037037037037)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:26.600925,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3762962962962964)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:27.496966,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3762962962962964)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:28.480167,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3762962962962964)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:29.486857,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3762962962962964)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:30.552912,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3762962962962964)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:31.449237,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3762962962962964)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:32.369350,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3762962962962964)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:33.498639,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3762962962962964)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:34.522537,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3762962962962964)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:35.448205,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3762962962962964)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:36.392253,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3989655172413795)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:37.452577,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3989655172413795)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:38.458418,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3989655172413795)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:39.454529,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.3989655172413795)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:40.459846,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.4133333333333333)","(71.0, 580.0, 325.0)"
