,Solitary One,Rosas Routine,Chase Me Chopper,My Mates Barney,Thriller Strike,Heslea,Flying Caliente,Rev Up Rusty
14-12-2022 18:53:37.797500,"(2.1, 2.6, 2.3833333333333333)","(15.0, 34.0, 24.076923076923077)","(9.0, 28.0, 23.0)","(21.0, 110.0, 55.625)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 9.166666666666666)","(31.0, 170.0, 97.5)"
14-12-2022 18:53:38.842894,"(2.1, 2.6, 2.3833333333333333)","(15.0, 34.0, 24.076923076923077)","(9.0, 28.0, 23.0)","(21.0, 110.0, 55.625)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 9.166666666666666)","(31.0, 170.0, 97.5)"
14-12-2022 18:53:40.055371,"(2.1, 2.6, 2.3833333333333333)","(15.0, 34.0, 24.076923076923077)","(9.0, 28.0, 23.0)","(21.0, 110.0, 55.625)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 9.166666666666666)","(31.0, 170.0, 97.5)"
14-12-2022 18:53:41.222050,"(2.1, 2.6, 2.3833333333333333)","(15.0, 34.0, 24.076923076923077)","(9.0, 28.0, 23.0)","(21.0, 110.0, 55.625)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 9.166666666666666)","(31.0, 170.0, 97.5)"
14-12-2022 18:53:42.361193,"(2.1, 2.6, 2.3833333333333333)","(15.0, 34.0, 24.076923076923077)","(9.0, 28.0, 23.0)","(21.0, 110.0, 55.625)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 9.166666666666666)","(31.0, 170.0, 97.5)"
14-12-2022 18:53:43.615742,"(2.1, 2.6, 2.3833333333333333)","(15.0, 34.0, 24.076923076923077)","(9.0, 28.0, 23.0)","(21.0, 110.0, 55.625)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 9.166666666666666)","(31.0, 170.0, 97.5)"
14-12-2022 18:53:44.847659,"(2.1, 2.6, 2.3833333333333333)","(15.0, 34.0, 24.076923076923077)","(9.0, 28.0, 23.0)","(21.0, 110.0, 55.625)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 9.166666666666666)","(31.0, 170.0, 97.5)"
14-12-2022 18:53:46.005481,"(2.1, 2.6, 2.3833333333333333)","(15.0, 34.0, 24.076923076923077)","(9.0, 28.0, 23.0)","(21.0, 110.0, 55.625)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 9.166666666666666)","(31.0, 170.0, 97.5)"
14-12-2022 18:53:47.166680,"(2.1, 2.6, 2.3833333333333333)","(15.0, 34.0, 24.076923076923077)","(9.0, 28.0, 23.0)","(21.0, 110.0, 55.625)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 9.166666666666666)","(31.0, 170.0, 97.5)"
14-12-2022 18:53:48.326790,"(2.1, 2.6, 2.3833333333333333)","(15.0, 34.0, 24.076923076923077)","(9.0, 28.0, 23.0)","(21.0, 110.0, 55.625)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 9.166666666666666)","(31.0, 170.0, 97.5)"
