,Smug Doug,Jills A Star,Red Fog,Evelyn Dawn,Flying Jarrad,Coconut Santiago,Tonics Girl,Kraken Chino
15-12-2022 10:57:41.729675,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 60.0, 33.333333333333336)","(8.5, 19.0, 12.125)","(10.0, 27.0, 19.842105263157897)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
15-12-2022 10:57:43.030015,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 60.0, 33.333333333333336)","(8.5, 19.0, 12.125)","(10.0, 27.0, 19.842105263157897)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
15-12-2022 10:57:44.320600,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 60.0, 33.333333333333336)","(8.5, 19.0, 12.125)","(10.0, 27.0, 19.842105263157897)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
15-12-2022 10:57:45.580594,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 60.0, 33.333333333333336)","(8.5, 19.0, 12.125)","(10.0, 27.0, 19.842105263157897)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
15-12-2022 10:57:46.788825,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 60.0, 33.333333333333336)","(8.5, 19.0, 12.125)","(10.0, 27.0, 19.842105263157897)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
15-12-2022 10:57:48.107497,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 60.0, 33.333333333333336)","(8.5, 19.0, 12.125)","(10.0, 27.0, 19.842105263157897)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
15-12-2022 10:57:49.368671,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 60.0, 33.333333333333336)","(8.5, 19.0, 12.125)","(10.0, 27.0, 19.842105263157897)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
15-12-2022 10:57:50.567844,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 60.0, 35.833333333333336)","(8.5, 19.0, 16.052631578947366)","(10.0, 27.0, 21.6875)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
15-12-2022 10:57:51.763192,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 65.0, 35.833333333333336)","(8.5, 19.0, 16.052631578947366)","(10.0, 27.0, 21.6875)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
15-12-2022 10:57:52.997106,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 65.0, 35.833333333333336)","(8.5, 19.0, 16.052631578947366)","(10.0, 27.0, 21.6875)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
15-12-2022 10:57:54.199365,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 65.0, 35.833333333333336)","(8.5, 19.0, 16.052631578947366)","(10.0, 27.0, 21.6875)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
15-12-2022 10:57:55.443121,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 65.0, 35.833333333333336)","(8.5, 19.0, 16.052631578947366)","(10.0, 27.0, 21.6875)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
15-12-2022 10:57:56.710487,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 65.0, 35.833333333333336)","(8.5, 19.0, 16.052631578947366)","(10.0, 27.0, 21.6875)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
15-12-2022 10:57:58.029346,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 65.0, 35.833333333333336)","(8.5, 19.0, 16.052631578947366)","(10.0, 27.0, 21.6875)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
15-12-2022 10:57:59.294009,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 65.0, 35.833333333333336)","(8.5, 19.0, 16.052631578947366)","(10.0, 27.0, 21.6875)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
15-12-2022 10:58:00.618824,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 65.0, 35.833333333333336)","(8.5, 19.0, 16.052631578947366)","(10.0, 27.0, 21.6875)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
15-12-2022 10:58:01.858338,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 65.0, 35.833333333333336)","(8.5, 19.0, 16.052631578947366)","(10.0, 27.0, 21.6875)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
15-12-2022 10:58:03.051189,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 65.0, 35.833333333333336)","(8.5, 19.0, 16.052631578947366)","(10.0, 27.0, 21.6875)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
15-12-2022 10:58:04.272138,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 65.0, 35.833333333333336)","(8.5, 19.0, 16.052631578947366)","(10.0, 27.0, 21.6875)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
15-12-2022 10:58:05.490083,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 65.0, 35.833333333333336)","(8.5, 19.0, 16.052631578947366)","(10.0, 27.0, 21.6875)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
15-12-2022 10:58:06.769408,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 65.0, 35.833333333333336)","(8.5, 19.0, 16.052631578947366)","(10.0, 27.0, 21.6875)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
15-12-2022 10:58:07.972297,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 65.0, 35.833333333333336)","(8.5, 19.0, 16.052631578947366)","(10.0, 27.0, 21.6875)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
15-12-2022 10:58:09.155381,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 65.0, 35.833333333333336)","(8.5, 19.0, 16.052631578947366)","(10.0, 27.0, 21.6875)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
15-12-2022 10:58:10.453644,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 65.0, 35.833333333333336)","(8.5, 19.0, 16.052631578947366)","(10.0, 27.0, 21.6875)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
15-12-2022 10:58:11.700378,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 65.0, 35.833333333333336)","(8.5, 19.0, 16.052631578947366)","(10.0, 27.0, 21.6875)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
15-12-2022 10:58:12.997185,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 65.0, 35.833333333333336)","(8.5, 19.0, 16.052631578947366)","(10.0, 27.0, 21.6875)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
15-12-2022 10:58:14.264542,"(4.6, 8.0, 7.526315789473684)","(2.9, 4.2, 3.4126315789473685)","(11.0, 21.0, 20.185714285714283)","(18.0, 65.0, 35.833333333333336)","(8.5, 19.0, 16.052631578947366)","(10.0, 27.0, 21.6875)","(5.0, 9.4, 8.1)","(4.8, 8.4, 7.951515151515151)"
