,Aussie Summer,Sin Rap Miss,Wong Bias,Zipping Swazi,Rich Mans World,Mud Muffin
12-01-2023 17:46:47.475608,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 10.846511627906978)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:46:48.621130,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.0, 10.846511627906978)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:46:49.749203,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.0, 10.846511627906978)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:46:50.894108,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.0, 10.846511627906978)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:46:52.107097,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.0, 10.846511627906978)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:46:53.288258,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.0, 10.846511627906978)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:46:54.433013,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.0, 10.846511627906978)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:46:55.605879,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.0, 10.846511627906978)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:46:56.713880,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.0, 10.846511627906978)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:46:57.922094,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.0, 10.846511627906978)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
