,Velocity Framed,Kilcoy Castle,Bermuda Sky,Far Out Lexi,Caledonia,Barking Bush
09-01-2023 17:31:26.813330,"(5.0, 9.8, 5.709090909090909)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:27.937284,"(5.0, 9.8, 5.709090909090909)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:29.159315,"(5.0, 9.8, 5.709090909090909)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:30.293891,"(5.0, 9.8, 5.709090909090909)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:31.454646,"(5.0, 9.8, 5.709090909090909)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:32.618800,"(5.0, 9.8, 5.709090909090909)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:33.858596,"(5.0, 9.8, 5.709090909090909)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:34.980442,"(5.0, 9.8, 5.709090909090909)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:36.011745,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:37.078148,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:38.162357,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:39.344209,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:40.536363,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:41.709403,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
