,Billy Buttons,Knighted Shadow,Wyndsor Rose,Corporal Trigger,Real Steel,Effect On Me,From The Area,Tap Out Diesel
11-01-2023 14:56:01.844640,"(2.7, 2.92, 2.877894736842105)","(20.0, 48.0, 45.35294117647059)","(3.9, 7.4, 4.76)","(20.0, 65.0, 41.0)","(5.0, 8.0, 7.855555555555556)","(14.0, 38.0, 35.125)","(5.0, 8.0, 7.4)","(9.0, 17.5, 14.866666666666667)"
11-01-2023 14:56:03.092557,"(2.7, 2.92, 2.877894736842105)","(20.0, 48.0, 45.35294117647059)","(3.9, 7.4, 4.76)","(20.0, 65.0, 41.0)","(5.0, 8.0, 5.76)","(14.0, 38.0, 35.125)","(5.0, 8.0, 7.4)","(9.0, 17.5, 14.866666666666667)"
11-01-2023 14:56:04.390071,"(2.7, 2.92, 2.877894736842105)","(20.0, 48.0, 45.35294117647059)","(3.9, 7.4, 4.76)","(20.0, 65.0, 41.0)","(5.0, 8.0, 5.76)","(14.0, 38.0, 35.125)","(5.0, 8.0, 7.4)","(9.0, 17.5, 12.472727272727273)"
11-01-2023 14:56:05.724969,"(2.7, 2.92, 2.877894736842105)","(20.0, 48.0, 45.35294117647059)","(3.9, 7.4, 4.76)","(20.0, 65.0, 41.0)","(5.0, 8.0, 5.76)","(14.0, 38.0, 35.125)","(5.0, 8.0, 7.4)","(9.0, 17.5, 15.52)"
11-01-2023 14:56:06.962531,"(2.7, 2.92, 2.877894736842105)","(20.0, 48.0, 45.35294117647059)","(3.9, 7.4, 4.76)","(20.0, 65.0, 41.0)","(5.0, 8.0, 5.76)","(14.0, 38.0, 35.125)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:08.357018,"(2.7, 2.92, 2.877894736842105)","(20.0, 120.0, 99.07692307692308)","(3.9, 7.4, 4.76)","(20.0, 65.0, 41.0)","(5.0, 8.0, 5.76)","(14.0, 38.0, 35.125)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:09.641622,"(2.7, 2.92, 2.877894736842105)","(20.0, 120.0, 99.07692307692308)","(3.9, 7.4, 4.76)","(20.0, 65.0, 41.0)","(5.0, 8.0, 5.76)","(14.0, 38.0, 35.125)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:10.975651,"(2.7, 2.92, 2.877894736842105)","(20.0, 120.0, 99.07692307692308)","(3.9, 7.4, 4.76)","(20.0, 65.0, 41.0)","(5.0, 8.0, 5.76)","(14.0, 38.0, 35.125)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:12.331181,"(2.7, 2.92, 2.877894736842105)","(20.0, 120.0, 99.07692307692308)","(3.9, 7.4, 4.76)","(20.0, 65.0, 40.0)","(5.0, 8.0, 5.76)","(14.0, 38.0, 32.25)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:13.593373,"(2.7, 2.92, 2.877894736842105)","(20.0, 120.0, 99.07692307692308)","(3.9, 7.4, 4.76)","(20.0, 65.0, 40.0)","(5.0, 8.0, 5.76)","(14.0, 38.0, 32.25)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:14.788182,"(2.7, 2.92, 2.877894736842105)","(20.0, 120.0, 99.07692307692308)","(3.9, 7.4, 4.76)","(20.0, 65.0, 40.0)","(5.0, 8.0, 5.76)","(14.0, 38.0, 32.25)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:16.001249,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 58.6875)","(3.9, 7.4, 4.76)","(20.0, 65.0, 40.0)","(5.0, 8.0, 6.88)","(14.0, 38.0, 32.25)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:17.252650,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 58.6875)","(3.9, 7.4, 4.76)","(20.0, 65.0, 40.0)","(5.0, 8.0, 6.88)","(14.0, 38.0, 32.25)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:18.412841,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 58.6875)","(3.9, 7.4, 4.76)","(20.0, 65.0, 40.0)","(5.0, 8.0, 6.88)","(14.0, 38.0, 32.25)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:19.567476,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 58.6875)","(3.9, 7.4, 4.76)","(20.0, 65.0, 40.0)","(5.0, 8.0, 6.88)","(14.0, 38.0, 32.25)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:20.727429,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 58.6875)","(3.9, 7.4, 4.76)","(20.0, 65.0, 40.0)","(5.0, 8.0, 6.88)","(14.0, 38.0, 32.25)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:21.865717,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 51.7)","(3.9, 7.4, 4.76)","(20.0, 65.0, 40.0)","(5.0, 8.0, 6.88)","(14.0, 38.0, 32.25)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:23.114232,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 51.7)","(3.9, 7.4, 4.64)","(20.0, 65.0, 40.0)","(5.0, 8.0, 6.88)","(14.0, 38.0, 22.125)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:24.429128,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 51.7)","(3.9, 6.8, 4.64)","(20.0, 65.0, 40.0)","(5.0, 8.0, 6.88)","(14.0, 34.0, 22.125)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:25.639157,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 49.75)","(3.9, 6.8, 4.64)","(20.0, 65.0, 40.0)","(5.0, 8.0, 6.88)","(14.0, 34.0, 22.125)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:26.800762,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 49.75)","(3.9, 6.8, 4.64)","(20.0, 65.0, 40.0)","(5.0, 8.0, 6.88)","(14.0, 34.0, 22.125)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:27.983325,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 49.75)","(3.9, 6.8, 4.64)","(20.0, 65.0, 40.0)","(5.0, 8.0, 6.88)","(14.0, 34.0, 22.125)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:29.203706,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 49.75)","(3.9, 6.8, 4.64)","(20.0, 65.0, 40.0)","(5.0, 8.0, 6.88)","(14.0, 34.0, 22.125)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:30.373669,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 49.75)","(3.9, 6.8, 4.64)","(20.0, 65.0, 40.0)","(5.0, 8.0, 6.88)","(14.0, 34.0, 22.125)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:31.547690,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 49.75)","(3.9, 6.8, 4.64)","(20.0, 65.0, 40.0)","(5.0, 8.0, 6.88)","(14.0, 34.0, 22.125)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:32.777007,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 49.75)","(3.9, 6.8, 4.64)","(20.0, 65.0, 40.0)","(5.0, 8.0, 6.88)","(14.0, 34.0, 22.125)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:33.981892,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 49.75)","(3.9, 6.8, 4.64)","(20.0, 65.0, 40.0)","(5.0, 8.0, 7.364705882352942)","(14.0, 34.0, 22.125)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:35.286472,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 49.75)","(3.9, 6.8, 4.64)","(20.0, 65.0, 40.0)","(5.0, 8.0, 7.364705882352942)","(14.0, 34.0, 22.125)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:36.536891,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 49.75)","(3.9, 6.8, 4.64)","(20.0, 65.0, 40.0)","(5.0, 8.0, 7.364705882352942)","(14.0, 34.0, 22.125)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:37.772910,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 49.75)","(3.9, 6.8, 4.64)","(20.0, 65.0, 40.0)","(5.0, 8.0, 7.364705882352942)","(14.0, 34.0, 22.125)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:39.114802,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 49.75)","(3.9, 6.8, 4.64)","(20.0, 65.0, 40.0)","(5.0, 8.0, 7.364705882352942)","(14.0, 34.0, 22.125)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:40.708285,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 49.75)","(3.9, 6.8, 4.64)","(20.0, 65.0, 40.0)","(5.0, 8.0, 7.364705882352942)","(14.0, 34.0, 22.125)","(5.0, 8.0, 7.4)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:42.125533,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 49.875)","(3.9, 6.8, 4.64)","(20.0, 65.0, 41.0)","(5.0, 8.0, 5.76)","(14.0, 34.0, 26.083333333333332)","(5.0, 8.0, 6.155555555555555)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:43.318439,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 49.875)","(3.9, 6.8, 4.64)","(20.0, 65.0, 41.0)","(5.0, 8.0, 5.76)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.6, 6.155555555555555)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:44.522902,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 49.875)","(3.9, 6.8, 4.64)","(20.0, 65.0, 41.0)","(5.0, 7.6, 5.8)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.6, 6.155555555555555)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:45.727000,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 49.875)","(3.9, 6.8, 4.64)","(20.0, 65.0, 41.0)","(5.0, 7.6, 5.8)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.6, 6.155555555555555)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:46.939174,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 49.875)","(3.9, 6.8, 4.64)","(20.0, 65.0, 41.0)","(5.0, 7.6, 5.8)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.6, 6.155555555555555)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:48.261298,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 50.0)","(3.9, 6.8, 4.64)","(20.0, 65.0, 41.0)","(5.0, 7.6, 5.8)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.6, 6.155555555555555)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:49.588207,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 50.0)","(3.9, 6.8, 4.64)","(20.0, 65.0, 41.0)","(5.0, 7.6, 5.8)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.6, 6.155555555555555)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:50.892569,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 50.25)","(3.9, 6.8, 4.64)","(20.0, 65.0, 41.0)","(5.0, 7.6, 6.949999999999999)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.6, 6.155555555555555)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:52.120921,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 50.25)","(3.9, 6.8, 4.64)","(20.0, 65.0, 41.0)","(5.0, 7.6, 5.725)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.6, 6.155555555555555)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:53.367155,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 50.25)","(3.9, 6.8, 4.64)","(20.0, 65.0, 41.0)","(5.0, 7.6, 5.725)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.6, 6.155555555555555)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:54.700064,"(2.7, 2.92, 2.877894736842105)","(20.0, 60.0, 50.25)","(3.9, 6.8, 4.64)","(20.0, 65.0, 41.0)","(5.0, 7.6, 6.25)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.6, 6.92)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:55.989644,"(2.7, 2.92, 2.877894736842105)","(19.0, 60.0, 50.25)","(3.9, 6.8, 4.64)","(19.0, 65.0, 41.0)","(5.0, 7.4, 7.311538461538462)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 6.92)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:57.268042,"(2.7, 2.92, 2.877894736842105)","(19.0, 60.0, 50.25)","(3.9, 6.8, 4.64)","(19.0, 65.0, 41.0)","(5.0, 7.4, 7.311538461538462)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 6.92)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:58.392050,"(2.7, 2.92, 2.877894736842105)","(19.0, 60.0, 50.25)","(3.9, 6.8, 4.64)","(19.0, 65.0, 41.0)","(5.0, 7.4, 7.311538461538462)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 6.92)","(9.0, 17.0, 15.52)"
11-01-2023 14:56:59.476514,"(2.7, 2.92, 2.877894736842105)","(19.0, 60.0, 50.25)","(3.9, 6.8, 4.64)","(19.0, 65.0, 41.0)","(5.0, 7.4, 6.960000000000001)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 6.92)","(9.0, 17.0, 15.52)"
11-01-2023 14:57:00.699386,"(2.7, 2.92, 2.877894736842105)","(19.0, 60.0, 50.25)","(3.9, 6.8, 4.64)","(19.0, 65.0, 41.0)","(5.0, 7.4, 6.960000000000001)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 6.92)","(9.0, 17.0, 15.52)"
11-01-2023 14:57:01.930231,"(2.7, 2.92, 2.877894736842105)","(19.0, 60.0, 47.33333333333333)","(3.9, 6.8, 4.64)","(19.0, 65.0, 29.8)","(5.0, 7.4, 7.166666666666667)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 6.92)","(9.0, 17.0, 15.52)"
11-01-2023 14:57:03.092680,"(2.7, 2.92, 2.877894736842105)","(19.0, 60.0, 47.33333333333333)","(3.9, 6.8, 4.64)","(19.0, 65.0, 29.8)","(5.0, 7.4, 7.166666666666667)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 6.92)","(9.0, 17.0, 15.52)"
11-01-2023 14:57:04.289915,"(2.7, 2.92, 2.877894736842105)","(19.0, 60.0, 52.4)","(3.9, 6.8, 4.64)","(19.0, 65.0, 29.8)","(5.0, 7.4, 7.166666666666667)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 6.92)","(9.0, 17.0, 15.52)"
11-01-2023 14:57:05.525897,"(2.7, 2.88, 2.867142857142857)","(19.0, 60.0, 52.4)","(3.9, 6.8, 4.64)","(19.0, 65.0, 29.8)","(5.0, 7.4, 7.166666666666667)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 6.92)","(9.0, 17.0, 15.52)"
11-01-2023 14:57:06.781554,"(2.7, 2.88, 2.867142857142857)","(19.0, 60.0, 52.4)","(3.9, 6.8, 4.64)","(19.0, 65.0, 29.8)","(5.0, 7.4, 7.0)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 6.92)","(9.0, 17.0, 15.52)"
11-01-2023 14:57:08.037362,"(2.7, 2.88, 2.867142857142857)","(19.0, 60.0, 52.4)","(3.9, 6.8, 4.64)","(19.0, 65.0, 29.8)","(5.0, 7.4, 7.0)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 7.17)","(9.0, 17.0, 15.52)"
11-01-2023 14:57:09.270291,"(2.7, 2.88, 2.867142857142857)","(19.0, 60.0, 52.4)","(3.9, 6.8, 4.64)","(19.0, 65.0, 29.8)","(5.0, 7.4, 7.0)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 7.17)","(9.0, 17.0, 15.52)"
11-01-2023 14:57:10.491831,"(2.7, 2.88, 2.867142857142857)","(19.0, 60.0, 52.4)","(3.9, 6.8, 5.2592592592592595)","(19.0, 65.0, 29.8)","(5.0, 7.4, 6.111111111111112)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 7.529999999999999)","(9.0, 17.0, 14.719999999999999)"
11-01-2023 14:57:11.694050,"(2.7, 2.88, 2.867142857142857)","(19.0, 60.0, 60.4)","(3.9, 6.8, 5.36551724137931)","(19.0, 65.0, 29.8)","(5.0, 7.0, 6.25)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.8, 6.72)","(9.0, 16.0, 14.719999999999999)"
11-01-2023 14:57:12.960963,"(2.7, 2.92, 2.7955555555555556)","(19.0, 70.0, 60.4)","(3.9, 6.8, 5.36551724137931)","(19.0, 65.0, 29.8)","(5.0, 7.4, 6.35)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.8, 6.960000000000001)","(9.0, 16.0, 15.52)"
11-01-2023 14:57:14.216938,"(2.7, 2.92, 2.7955555555555556)","(19.0, 70.0, 60.4)","(3.9, 6.8, 5.36551724137931)","(19.0, 65.0, 29.8)","(5.0, 7.6, 6.35)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 6.960000000000001)","(9.0, 17.0, 15.52)"
11-01-2023 14:57:15.504561,"(2.7, 2.92, 2.7955555555555556)","(19.0, 70.0, 60.4)","(3.9, 6.8, 5.36551724137931)","(19.0, 65.0, 29.8)","(5.0, 7.6, 6.35)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 6.960000000000001)","(9.0, 17.0, 15.52)"
11-01-2023 14:57:16.784529,"(2.7, 2.92, 2.7955555555555556)","(19.0, 70.0, 60.4)","(3.9, 6.8, 5.36551724137931)","(19.0, 65.0, 29.8)","(5.0, 7.6, 6.35)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 6.960000000000001)","(9.0, 17.0, 15.52)"
11-01-2023 14:57:17.988729,"(2.7, 2.92, 2.7955555555555556)","(19.0, 70.0, 62.0)","(3.9, 6.8, 4.447058823529412)","(19.0, 65.0, 29.8)","(5.0, 7.6, 7.363636363636363)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 7.033333333333333)","(9.0, 17.0, 15.766666666666666)"
11-01-2023 14:57:19.312788,"(2.7, 2.92, 2.7955555555555556)","(19.0, 70.0, 62.0)","(3.9, 6.8, 4.447058823529412)","(19.0, 65.0, 29.8)","(5.0, 7.6, 7.383333333333333)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 7.033333333333333)","(9.0, 17.0, 15.766666666666666)"
11-01-2023 14:57:20.630342,"(2.7, 2.92, 2.7955555555555556)","(19.0, 70.0, 62.0)","(3.9, 6.8, 4.447058823529412)","(19.0, 65.0, 29.8)","(5.0, 7.6, 6.7875)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 7.033333333333333)","(9.0, 17.0, 15.766666666666666)"
11-01-2023 14:57:21.922108,"(2.7, 2.92, 2.7955555555555556)","(19.0, 70.0, 62.0)","(3.9, 6.8, 4.447058823529412)","(19.0, 65.0, 29.8)","(5.0, 7.6, 6.7875)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 7.033333333333333)","(9.0, 17.0, 15.766666666666666)"
11-01-2023 14:57:23.154545,"(2.7, 2.92, 2.7955555555555556)","(19.0, 70.0, 62.0)","(3.9, 6.8, 4.447058823529412)","(19.0, 65.0, 29.8)","(5.0, 7.6, 6.35)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 7.033333333333333)","(9.0, 17.0, 15.766666666666666)"
11-01-2023 14:57:24.370681,"(2.7, 2.92, 2.7955555555555556)","(19.0, 70.0, 62.0)","(3.9, 6.8, 4.447058823529412)","(19.0, 65.0, 29.8)","(5.0, 7.6, 6.742857142857143)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 7.033333333333333)","(9.0, 17.0, 15.766666666666666)"
11-01-2023 14:57:25.741482,"(2.7, 2.92, 2.7955555555555556)","(19.0, 70.0, 54.33333333333333)","(3.9, 6.8, 4.447058823529412)","(19.0, 65.0, 29.8)","(5.0, 7.6, 6.742857142857143)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 7.033333333333333)","(9.0, 17.0, 15.766666666666666)"
11-01-2023 14:57:27.102803,"(2.7, 2.92, 2.7955555555555556)","(19.0, 70.0, 54.33333333333333)","(3.9, 6.8, 4.447058823529412)","(19.0, 65.0, 29.8)","(5.0, 7.6, 6.742857142857143)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 7.033333333333333)","(9.0, 17.0, 15.766666666666666)"
11-01-2023 14:57:28.454983,"(2.7, 2.92, 2.7955555555555556)","(19.0, 70.0, 54.33333333333333)","(3.9, 6.8, 4.447058823529412)","(19.0, 65.0, 29.8)","(5.0, 7.6, 6.753846153846154)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 7.033333333333333)","(9.0, 17.0, 15.766666666666666)"
11-01-2023 14:57:30.000014,"(2.7, 2.92, 2.7955555555555556)","(19.0, 70.0, 54.33333333333333)","(3.9, 6.8, 4.447058823529412)","(19.0, 65.0, 29.8)","(5.0, 7.6, 6.753846153846154)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 7.033333333333333)","(9.0, 17.0, 15.766666666666666)"
11-01-2023 14:57:31.429884,"(2.7, 2.92, 2.7955555555555556)","(19.0, 70.0, 54.33333333333333)","(3.9, 6.8, 4.447058823529412)","(19.0, 65.0, 29.8)","(5.0, 7.6, 6.753846153846154)","(14.0, 34.0, 26.083333333333332)","(5.0, 7.4, 7.033333333333333)","(9.0, 17.0, 13.3)"
11-01-2023 14:57:32.764656,"(2.7, 2.92, 2.993684210526316)","(19.0, 70.0, 54.33333333333333)","(3.9, 6.8, 4.447058823529412)","(19.0, 65.0, 29.8)","(5.0, 7.6, 6.753846153846154)","(14.0, 34.0, 22.4375)","(5.0, 7.4, 7.033333333333333)","(9.0, 17.0, 13.3)"
11-01-2023 14:57:34.055970,"(2.7, 3.2, 2.993684210526316)","(19.0, 70.0, 68.14285714285714)","(3.9, 6.8, 4.447058823529412)","(19.0, 65.0, 29.8)","(5.0, 7.6, 6.885714285714285)","(14.0, 34.0, 22.4375)","(5.0, 7.4, 7.033333333333333)","(9.0, 17.0, 13.3)"
11-01-2023 14:57:35.354971,"(2.7, 3.2, 2.957333333333333)","(19.0, 70.0, 53.0)","(3.9, 6.8, 4.447058823529412)","(19.0, 65.0, 29.8)","(5.0, 7.6, 6.885714285714285)","(14.0, 34.0, 22.4375)","(5.0, 7.4, 7.033333333333333)","(9.0, 17.0, 13.3)"
11-01-2023 14:57:36.626362,"(2.7, 3.2, 2.957333333333333)","(19.0, 70.0, 53.0)","(3.9, 6.8, 4.447058823529412)","(19.0, 65.0, 29.8)","(5.0, 7.6, 6.885714285714285)","(14.0, 34.0, 22.4375)","(5.0, 7.4, 6.6000000000000005)","(9.0, 17.0, 13.3)"
11-01-2023 14:57:37.882761,"(2.7, 3.2, 2.957333333333333)","(19.0, 70.0, 62.714285714285715)","(3.9, 6.8, 4.447058823529412)","(19.0, 65.0, 29.8)","(5.0, 7.6, 6.725)","(14.0, 34.0, 22.4375)","(5.0, 7.2, 6.818181818181818)","(9.0, 17.0, 13.3)"
11-01-2023 14:57:39.073606,"(2.7, 3.2, 2.957333333333333)","(19.0, 70.0, 62.714285714285715)","(3.9, 6.8, 4.447058823529412)","(19.0, 65.0, 29.8)","(5.0, 7.6, 6.725)","(14.0, 34.0, 26.5)","(5.0, 7.0, 6.571428571428571)","(9.0, 17.0, 13.9875)"
11-01-2023 14:57:40.284568,"(2.7, 3.2, 2.957333333333333)","(19.0, 70.0, 62.714285714285715)","(3.9, 6.8, 4.447058823529412)","(19.0, 65.0, 29.8)","(5.0, 7.6, 6.725)","(14.0, 34.0, 26.5)","(5.0, 7.2, 6.571428571428571)","(9.0, 16.5, 14.966666666666667)"
11-01-2023 14:57:41.439415,"(2.7, 3.2, 2.957333333333333)","(19.0, 70.0, 53.333333333333336)","(3.9, 6.8, 4.447058823529412)","(19.0, 65.0, 29.8)","(5.0, 7.6, 6.725)","(14.0, 34.0, 26.5)","(5.0, 7.2, 6.266666666666667)","(9.0, 16.0, 14.966666666666667)"
11-01-2023 14:57:42.622845,"(2.7, 3.2, 2.957333333333333)","(19.0, 70.0, 53.333333333333336)","(3.9, 6.8, 4.447058823529412)","(19.0, 65.0, 29.8)","(5.0, 7.6, 6.725)","(14.0, 34.0, 26.5)","(5.0, 7.2, 6.266666666666667)","(9.0, 16.0, 14.966666666666667)"
11-01-2023 14:57:43.767138,"(2.7, 3.2, 2.957333333333333)","(19.0, 70.0, 53.333333333333336)","(3.9, 6.8, 4.447058823529412)","(19.0, 65.0, 29.8)","(5.0, 7.6, 6.725)","(14.0, 34.0, 26.5)","(5.0, 7.2, 6.266666666666667)","(9.0, 16.0, 14.307692307692307)"
11-01-2023 14:57:45.002073,"(2.7, 3.2, 2.888888888888889)","(19.0, 70.0, 53.333333333333336)","(3.9, 6.8, 4.447058823529412)","(19.0, 65.0, 29.8)","(5.0, 7.6, 7.011764705882353)","(14.0, 34.0, 26.5)","(5.0, 7.2, 6.266666666666667)","(9.0, 17.0, 15.3)"
11-01-2023 14:57:46.292725,"(2.7, 3.2, 2.9846153846153847)","(19.0, 70.0, 62.85714285714286)","(3.9, 6.8, 4.447058823529412)","(19.0, 65.0, 29.8)","(5.0, 7.6, 7.011764705882353)","(14.0, 34.0, 26.5)","(5.0, 7.2, 6.266666666666667)","(9.0, 16.5, 16.1)"
11-01-2023 14:57:47.596947,"(2.7, 3.2, 2.9846153846153847)","(19.0, 70.0, 63.75)","(3.9, 6.8, 4.447058823529412)","(19.0, 65.0, 29.8)","(5.0, 7.6, 7.011764705882353)","(14.0, 34.0, 26.5)","(5.0, 7.2, 6.266666666666667)","(9.0, 17.5, 16.1)"
11-01-2023 14:57:48.831649,"(2.7, 3.2, 2.9846153846153847)","(19.0, 70.0, 63.75)","(3.9, 6.8, 4.447058823529412)","(19.0, 65.0, 29.8)","(5.0, 7.6, 7.011764705882353)","(14.0, 34.0, 26.5)","(5.0, 7.2, 6.266666666666667)","(9.0, 17.5, 16.1)"
11-01-2023 14:57:49.973045,"(2.7, 3.2, 2.9846153846153847)","(19.0, 70.0, 63.75)","(3.9, 6.8, 4.447058823529412)","(19.0, 65.0, 29.8)","(5.0, 7.6, 7.011764705882353)","(14.0, 34.0, 26.5)","(5.0, 7.2, 6.266666666666667)","(9.0, 17.5, 16.6875)"
