,Mollidor,Hear The Call Nz,Harry Croft,My Ultimate Heston,Chasin Dreamz,Downtown Lucca,Awayovernight Nz,Jaydes Terror,Rocco Variety
08-12-2022 14:53:48.428871,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 46.0, 28.0)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 16.5, 13.8)","(3.0, 99999, 99990)","(26.0, 55.0, 32.333333333333336)","(16.0, 34.0, 20.666666666666668)"
08-12-2022 14:53:49.758239,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 46.0, 28.0)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 16.5, 13.8)","(3.0, 99999, 99990)","(26.0, 55.0, 32.333333333333336)","(16.0, 34.0, 20.666666666666668)"
08-12-2022 14:53:50.943033,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 46.0, 28.0)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 16.5, 13.8)","(3.0, 99999, 99990)","(26.0, 55.0, 32.333333333333336)","(16.0, 34.0, 20.666666666666668)"
08-12-2022 14:53:52.214933,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 46.0, 28.0)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 16.5, 13.8)","(3.0, 99999, 99990)","(26.0, 55.0, 32.333333333333336)","(16.0, 34.0, 20.666666666666668)"
08-12-2022 14:53:53.541344,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 46.0, 28.0)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 16.5, 13.8)","(3.0, 99999, 99990)","(26.0, 55.0, 32.333333333333336)","(16.0, 34.0, 20.666666666666668)"
08-12-2022 14:53:54.768026,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 46.0, 28.0)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 16.5, 13.8)","(3.0, 99999, 99990)","(26.0, 55.0, 32.333333333333336)","(16.0, 34.0, 20.666666666666668)"
08-12-2022 14:53:56.055859,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 46.0, 28.0)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 16.5, 13.8)","(3.0, 99999, 99990)","(26.0, 55.0, 32.333333333333336)","(16.0, 34.0, 20.666666666666668)"
08-12-2022 14:53:57.410966,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 46.0, 28.0)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 16.5, 13.8)","(3.0, 99999, 99990)","(26.0, 55.0, 32.333333333333336)","(16.0, 34.0, 20.666666666666668)"
08-12-2022 14:53:58.702869,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 46.0, 28.0)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 16.5, 13.8)","(3.0, 99999, 99990)","(26.0, 55.0, 32.333333333333336)","(16.0, 34.0, 20.666666666666668)"
08-12-2022 14:53:59.954755,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 46.0, 28.0)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 16.5, 13.8)","(3.0, 99999, 99990)","(26.0, 55.0, 32.333333333333336)","(16.0, 34.0, 20.666666666666668)"
