,Amass,Sonny Maguire,Heez Good,Franco Huntington,Elouisa Dale,Foveaux Strait,Van Liberty,Airwaves
14-12-2022 14:39:11.680107,"(1.8, 2.08, 2.0)","(12.0, 30.0, 26.571428571428573)","(20.0, 200.0, 154.1818181818182)","(26.0, 65.0, 41.666666666666664)","(3.9, 4.8, 5.300000000000001)","(4.4, 5.7, 5.175)","(21.0, 200.0, 95.0)","(51.0, 300.0, 133.33333333333331)"
14-12-2022 14:39:13.116478,"(1.8, 2.08, 2.0)","(12.0, 30.0, 26.571428571428573)","(20.0, 180.0, 154.1818181818182)","(26.0, 65.0, 41.666666666666664)","(3.9, 5.7, 5.300000000000001)","(4.4, 5.7, 5.1)","(21.0, 200.0, 95.0)","(51.0, 290.0, 133.33333333333331)"
14-12-2022 14:39:14.514877,"(1.8, 2.08, 2.0)","(12.0, 30.0, 26.571428571428573)","(20.0, 180.0, 154.1818181818182)","(26.0, 65.0, 41.666666666666664)","(3.9, 5.7, 5.300000000000001)","(4.4, 5.5, 5.675000000000001)","(21.0, 200.0, 95.0)","(51.0, 290.0, 133.33333333333331)"
14-12-2022 14:39:16.015373,"(1.8, 2.08, 2.0)","(12.0, 30.0, 26.571428571428573)","(20.0, 180.0, 84.0)","(26.0, 65.0, 40.0)","(3.9, 5.7, 5.283333333333333)","(4.4, 5.9, 5.472222222222222)","(21.0, 200.0, 95.0)","(51.0, 290.0, 133.33333333333331)"
14-12-2022 14:39:17.435644,"(1.8, 2.04, 2.013333333333333)","(12.0, 30.0, 26.571428571428573)","(20.0, 180.0, 137.39999999999998)","(26.0, 60.0, 54.0)","(3.9, 5.7, 5.283333333333333)","(4.4, 5.5, 5.472222222222222)","(21.0, 200.0, 93.33333333333333)","(51.0, 290.0, 172.5)"
14-12-2022 14:39:18.911522,"(1.8, 2.04, 2.013333333333333)","(12.0, 30.0, 26.571428571428573)","(20.0, 180.0, 137.39999999999998)","(26.0, 60.0, 54.0)","(3.9, 5.7, 5.283333333333333)","(4.4, 5.5, 5.472222222222222)","(21.0, 200.0, 93.33333333333333)","(51.0, 290.0, 172.5)"
14-12-2022 14:39:20.363541,"(1.8, 2.04, 1.9754838709677418)","(12.0, 30.0, 26.571428571428573)","(20.0, 180.0, 137.39999999999998)","(26.0, 60.0, 54.0)","(3.9, 5.7, 5.283333333333333)","(4.4, 5.5, 5.3)","(21.0, 200.0, 93.33333333333333)","(51.0, 290.0, 172.5)"
14-12-2022 14:39:21.769733,"(1.8, 2.0, 1.9541666666666666)","(12.0, 30.0, 26.571428571428573)","(20.0, 180.0, 137.39999999999998)","(26.0, 60.0, 51.42857142857143)","(3.9, 5.7, 5.283333333333333)","(4.4, 5.6, 5.128571428571429)","(21.0, 200.0, 93.33333333333333)","(51.0, 290.0, 139.375)"
14-12-2022 14:39:23.186599,"(1.8, 2.02, 1.922222222222222)","(12.0, 30.0, 26.571428571428573)","(20.0, 180.0, 75.0)","(26.0, 60.0, 48.0)","(3.9, 5.7, 5.3)","(4.4, 5.9, 5.45)","(21.0, 200.0, 93.33333333333333)","(51.0, 280.0, 139.375)"
14-12-2022 14:39:24.569102,"(1.8, 2.02, 1.9209999999999998)","(12.0, 30.0, 26.571428571428573)","(20.0, 180.0, 75.0)","(26.0, 60.0, 39.0)","(3.9, 5.6, 5.3)","(4.4, 5.9, 5.16)","(21.0, 200.0, 93.33333333333333)","(51.0, 280.0, 139.375)"
