,Smiling Walnut,Chinotto Girl,Jingalong Lotte,Ginger Jess,Shaq Owes,Eris Lucy,Winter Skye,Shrimp Boat
10-01-2023 18:20:12.389266,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:13.543622,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:14.759989,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:15.895843,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:17.023179,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:18.162653,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:19.333027,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:20.565141,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:21.738469,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:22.930711,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:24.106582,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:25.239891,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:26.343642,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:27.624891,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:28.970721,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:30.171639,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:31.308456,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 31.181818181818183)"
10-01-2023 18:20:32.515101,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(17.0, 65.0, 29.81818181818182)"
10-01-2023 18:20:33.691371,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(19.0, 60.0, 29.81818181818182)"
10-01-2023 18:20:34.920905,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 28.588235294117645)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(19.0, 60.0, 29.81818181818182)"
10-01-2023 18:20:36.123609,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 28.588235294117645)","(31.0, 180.0, 79.33333333333334)","(3.5, 5.9, 3.508695652173913)","(19.0, 60.0, 29.81818181818182)"
10-01-2023 18:20:37.329516,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 28.588235294117645)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(19.0, 60.0, 29.81818181818182)"
10-01-2023 18:20:38.543729,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 28.588235294117645)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(19.0, 60.0, 29.81818181818182)"
10-01-2023 18:20:39.769979,"(3.4, 7.0, 5.3)","(3.1, 4.2, 4.167894736842105)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(19.0, 60.0, 29.81818181818182)"
10-01-2023 18:20:41.114309,"(3.4, 7.0, 5.3)","(3.1, 4.2, 4.0475)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(19.0, 60.0, 29.81818181818182)"
