,Invincible Bay,Always Hapi,Sebastian The Fox,Sachem,Savvy Sovereign,Le Messager,Mr Invincible,Stelvio,Top Arctic,Mortar,Demando,Oamanikka,Friday At Five,Zazster
04-01-2023 15:42:35.608225,"(10.0, 13.0, 12.206349206349206)","(41.0, 65.0, 63.026315789473685)","(11.0, 13.5, 13.289473684210526)","(3.8, 4.1, 4.05268185157972)","(3.2, 3.6, 3.618284789644013)","(16.0, 18.5, 17.939393939393938)","(17.0, 22.0, 21.823529411764707)","(26.0, 34.0, 34.27272727272727)","(51.0, 100.0, 89.53125)","(71.0, 130.0, 121.66666666666667)","(7.0, 8.4, 8.124335378323108)","(51.0, 70.0, 66.20689655172414)","(51.0, 60.0, 59.54545454545455)","(101.0, 560.0, 473.3333333333333)"
04-01-2023 15:42:37.326403,"(10.0, 12.5, 12.206349206349206)","(41.0, 65.0, 63.026315789473685)","(11.0, 13.5, 13.267567567567568)","(3.8, 4.1, 4.024519230769231)","(3.2, 3.65, 3.6184210526315788)","(15.0, 18.0, 18.15625)","(17.0, 22.0, 21.823529411764707)","(26.0, 36.0, 34.4)","(51.0, 90.0, 89.53125)","(71.0, 130.0, 121.57894736842105)","(7.0, 8.4, 8.211204481792716)","(51.0, 70.0, 66.94444444444444)","(51.0, 60.0, 59.54545454545455)","(101.0, 560.0, 450.0)"
04-01-2023 15:42:39.091372,"(10.0, 12.5, 12.22992700729927)","(41.0, 65.0, 62.03125)","(11.0, 13.5, 13.315436241610739)","(3.8, 4.1, 4.038362760834671)","(3.2, 3.65, 3.618316831683168)","(15.0, 18.5, 18.15625)","(17.0, 22.0, 21.823529411764707)","(26.0, 36.0, 34.44897959183673)","(51.0, 90.0, 89.53125)","(71.0, 130.0, 121.57894736842105)","(7.0, 8.4, 8.182651391162029)","(51.0, 70.0, 66.94444444444444)","(51.0, 60.0, 59.54545454545455)","(101.0, 550.0, 441.0)"
04-01-2023 15:42:41.308615,"(10.0, 12.5, 12.554502369668246)","(41.0, 65.0, 61.333333333333336)","(11.0, 13.5, 13.33974358974359)","(3.8, 4.1, 4.04014598540146)","(3.2, 3.65, 3.6299003322259136)","(15.0, 18.5, 18.083333333333332)","(17.0, 22.0, 21.823529411764707)","(26.0, 36.0, 34.0)","(51.0, 90.0, 89.83333333333333)","(71.0, 130.0, 121.57894736842105)","(7.0, 8.4, 7.991815856777493)","(51.0, 70.0, 66.94444444444444)","(51.0, 60.0, 59.67213114754098)","(101.0, 540.0, 496.25)"
04-01-2023 15:42:43.325532,"(10.0, 13.0, 12.651162790697674)","(41.0, 65.0, 59.130434782608695)","(11.0, 13.5, 13.698630136986301)","(3.8, 4.1, 4.039428571428571)","(3.3, 3.65, 3.6310714285714285)","(15.0, 18.5, 17.782608695652176)","(17.0, 22.0, 21.766666666666666)","(26.0, 36.0, 34.19047619047619)","(51.0, 90.0, 89.44444444444444)","(71.0, 130.0, 115.29411764705883)","(7.0, 8.0, 7.930212765957447)","(51.0, 70.0, 67.05882352941177)","(51.0, 60.0, 59.77272727272727)","(101.0, 520.0, 475.0)"
04-01-2023 15:42:45.058597,"(10.0, 13.0, 12.651162790697674)","(41.0, 60.0, 59.130434782608695)","(11.0, 14.0, 13.698630136986301)","(3.8, 4.1, 4.040656565656565)","(3.3, 3.65, 3.649622641509434)","(15.0, 18.0, 15.765079365079366)","(17.0, 22.0, 22.08)","(26.0, 36.0, 32.36363636363637)","(51.0, 90.0, 88.23529411764706)","(71.0, 120.0, 117.33333333333333)","(7.0, 8.0, 7.730851063829787)","(51.0, 70.0, 67.1875)","(51.0, 60.0, 61.5625)","(101.0, 520.0, 470.0)"
04-01-2023 15:42:46.774399,"(10.0, 13.0, 12.669491525423728)","(41.0, 60.0, 58.958333333333336)","(11.0, 14.0, 13.577981651376147)","(3.8, 4.1, 4.029190056134723)","(3.3, 3.65, 3.63719298245614)","(15.0, 16.0, 17.13888888888889)","(17.0, 23.0, 22.511627906976745)","(26.0, 34.0, 33.125)","(51.0, 90.0, 84.66666666666667)","(71.0, 120.0, 114.73684210526315)","(7.0, 7.8, 7.706474820143884)","(51.0, 70.0, 67.83018867924528)","(51.0, 65.0, 60.24390243902439)","(101.0, 500.0, 535.0)"
04-01-2023 15:42:48.446793,"(10.0, 13.0, 12.658536585365853)","(41.0, 60.0, 58.958333333333336)","(11.0, 14.0, 13.96938775510204)","(3.8, 4.1, 4.111888586956521)","(3.3, 3.65, 3.6358527131782945)","(15.0, 17.5, 17.13888888888889)","(17.0, 24.0, 22.608695652173914)","(26.0, 34.0, 33.125)","(51.0, 85.0, 87.3913043478261)","(71.0, 120.0, 108.0)","(7.0, 7.8, 7.481578947368421)","(51.0, 75.0, 70.34883720930233)","(51.0, 65.0, 60.26315789473684)","(101.0, 630.0, 472.85714285714283)"
04-01-2023 15:42:50.142284,"(10.0, 13.0, 12.658536585365853)","(41.0, 60.0, 58.958333333333336)","(11.0, 14.0, 13.701754385964913)","(3.8, 4.2, 4.120682523267838)","(3.3, 3.65, 3.6362126245847177)","(15.0, 17.5, 16.736842105263158)","(17.0, 24.0, 22.608695652173914)","(26.0, 34.0, 33.25423728813559)","(51.0, 90.0, 86.78571428571429)","(71.0, 120.0, 105.71428571428571)","(7.0, 7.6, 7.410948905109489)","(51.0, 75.0, 70.56818181818181)","(51.0, 65.0, 61.08695652173913)","(101.0, 670.0, 510.0)"
04-01-2023 15:42:51.815630,"(10.0, 13.0, 12.565934065934066)","(41.0, 60.0, 58.958333333333336)","(11.0, 14.0, 14.065625)","(3.8, 4.2, 4.128915662650602)","(3.3, 3.65, 3.618840579710145)","(15.0, 17.0, 16.736842105263158)","(17.0, 24.0, 21.755555555555556)","(26.0, 34.0, 33.266666666666666)","(51.0, 90.0, 87.6)","(71.0, 120.0, 105.71428571428571)","(7.0, 7.6, 7.410948905109489)","(51.0, 75.0, 70.625)","(51.0, 65.0, 60.81395348837209)","(101.0, 650.0, 470.0)"
