,Cyber Crime,Minor Ash,Curly Fries,Hosey Sidekick,Hang A Boot,Call Me Kiah,Mepunga Reject,Jagger Bale
07-12-2022 19:02:29.691412,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.76)","(4.0, 7.0, 5.754651162790697)","(17.0, 55.0, 26.636363636363637)","(21.0, 80.0, 42.5)"
07-12-2022 19:02:31.111311,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.76)","(4.0, 7.0, 5.754651162790697)","(17.0, 55.0, 26.636363636363637)","(21.0, 80.0, 42.5)"
07-12-2022 19:02:32.457822,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.76)","(4.0, 7.0, 5.754651162790697)","(17.0, 55.0, 26.636363636363637)","(21.0, 80.0, 42.5)"
07-12-2022 19:02:33.773286,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.76)","(4.0, 7.0, 5.754651162790697)","(17.0, 55.0, 26.636363636363637)","(21.0, 80.0, 42.5)"
07-12-2022 19:02:35.025447,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.76)","(4.0, 7.0, 5.754651162790697)","(17.0, 55.0, 26.636363636363637)","(21.0, 80.0, 42.5)"
07-12-2022 19:02:36.296417,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.76)","(4.0, 7.0, 5.754651162790697)","(17.0, 55.0, 26.636363636363637)","(21.0, 80.0, 42.5)"
07-12-2022 19:02:37.444479,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.76)","(4.0, 7.0, 5.754651162790697)","(17.0, 55.0, 26.636363636363637)","(21.0, 80.0, 42.5)"
07-12-2022 19:02:38.764894,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.76)","(4.0, 7.0, 5.754651162790697)","(17.0, 55.0, 26.636363636363637)","(21.0, 80.0, 42.5)"
07-12-2022 19:02:40.009925,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.76)","(4.0, 7.0, 5.754651162790697)","(17.0, 55.0, 26.636363636363637)","(21.0, 80.0, 42.5)"
07-12-2022 19:02:41.252843,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.76)","(4.0, 7.0, 5.754651162790697)","(17.0, 55.0, 26.636363636363637)","(21.0, 80.0, 42.5)"
07-12-2022 19:02:42.457922,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.76)","(4.0, 7.0, 5.754651162790697)","(17.0, 55.0, 28.75)","(21.0, 80.0, 42.5)"
07-12-2022 19:02:43.685222,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.76)","(4.0, 7.0, 5.754651162790697)","(17.0, 50.0, 28.75)","(21.0, 80.0, 42.5)"
07-12-2022 19:02:44.929895,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.76)","(4.0, 7.0, 5.754651162790697)","(17.0, 50.0, 28.75)","(21.0, 80.0, 42.5)"
07-12-2022 19:02:46.241024,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.76)","(4.0, 7.0, 5.754651162790697)","(17.0, 50.0, 28.75)","(21.0, 80.0, 42.5)"
07-12-2022 19:02:47.490074,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.76)","(4.0, 7.0, 5.754651162790697)","(17.0, 50.0, 25.272727272727273)","(21.0, 80.0, 42.5)"
07-12-2022 19:02:48.737587,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.76)","(4.0, 7.0, 5.754651162790697)","(17.0, 50.0, 25.272727272727273)","(21.0, 80.0, 42.5)"
07-12-2022 19:02:49.971870,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.76)","(4.0, 7.0, 5.754651162790697)","(17.0, 50.0, 25.272727272727273)","(21.0, 80.0, 42.5)"
07-12-2022 19:02:51.271177,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.76)","(4.0, 7.0, 5.754651162790697)","(17.0, 50.0, 25.272727272727273)","(21.0, 80.0, 42.5)"
07-12-2022 19:02:52.455894,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.76)","(4.0, 7.0, 5.754651162790697)","(17.0, 50.0, 25.272727272727273)","(21.0, 80.0, 42.5)"
07-12-2022 19:02:53.638000,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.76)","(4.0, 7.0, 5.754651162790697)","(17.0, 50.0, 25.272727272727273)","(21.0, 80.0, 42.5)"
07-12-2022 19:02:54.901909,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 5.754651162790697)","(17.0, 50.0, 25.272727272727273)","(21.0, 80.0, 42.5)"
07-12-2022 19:02:56.274629,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 5.754651162790697)","(17.0, 50.0, 25.272727272727273)","(21.0, 80.0, 42.5)"
