,Bare Knuckles,Scott Monster,Rainbows Gold,Tabasco Lad,Jolly Johnny,Gabriella Maree,Tinker Mike,Aston Cigar
10-01-2023 14:50:28.708973,"(6.0, 12.0, 9.48)","(18.0, 60.0, 35.83333333333333)","(8.0, 15.0, 14.253846153846155)","(3.9, 5.5, 5.13)","(4.2, 8.4, 4.7250000000000005)","(7.5, 14.0, 7.461538461538462)","(5.5, 8.4, 6.24)","(6.0, 12.0, 7.65)"
10-01-2023 14:50:29.864221,"(6.0, 12.0, 9.48)","(18.0, 60.0, 35.83333333333333)","(8.0, 15.5, 14.253846153846155)","(3.9, 5.5, 5.13)","(4.2, 8.4, 4.7250000000000005)","(7.5, 14.0, 7.461538461538462)","(5.5, 8.4, 6.24)","(6.0, 12.0, 7.65)"
10-01-2023 14:50:30.915157,"(6.0, 12.0, 7.230769230769231)","(18.0, 60.0, 35.83333333333333)","(8.0, 15.5, 14.253846153846155)","(3.9, 5.5, 5.13)","(4.2, 8.4, 4.7250000000000005)","(7.5, 14.0, 7.461538461538462)","(5.5, 8.4, 6.24)","(6.0, 12.0, 7.65)"
10-01-2023 14:50:32.028900,"(6.0, 12.0, 7.230769230769231)","(18.0, 60.0, 35.83333333333333)","(8.0, 15.5, 14.253846153846155)","(3.9, 5.5, 5.13)","(4.2, 8.4, 4.7250000000000005)","(7.5, 14.0, 7.461538461538462)","(5.5, 8.4, 6.24)","(6.0, 12.0, 7.65)"
10-01-2023 14:50:33.155782,"(6.0, 12.0, 7.230769230769231)","(18.0, 60.0, 35.83333333333333)","(8.0, 15.5, 14.253846153846155)","(3.9, 5.5, 5.13)","(4.2, 8.4, 4.7250000000000005)","(7.5, 14.0, 7.461538461538462)","(5.5, 8.4, 6.24)","(6.0, 12.0, 7.65)"
10-01-2023 14:50:34.378186,"(6.0, 12.0, 7.230769230769231)","(18.0, 60.0, 35.83333333333333)","(8.0, 15.5, 14.253846153846155)","(3.9, 5.5, 5.13)","(4.2, 8.4, 4.7250000000000005)","(7.5, 14.0, 7.461538461538462)","(5.5, 8.4, 6.24)","(6.0, 12.0, 7.65)"
10-01-2023 14:50:35.554375,"(6.0, 12.0, 7.230769230769231)","(18.0, 60.0, 35.83333333333333)","(8.0, 15.5, 14.253846153846155)","(3.9, 5.5, 5.13)","(4.2, 8.4, 4.7250000000000005)","(7.5, 14.0, 7.461538461538462)","(5.5, 8.4, 6.24)","(6.0, 12.0, 7.65)"
10-01-2023 14:50:36.768403,"(6.0, 12.0, 7.230769230769231)","(18.0, 60.0, 35.83333333333333)","(8.0, 15.5, 12.34)","(3.9, 5.5, 5.13)","(4.2, 8.4, 4.7250000000000005)","(7.5, 14.0, 11.1375)","(5.5, 8.4, 6.24)","(6.0, 12.0, 7.65)"
10-01-2023 14:50:37.951247,"(6.0, 12.0, 7.230769230769231)","(18.0, 60.0, 33.125)","(8.0, 15.5, 12.34)","(3.9, 5.5, 5.13)","(4.2, 8.4, 4.7250000000000005)","(7.5, 13.5, 11.1375)","(5.5, 8.4, 6.24)","(6.0, 12.0, 7.65)"
10-01-2023 14:50:39.174191,"(6.0, 12.0, 7.230769230769231)","(18.0, 60.0, 33.125)","(8.0, 15.5, 12.34)","(3.9, 5.5, 5.13)","(4.2, 8.4, 4.7250000000000005)","(7.5, 13.5, 11.1375)","(5.5, 8.4, 6.24)","(6.0, 12.0, 7.65)"
10-01-2023 14:50:40.346147,"(6.0, 12.0, 7.230769230769231)","(18.0, 60.0, 33.125)","(8.0, 15.5, 12.34)","(3.9, 5.5, 5.13)","(4.2, 8.4, 4.7250000000000005)","(7.5, 13.5, 11.1375)","(5.5, 8.4, 6.24)","(6.0, 12.0, 7.65)"
10-01-2023 14:50:41.477034,"(6.0, 12.0, 7.230769230769231)","(18.0, 60.0, 33.125)","(8.0, 15.5, 12.34)","(3.9, 5.5, 5.13)","(4.2, 8.4, 4.7250000000000005)","(7.5, 13.5, 11.1375)","(5.5, 8.4, 6.24)","(6.0, 12.0, 7.65)"
10-01-2023 14:50:42.538836,"(6.0, 12.0, 7.230769230769231)","(18.0, 60.0, 33.125)","(8.0, 15.5, 12.34)","(3.9, 5.5, 5.13)","(4.2, 8.4, 4.7250000000000005)","(7.5, 13.5, 11.1375)","(5.5, 8.4, 6.24)","(6.0, 12.0, 7.65)"
10-01-2023 14:50:43.713187,"(6.0, 12.0, 7.230769230769231)","(18.0, 60.0, 33.125)","(8.0, 15.5, 12.34)","(3.9, 5.5, 5.13)","(4.2, 8.4, 4.7250000000000005)","(7.5, 13.5, 11.1375)","(5.5, 8.4, 6.24)","(6.0, 12.0, 7.65)"
10-01-2023 14:50:44.881509,"(6.0, 12.0, 7.230769230769231)","(18.0, 60.0, 33.125)","(8.0, 15.5, 12.34)","(3.9, 5.5, 5.13)","(4.2, 8.4, 4.7250000000000005)","(7.5, 13.5, 11.1375)","(5.5, 8.4, 6.24)","(6.0, 12.0, 7.65)"
10-01-2023 14:50:46.262178,"(6.0, 12.0, 7.230769230769231)","(18.0, 60.0, 33.125)","(8.0, 15.5, 12.34)","(3.9, 5.5, 5.13)","(4.2, 8.4, 4.7250000000000005)","(7.5, 13.5, 11.1375)","(5.5, 8.4, 6.24)","(6.0, 12.0, 7.65)"
