,Bailing Out,Raw Eleven,Juniors Junior,Roma Blue,Freddie Loco
07-12-2022 18:38:10.227132,"(10.0, 11.5, 10.875)","(2.05, 2.5, 2.44)","(17.0, 26.0, 24.37037037037037)","(2.9, 3.5, 3.41)","(4.8, 6.2, 6.16875)"
07-12-2022 18:38:11.150226,"(10.0, 11.5, 10.84)","(2.05, 2.5, 2.4461224489795916)","(17.0, 26.0, 24.37037037037037)","(2.9, 3.7, 3.3)","(4.8, 6.4, 5.989285714285715)"
07-12-2022 18:38:12.131979,"(10.0, 11.5, 10.865384615384615)","(2.05, 2.48, 2.349090909090909)","(17.0, 26.0, 24.20689655172414)","(2.9, 3.7, 3.3470588235294114)","(4.8, 6.4, 6.066666666666667)"
07-12-2022 18:38:13.018562,"(10.0, 11.5, 10.910714285714286)","(2.05, 2.46, 2.364)","(17.0, 26.0, 24.424242424242426)","(2.9, 3.7, 3.54)","(4.8, 6.4, 6.058536585365854)"
07-12-2022 18:38:13.823603,"(10.0, 11.5, 10.852941176470589)","(2.05, 2.44, 2.431764705882353)","(17.0, 26.0, 24.424242424242426)","(2.9, 3.7, 3.5923076923076924)","(4.8, 6.4, 6.058536585365854)"
07-12-2022 18:38:14.613232,"(10.0, 11.5, 10.910714285714286)","(2.05, 2.44, 2.329230769230769)","(17.0, 26.0, 24.424242424242426)","(2.9, 3.65, 3.511111111111111)","(4.8, 6.4, 5.933333333333334)"
07-12-2022 18:38:15.424582,"(10.0, 11.5, 10.910714285714286)","(2.05, 2.44, 2.329230769230769)","(17.0, 26.0, 24.424242424242426)","(2.9, 3.65, 3.511111111111111)","(4.8, 6.4, 5.933333333333334)"
07-12-2022 18:38:16.252693,"(10.0, 11.5, 10.910714285714286)","(2.05, 2.44, 2.329230769230769)","(17.0, 26.0, 24.5)","(2.9, 3.65, 3.4833333333333334)","(4.8, 6.4, 5.858064516129033)"
07-12-2022 18:38:17.080015,"(10.0, 11.5, 10.910714285714286)","(2.05, 2.44, 2.329230769230769)","(17.0, 26.0, 24.5)","(2.9, 3.65, 3.4833333333333334)","(4.8, 6.4, 5.858064516129033)"
07-12-2022 18:38:17.897832,"(10.0, 11.5, 10.865384615384615)","(2.05, 2.42, 2.3743478260869564)","(17.0, 26.0, 24.428571428571427)","(2.9, 3.65, 3.434090909090909)","(4.8, 6.4, 6.034782608695652)"
07-12-2022 18:38:18.728022,"(10.0, 11.5, 10.865384615384615)","(2.05, 2.42, 2.3743478260869564)","(17.0, 26.0, 24.428571428571427)","(2.9, 3.65, 3.434090909090909)","(4.8, 6.4, 6.034782608695652)"
07-12-2022 18:38:19.533264,"(10.0, 11.5, 10.910714285714286)","(2.05, 2.4, 2.394074074074074)","(17.0, 26.0, 24.125)","(2.9, 3.65, 3.48)","(4.8, 6.4, 6.034782608695652)"
07-12-2022 18:38:20.409825,"(10.0, 11.5, 10.910714285714286)","(2.05, 2.4, 2.363243243243243)","(17.0, 26.0, 24.125)","(3.0, 3.65, 3.48)","(4.8, 6.4, 6.034782608695652)"
07-12-2022 18:38:21.335368,"(10.0, 11.5, 10.910714285714286)","(2.05, 2.4, 2.363243243243243)","(17.0, 26.0, 24.125)","(3.0, 3.65, 3.42027027027027)","(4.8, 6.4, 5.982608695652174)"
07-12-2022 18:38:22.213094,"(10.0, 11.5, 10.865384615384615)","(2.05, 2.4, 2.363243243243243)","(17.0, 26.0, 24.125)","(3.0, 3.65, 3.42027027027027)","(4.8, 6.4, 5.982608695652174)"
07-12-2022 18:38:23.054148,"(10.0, 11.5, 10.865384615384615)","(2.05, 2.4, 2.363243243243243)","(17.0, 26.0, 24.125)","(3.0, 3.65, 3.42027027027027)","(4.8, 6.4, 5.982608695652174)"
07-12-2022 18:38:23.871084,"(10.0, 11.5, 10.865384615384615)","(2.05, 2.4, 2.363243243243243)","(17.0, 26.0, 24.125)","(3.0, 3.65, 3.42027027027027)","(4.8, 6.4, 5.982608695652174)"
07-12-2022 18:38:24.670818,"(10.0, 11.5, 10.865384615384615)","(2.05, 2.4, 2.363243243243243)","(17.0, 26.0, 24.125)","(3.0, 3.65, 3.4476190476190474)","(4.8, 6.4, 5.982608695652174)"
07-12-2022 18:38:25.513268,"(10.0, 11.5, 10.865384615384615)","(2.05, 2.4, 2.363243243243243)","(17.0, 26.0, 24.125)","(3.0, 3.65, 3.4476190476190474)","(4.8, 6.4, 5.982608695652174)"
07-12-2022 18:38:26.326215,"(10.0, 11.5, 10.865384615384615)","(2.05, 2.4, 2.363243243243243)","(17.0, 26.0, 24.125)","(3.0, 3.65, 3.4476190476190474)","(4.8, 6.4, 6.0)"
07-12-2022 18:38:27.232742,"(10.0, 11.5, 10.910714285714286)","(2.05, 2.4, 2.3642105263157895)","(17.0, 26.0, 23.93103448275862)","(3.0, 3.65, 3.4476190476190474)","(4.8, 6.4, 6.0)"
07-12-2022 18:38:36.288105,"(10.0, 11.5, 11.060975609756097)","(2.05, 2.36, 2.33)","(17.0, 26.0, 23.93103448275862)","(3.0, 3.65, 3.4851063829787234)","(4.8, 6.4, 6.027027027027027)"
07-12-2022 18:38:37.094047,"(10.0, 11.5, 11.060975609756097)","(2.05, 2.36, 2.33)","(17.0, 26.0, 23.93103448275862)","(3.0, 3.65, 3.4851063829787234)","(4.8, 6.4, 6.027027027027027)"
07-12-2022 18:38:37.893189,"(10.0, 11.5, 11.060975609756097)","(2.05, 2.36, 2.33)","(17.0, 26.0, 23.93103448275862)","(3.0, 3.65, 3.4851063829787234)","(4.8, 6.4, 6.027027027027027)"
07-12-2022 18:38:38.706143,"(10.0, 11.5, 11.013513513513514)","(2.05, 2.42, 2.36)","(17.0, 26.0, 24.72)","(3.0, 3.65, 3.4779069767441864)","(4.8, 6.4, 6.004878048780488)"
07-12-2022 18:38:39.512377,"(10.0, 11.5, 11.013513513513514)","(2.05, 2.42, 2.36)","(17.0, 26.0, 24.72)","(3.0, 3.65, 3.4779069767441864)","(4.8, 6.4, 6.004878048780488)"
07-12-2022 18:38:40.431116,"(10.0, 11.5, 10.970588235294118)","(2.05, 2.44, 2.38)","(17.0, 26.0, 25.087719298245613)","(3.0, 3.5, 3.333333333333333)","(4.8, 6.2, 6.136842105263158)"
07-12-2022 18:38:41.318157,"(10.0, 11.5, 10.921052631578947)","(2.05, 2.46, 2.4155555555555557)","(17.0, 26.0, 24.545454545454547)","(3.0, 3.5, 3.353448275862069)","(4.8, 6.2, 6.066666666666666)"
07-12-2022 18:38:42.196703,"(10.0, 11.5, 10.944444444444445)","(2.05, 2.48, 2.3466666666666667)","(17.0, 26.0, 25.636363636363637)","(3.0, 3.5, 3.3125)","(4.8, 6.4, 6.074285714285715)"
07-12-2022 18:38:43.061642,"(10.0, 11.5, 10.944444444444445)","(2.05, 2.46, 2.4459999999999997)","(17.0, 26.0, 25.75)","(3.0, 3.5, 3.257142857142857)","(4.8, 6.4, 6.046153846153846)"
07-12-2022 18:38:43.920906,"(10.0, 11.5, 11.106060606060606)","(2.05, 2.48, 2.343265306122449)","(17.0, 26.0, 25.733333333333334)","(3.0, 3.5, 3.419230769230769)","(4.8, 6.4, 6.051515151515152)"
07-12-2022 18:38:44.788397,"(10.0, 11.5, 11.106060606060606)","(2.05, 2.44, 2.3899999999999997)","(17.0, 26.0, 25.2)","(3.0, 3.5, 3.32972972972973)","(4.8, 6.4, 5.920833333333333)"
07-12-2022 18:38:45.602944,"(10.0, 11.5, 11.106060606060606)","(2.05, 2.44, 2.3666666666666667)","(17.0, 26.0, 25.53846153846154)","(3.0, 3.5, 3.32972972972973)","(4.8, 6.4, 5.920833333333333)"
07-12-2022 18:38:46.422203,"(10.0, 11.5, 11.106060606060606)","(2.05, 2.44, 2.3666666666666667)","(17.0, 26.0, 25.53846153846154)","(3.0, 3.5, 3.32972972972973)","(4.8, 6.4, 5.920833333333333)"
07-12-2022 18:38:47.345350,"(10.0, 11.5, 11.106060606060606)","(2.05, 2.46, 2.453333333333333)","(17.0, 26.0, 25.625)","(3.0, 3.45, 3.2807692307692307)","(4.8, 6.2, 5.816666666666666)"
07-12-2022 18:38:48.211482,"(10.0, 11.5, 11.051724137931034)","(2.05, 2.46, 2.4066666666666667)","(18.0, 26.0, 25.625)","(3.0, 3.45, 3.2807692307692307)","(4.8, 6.2, 5.816666666666666)"
07-12-2022 18:38:49.064184,"(10.0, 11.5, 11.051724137931034)","(2.05, 2.46, 2.3899999999999997)","(18.0, 26.0, 25.625)","(3.0, 3.45, 3.3125)","(4.8, 6.2, 5.859259259259259)"
07-12-2022 18:38:49.931746,"(10.0, 11.5, 11.106060606060606)","(2.05, 2.46, 2.4341935483870967)","(18.0, 26.0, 25.625)","(3.0, 3.45, 3.3642857142857143)","(4.8, 6.2, 5.888135593220339)"
07-12-2022 18:38:50.789253,"(10.0, 11.5, 11.106060606060606)","(2.05, 2.46, 2.4341935483870967)","(18.0, 26.0, 25.625)","(3.0, 3.45, 3.3642857142857143)","(4.8, 6.2, 5.888135593220339)"
07-12-2022 18:38:51.597664,"(10.0, 11.5, 11.051724137931034)","(2.05, 2.46, 2.4309090909090907)","(18.0, 28.0, 26.5)","(3.0, 3.45, 3.436842105263158)","(4.8, 6.2, 5.888135593220339)"
07-12-2022 18:38:52.403810,"(10.0, 11.5, 11.051724137931034)","(2.05, 2.48, 2.4057142857142857)","(18.0, 29.0, 26.5)","(3.0, 3.45, 3.354761904761905)","(4.8, 6.2, 5.888135593220339)"
07-12-2022 18:38:53.229498,"(10.0, 11.5, 10.984848484848484)","(2.05, 2.46, 2.4309090909090907)","(18.0, 29.0, 26.6)","(3.0, 3.45, 3.371739130434783)","(4.8, 6.2, 5.888135593220339)"
07-12-2022 18:38:54.110255,"(10.0, 11.5, 11.051724137931034)","(2.05, 2.46, 2.428)","(18.0, 29.0, 27.5)","(3.0, 3.45, 3.405555555555556)","(4.8, 6.2, 5.888135593220339)"
07-12-2022 18:38:55.020971,"(10.0, 11.5, 11.051724137931034)","(2.05, 2.46, 2.428)","(18.0, 29.0, 27.5)","(3.0, 3.45, 3.405555555555556)","(4.8, 6.2, 5.888135593220339)"
07-12-2022 18:38:55.871851,"(10.0, 11.5, 11.051724137931034)","(2.05, 2.46, 2.428)","(18.0, 29.0, 26.6)","(3.0, 3.45, 3.3130434782608695)","(4.8, 6.2, 5.888135593220339)"
07-12-2022 18:38:56.724575,"(10.0, 11.5, 11.051724137931034)","(2.05, 2.48, 2.4436363636363634)","(18.0, 29.0, 26.5)","(3.0, 3.4, 3.309090909090909)","(4.8, 6.2, 5.8933333333333335)"
07-12-2022 18:38:57.552102,"(10.0, 11.5, 11.051724137931034)","(2.05, 2.48, 2.4436363636363634)","(18.0, 29.0, 26.5)","(3.0, 3.4, 3.309090909090909)","(4.8, 6.2, 5.8933333333333335)"
07-12-2022 18:38:58.703076,"(10.0, 11.5, 10.892857142857142)","(2.05, 2.48, 2.4367567567567567)","(18.0, 28.0, 27.785714285714285)","(3.0, 3.4, 3.2636363636363637)","(4.8, 6.2, 5.8933333333333335)"
07-12-2022 18:38:59.588622,"(10.0, 11.5, 10.892857142857142)","(2.05, 2.48, 2.4345454545454546)","(18.0, 28.0, 27.785714285714285)","(3.0, 3.4, 3.275)","(4.8, 6.2, 5.888135593220339)"
07-12-2022 18:39:00.499144,"(10.0, 11.5, 10.892857142857142)","(2.05, 2.48, 2.405)","(18.0, 28.0, 27.785714285714285)","(3.0, 3.4, 3.2636363636363637)","(4.8, 6.2, 5.888135593220339)"
07-12-2022 18:39:01.470501,"(10.0, 11.5, 10.984848484848484)","(2.05, 2.48, 2.432)","(18.0, 28.0, 27.785714285714285)","(3.0, 3.4, 3.257142857142857)","(4.8, 6.2, 5.896551724137931)"
07-12-2022 18:39:02.369516,"(10.0, 11.5, 11.014285714285714)","(2.05, 2.48, 2.4219354838709677)","(18.0, 28.0, 27.8)","(3.0, 3.4, 3.2620689655172415)","(4.8, 6.2, 5.861538461538461)"
07-12-2022 18:39:03.201341,"(10.0, 11.5, 11.045454545454545)","(2.05, 2.48, 2.4316666666666666)","(18.0, 28.0, 27.8)","(3.0, 3.4, 3.3047619047619046)","(4.8, 6.2, 5.901694915254237)"
