,Superb,Blue Cascade,Burn Rate,Down Under Boy,Dr Gwen,Dr Bella,Grumpy Ellie
07-12-2022 19:11:43.489724,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:11:44.631822,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:11:45.701573,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:11:46.866844,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:11:48.097354,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:11:49.279839,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:11:50.431557,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:11:51.798081,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:11:53.209869,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:11:54.482309,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:11:55.783490,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:11:57.098419,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:11:58.290718,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:11:59.320443,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:12:00.700650,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:12:02.063694,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:12:03.408839,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:12:04.707616,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:12:05.976881,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:12:07.202583,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:12:08.365072,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:12:09.489248,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:12:10.570459,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:12:11.708385,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:12:12.992536,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:12:14.270534,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:12:15.504599,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:12:16.637737,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:12:17.808299,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
07-12-2022 19:12:19.015046,"(9.0, 19.0, 14.1)","(31.0, 340.0, 120.0)","(2.9, 5.1, 3.54)","(2.4, 3.2, 2.475862068965517)","(4.6, 7.4, 5.0)","(11.0, 25.0, 21.75)","(10.0, 20.0, 18.266666666666666)"
