,Boomer Shannon,Onya Sonya,Limousine Cheeky,Wellsaidmylady,Lady Rockabellum,Magic Tulhurst,Our Redemption,Special Spin
07-12-2022 20:04:19.219794,"(5.0, 7.6, 6.35)","(71.0, 430.0, 247.5)","(4.0, 5.6, 5.527272727272727)","(11.0, 23.0, 19.7)","(10.0, 18.5, 11.825)","(14.0, 36.0, 18.375)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:20.593104,"(5.0, 7.6, 6.35)","(71.0, 430.0, 247.5)","(4.0, 6.4, 5.527272727272727)","(11.0, 23.0, 19.7)","(10.0, 18.5, 11.825)","(14.0, 36.0, 18.375)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:22.110602,"(5.0, 7.6, 6.35)","(71.0, 430.0, 247.5)","(4.0, 6.4, 5.527272727272727)","(11.0, 23.0, 19.7)","(10.0, 18.5, 11.825)","(14.0, 36.0, 18.375)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:23.552066,"(5.0, 7.6, 6.35)","(71.0, 430.0, 247.5)","(4.0, 6.4, 5.527272727272727)","(11.0, 23.0, 19.7)","(10.0, 18.5, 11.825)","(14.0, 36.0, 18.375)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:25.034453,"(5.0, 7.6, 6.35)","(71.0, 430.0, 247.5)","(4.0, 6.4, 5.527272727272727)","(11.0, 23.0, 19.7)","(10.0, 18.5, 11.825)","(14.0, 36.0, 18.375)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:26.402069,"(5.0, 7.6, 6.35)","(71.0, 430.0, 247.5)","(4.0, 6.4, 5.527272727272727)","(11.0, 23.0, 19.7)","(10.0, 18.5, 11.825)","(14.0, 36.0, 18.375)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:27.825358,"(5.0, 7.6, 6.35)","(71.0, 430.0, 247.5)","(4.0, 6.4, 5.4363636363636365)","(11.0, 23.0, 14.2)","(10.0, 18.5, 11.825)","(14.0, 36.0, 18.375)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:29.194162,"(5.0, 7.6, 6.35)","(71.0, 430.0, 247.5)","(4.0, 6.2, 5.4363636363636365)","(11.0, 23.0, 21.275)","(10.0, 18.5, 16.916666666666668)","(14.0, 36.0, 18.375)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:30.518390,"(5.0, 7.6, 6.35)","(71.0, 430.0, 247.5)","(4.0, 6.2, 5.4363636363636365)","(11.0, 23.0, 19.977777777777778)","(10.0, 18.5, 12.92)","(14.0, 36.0, 18.375)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:31.924801,"(5.0, 7.6, 6.35)","(71.0, 430.0, 247.5)","(4.0, 6.2, 4.975)","(11.0, 23.0, 19.977777777777778)","(10.0, 18.5, 12.92)","(14.0, 36.0, 18.375)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:33.280615,"(5.0, 7.6, 6.35)","(71.0, 430.0, 247.5)","(4.0, 5.5, 4.975)","(11.0, 23.0, 19.977777777777778)","(10.0, 18.5, 12.92)","(14.0, 36.0, 18.375)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:34.609352,"(5.0, 7.6, 6.35)","(71.0, 430.0, 247.5)","(4.0, 5.5, 5.50625)","(11.0, 23.0, 19.977777777777778)","(10.0, 18.5, 12.92)","(14.0, 36.0, 18.375)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:35.981916,"(5.0, 7.6, 6.35)","(71.0, 430.0, 247.5)","(4.0, 5.6, 5.50625)","(11.0, 23.0, 19.977777777777778)","(10.0, 18.5, 12.92)","(14.0, 36.0, 18.375)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:37.433292,"(5.0, 7.6, 6.35)","(71.0, 430.0, 247.5)","(4.0, 6.2, 5.4363636363636365)","(11.0, 23.0, 19.977777777777778)","(10.0, 18.5, 12.92)","(14.0, 36.0, 18.375)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:38.811061,"(5.0, 7.6, 6.35)","(71.0, 430.0, 247.5)","(4.0, 5.5, 5.40625)","(11.0, 23.0, 19.977777777777778)","(10.0, 18.5, 12.92)","(14.0, 36.0, 18.375)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:40.349520,"(5.0, 7.6, 6.35)","(71.0, 430.0, 247.5)","(4.0, 5.4, 5.4363636363636365)","(11.0, 23.0, 19.977777777777778)","(10.0, 18.5, 12.92)","(14.0, 36.0, 18.375)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:41.805500,"(5.0, 7.6, 6.35)","(71.0, 430.0, 247.5)","(4.0, 6.2, 5.3125)","(11.0, 23.0, 18.53333333333333)","(10.0, 18.5, 12.92)","(14.0, 36.0, 24.5)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:43.425756,"(5.0, 7.6, 6.35)","(71.0, 420.0, 286.875)","(4.0, 5.5, 4.95)","(11.0, 23.0, 18.53333333333333)","(10.0, 18.5, 12.92)","(14.0, 36.0, 24.5)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:44.849177,"(5.0, 7.6, 6.35)","(71.0, 420.0, 311.42857142857144)","(4.0, 5.4, 4.975)","(11.0, 23.0, 18.53333333333333)","(10.0, 18.5, 12.92)","(14.0, 36.0, 24.5)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:46.275328,"(5.0, 7.6, 6.35)","(71.0, 410.0, 311.42857142857144)","(4.0, 5.5, 5.4363636363636365)","(11.0, 23.0, 18.53333333333333)","(10.0, 18.5, 15.0125)","(14.0, 36.0, 24.5)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:47.655281,"(5.0, 7.6, 6.35)","(71.0, 410.0, 311.42857142857144)","(4.0, 6.2, 5.4363636363636365)","(11.0, 23.0, 18.53333333333333)","(10.0, 18.5, 15.0125)","(14.0, 36.0, 24.5)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:48.949395,"(5.0, 7.6, 6.35)","(71.0, 410.0, 311.42857142857144)","(4.0, 6.2, 5.300000000000001)","(11.0, 23.0, 18.53333333333333)","(10.0, 18.5, 15.0125)","(14.0, 36.0, 24.5)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:50.178319,"(5.0, 7.6, 6.35)","(71.0, 410.0, 311.42857142857144)","(4.0, 5.4, 5.175)","(11.0, 23.0, 18.53333333333333)","(10.0, 18.5, 15.0125)","(14.0, 36.0, 24.5)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:51.520560,"(5.0, 7.6, 6.35)","(71.0, 410.0, 311.42857142857144)","(4.0, 5.4, 5.4363636363636365)","(11.0, 23.0, 18.53333333333333)","(10.0, 18.5, 15.0125)","(14.0, 36.0, 24.5)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:52.881236,"(5.0, 7.6, 6.35)","(71.0, 410.0, 311.42857142857144)","(4.0, 6.2, 5.428571428571429)","(11.0, 23.0, 18.53333333333333)","(10.0, 18.5, 15.0125)","(14.0, 36.0, 24.5)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:54.227789,"(5.0, 7.6, 6.35)","(71.0, 410.0, 311.42857142857144)","(4.0, 6.2, 5.072727272727272)","(11.0, 23.0, 18.53333333333333)","(10.0, 18.5, 15.0125)","(14.0, 36.0, 24.5)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:55.563595,"(5.0, 7.6, 6.35)","(71.0, 410.0, 311.42857142857144)","(4.0, 5.4, 5.010526315789473)","(11.0, 23.0, 18.53333333333333)","(10.0, 18.5, 15.0125)","(14.0, 36.0, 24.5)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:56.900931,"(5.0, 7.6, 6.35)","(71.0, 410.0, 311.42857142857144)","(4.0, 5.6, 5.072727272727272)","(11.0, 23.0, 18.6)","(10.0, 18.5, 15.0875)","(14.0, 36.0, 24.5)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:58.222323,"(5.0, 7.6, 7.1)","(71.0, 410.0, 311.42857142857144)","(4.0, 5.4, 5.010526315789473)","(11.0, 23.0, 18.6)","(10.0, 18.5, 15.0875)","(14.0, 36.0, 24.5)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:04:59.578202,"(5.0, 7.6, 7.1)","(71.0, 410.0, 311.42857142857144)","(4.0, 5.6, 5.010526315789473)","(11.0, 23.0, 18.6)","(10.0, 18.5, 15.0875)","(14.0, 36.0, 24.5)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:00.906790,"(5.0, 7.6, 7.1)","(71.0, 410.0, 311.42857142857144)","(4.0, 5.6, 5.314285714285714)","(11.0, 23.0, 18.6)","(10.0, 18.5, 15.0875)","(14.0, 36.0, 24.5)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:02.228616,"(5.0, 7.6, 7.1)","(71.0, 410.0, 311.42857142857144)","(4.0, 5.4, 5.010526315789473)","(11.0, 23.0, 18.6)","(10.0, 18.5, 15.0875)","(14.0, 36.0, 24.5)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:03.559766,"(5.0, 7.6, 7.1)","(71.0, 410.0, 311.42857142857144)","(4.0, 5.6, 5.300000000000001)","(11.0, 23.0, 18.6)","(10.0, 18.5, 15.0875)","(14.0, 36.0, 24.5)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:04.909054,"(5.0, 7.6, 7.1)","(71.0, 410.0, 311.42857142857144)","(4.0, 5.4, 5.216666666666667)","(11.0, 23.0, 18.6)","(10.0, 18.5, 15.0875)","(14.0, 36.0, 24.5)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:06.293317,"(5.0, 7.6, 7.1)","(71.0, 410.0, 311.42857142857144)","(4.0, 5.3, 5.216666666666667)","(11.0, 23.0, 18.6)","(10.0, 18.5, 15.0875)","(14.0, 36.0, 24.5)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:07.631109,"(5.0, 7.6, 7.1)","(71.0, 410.0, 311.42857142857144)","(4.0, 5.3, 5.1125)","(11.0, 23.0, 18.6)","(10.0, 18.5, 13.16)","(14.0, 36.0, 24.4)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:08.946310,"(5.0, 7.6, 7.1)","(71.0, 400.0, 304.2857142857143)","(4.0, 5.3, 5.008333333333333)","(11.0, 23.0, 18.6)","(10.0, 18.5, 13.16)","(14.0, 32.0, 24.4)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:10.181520,"(5.0, 7.6, 7.1)","(71.0, 380.0, 290.0)","(4.0, 5.3, 5.206666666666667)","(11.0, 23.0, 18.6)","(10.0, 18.5, 13.16)","(14.0, 32.0, 24.4)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:11.507533,"(5.0, 7.6, 7.1)","(71.0, 380.0, 290.0)","(4.0, 5.6, 5.010526315789473)","(11.0, 23.0, 18.6)","(10.0, 18.5, 13.16)","(14.0, 32.0, 24.4)","(2.7, 3.75, 3.0500000000000003)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:12.815206,"(5.0, 7.6, 7.1)","(71.0, 380.0, 290.0)","(4.0, 5.6, 5.3)","(11.0, 23.0, 17.8)","(10.0, 18.5, 13.16)","(14.0, 32.0, 24.4)","(2.7, 3.75, 3.4875)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:14.171213,"(5.0, 7.6, 7.1)","(71.0, 380.0, 290.0)","(4.0, 5.5, 5.228571428571429)","(11.0, 23.0, 17.8)","(10.0, 18.5, 15.1625)","(14.0, 32.0, 24.4)","(2.7, 3.75, 3.4875)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:15.406563,"(5.0, 7.6, 7.1)","(71.0, 380.0, 290.0)","(4.0, 5.4, 5.228571428571429)","(11.0, 23.0, 17.8)","(10.0, 18.5, 13.16)","(14.0, 32.0, 24.4)","(2.7, 3.75, 3.4875)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:16.584710,"(5.0, 7.6, 7.1)","(71.0, 380.0, 290.0)","(4.0, 5.4, 5.228571428571429)","(11.0, 23.0, 17.8)","(10.0, 18.5, 13.16)","(14.0, 32.0, 24.4)","(2.7, 3.75, 3.4875)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:17.782879,"(5.0, 7.6, 7.1)","(71.0, 380.0, 290.0)","(4.0, 5.4, 5.228571428571429)","(11.0, 23.0, 20.36)","(10.0, 18.5, 13.16)","(14.0, 32.0, 24.4)","(2.7, 3.75, 3.4875)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:18.962356,"(5.0, 7.6, 7.1)","(71.0, 380.0, 290.0)","(4.0, 5.4, 5.228571428571429)","(11.0, 23.0, 16.5)","(10.0, 18.5, 13.16)","(14.0, 32.0, 24.4)","(2.7, 3.75, 3.4875)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:20.176599,"(5.0, 7.6, 7.1)","(71.0, 370.0, 275.7142857142857)","(4.0, 5.4, 5.228571428571429)","(11.0, 23.0, 17.8)","(10.0, 18.5, 14.05)","(14.0, 32.0, 24.4)","(2.7, 3.75, 3.4875)","(4.4, 6.0, 5.0)"
