,My Mums Value,Westar Storm,My Place Friday,Makani Girl,Mepunga Echo,Bourne Brett,Rage Quit,Jessore
10-01-2023 12:55:53.563359,"(4.2, 7.2, 4.729411764705882)","(21.0, 160.0, 85.86666666666667)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 121.2)","(4.6, 8.2, 7.796153846153846)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:55:54.699229,"(4.2, 7.2, 4.729411764705882)","(21.0, 160.0, 85.86666666666667)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 121.2)","(4.6, 8.2, 7.796153846153846)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:55:55.978946,"(4.2, 7.2, 4.729411764705882)","(21.0, 160.0, 85.86666666666667)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 121.2)","(4.6, 8.2, 7.796153846153846)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:55:57.234313,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 85.86666666666667)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 121.2)","(4.6, 8.2, 7.796153846153846)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:55:58.401239,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 85.86666666666667)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 121.2)","(4.6, 8.2, 7.796153846153846)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:55:59.594535,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 85.86666666666667)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 121.2)","(4.6, 8.2, 6.491666666666665)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:00.886557,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 85.86666666666667)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 121.2)","(4.6, 8.2, 5.3428571428571425)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:02.189382,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 49.6)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 67.6)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:03.391151,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 49.6)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 67.6)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:04.503546,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 49.6)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 67.6)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:05.608544,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 49.6)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 67.6)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:06.843573,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 49.6)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 67.6)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:08.069913,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 49.6)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 67.6)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:09.319801,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 49.6)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 67.6)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:10.479611,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 49.6)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 67.6)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:11.617560,"(4.2, 7.2, 5.025)","(21.0, 160.0, 49.6)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 67.6)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:12.747820,"(4.2, 7.2, 5.025)","(21.0, 160.0, 49.6)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 67.6)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:13.857809,"(4.2, 7.2, 5.025)","(21.0, 160.0, 49.6)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 67.6)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:14.939357,"(4.2, 7.2, 5.025)","(21.0, 160.0, 49.6)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 67.6)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:16.078635,"(4.2, 7.2, 5.025)","(21.0, 160.0, 49.6)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 67.6)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:17.271291,"(4.2, 7.2, 5.025)","(21.0, 160.0, 49.6)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 67.6)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:18.478597,"(4.2, 7.2, 5.025)","(21.0, 160.0, 49.6)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 67.6)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:19.638983,"(4.2, 7.2, 5.025)","(21.0, 160.0, 49.6)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 67.6)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:20.844120,"(4.2, 7.2, 5.025)","(21.0, 160.0, 49.6)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 67.6)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:22.026252,"(4.2, 7.2, 5.025)","(21.0, 160.0, 49.6)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 67.6)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
